SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster	dcf0
0	0.49	0.0024	0.49	8.6e-06	0.0086	0.0002	0.0067	0.00019	0.0025	0.0012	0	0	0	0.0012	0.0024	0.0022	3.5e-06	0	0	0.61
1	0	0	0	0	0	0	0	0	0	0	0.00042	0	1	0	0	0	0	0	12	0.043
2	0.49	0.0029	0.49	4.5e-06	0.0037	0	0.0029	2.9e-06	0.0029	0.00023	0	0	0	0.00023	0.0029	1.6e-05	0	0	0	0.61
3	0	0	0	0	0	0	0	0	0	0	0.0091	0	0.99	0	0	0	0	0	12	0.043
4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	0.043
5	0	0	0	0	0	0	0	0	0	0	0	0.5	0.0015	0	0	0	0	0.5	11	0
6	0.25	0.0055	0.25	2.2e-06	0.17	2.7e-05	0.13	0.16	0.0056	0.00019	3.6e-05	0	0	0.00019	0.0055	0.00022	0.037	0	0	0.61
7	0.29	0.00018	0.29	1.8e-05	7e-05	0.21	5.4e-05	0	0.00018	0.0092	0	0	0	0.0092	0.00018	0.2	0	0	0	0.61
8	0.48	0.0025	0.48	2.6e-06	0.021	2.9e-06	0.017	0.0036	0.0026	0.00023	0	0	0	0.00023	0.0025	0.00014	0.00016	0	0	0.61
9	0.49	0.0011	0.49	5.2e-06	0.0042	0.00093	0.0032	0.00027	0.0011	0.00094	0	0	0	0.00094	0.0011	0.0035	6.9e-06	0	0	0.61
10	0.39	0.0083	0.39	0	0.1	0	0.081	0.0046	0.0085	1.1e-05	0	0	0	1.1e-05	0.0083	0	3.5e-05	0	0	0.61
11	0	0	0	0	0	0	0	0	0	0	0.00092	0.46	0.078	0	0	0	0	0.46	11	0
12	0.5	0.00034	0.5	6.3e-06	0.00014	2.2e-06	0.00011	0	0.00035	0.00089	0	0	0	0.00089	0.00034	0.00048	0	0	0	0.61
13	0	0	0	9e-05	0	0	0	0	0	0.004	0.0062	0	0.99	0.004	0	3.2e-06	0	0	12	0.043
14	0	0	0	0	0	0	0	0	0	0	0	0.5	0.0035	0	0	0	0	0.5	11	0
15	0.46	0.002	0.46	3.8e-06	0.024	0.00083	0.019	0.015	0.0021	0.0006	0	0	0	0.0006	0.002	0.0022	0.002	0	0	0.61
16	0	0	0	0	0	7.5e-05	0	0	0	0.0021	0.96	0	4.1e-05	0.0021	0	0.033	0	0	10	0.13
17	0	0	0	0	0	0.0033	0	0	0	1.4e-05	0.7	0	0	1.4e-05	0	0.29	0	0	10	0.13
18	0	0	0	0	0	0	0	0	0	0.0024	0.99	0	0	0.0024	0	0.0024	0	0	10	0.13
