SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0
0	0.49	0.0019	0.0022	0	0	0.0085	0.0068	0.0002	8.9e-06	0.0012	0.0019	0.0019	0	0	0.0012	0.0019	0.49	3.5e-06	0.00019	0	0.61
1	0	0	0	0.00042	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.043
2	0.49	0.0022	1.6e-05	0	0	0.0036	0.0029	0	4.7e-06	0.00023	0.0022	0.0023	0	0	0.00023	0.0022	0.49	0	2.9e-06	0	0.61
3	0	0	0	0.0091	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.043
4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.043
5	0	0	0	0	0.0015	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	12	0
6	0.25	0.0043	0.00022	3.6e-05	0	0.16	0.13	2.7e-05	2.3e-06	0.00019	0.0043	0.0044	0	0	0.00019	0.0043	0.25	0.037	0.16	0	0.61
7	0.29	0.00014	0.2	0	0	6.9e-05	5.5e-05	0.21	1.9e-05	0.0093	0.00014	0.00014	0	0	0.0093	0.00014	0.29	0	0	0	0.61
8	0.48	0.002	0.00014	0	0	0.021	0.017	2.9e-06	2.7e-06	0.00023	0.002	0.002	0	0	0.00023	0.002	0.48	0.00016	0.0036	0	0.61
9	0.49	0.00084	0.0035	0	0	0.0041	0.0033	0.00093	5.3e-06	0.00094	0.00084	0.00087	0	0	0.00094	0.00084	0.49	6.9e-06	0.00027	0	0.61
10	0.39	0.0064	0	0	0	0.1	0.082	0	0	1.1e-05	0.0064	0.0067	0	0	1.1e-05	0.0064	0.39	3.5e-05	0.0047	0	0.61
11	0	0	0	0.00092	0.078	0	0	0	0	0	0	0	0.46	0.46	0	0	0	0	0	12	0
12	0.5	0.00027	0.00048	0	0	0.00014	0.00011	2.2e-06	6.5e-06	0.00089	0.00027	0.00028	0	0	0.00089	0.00027	0.5	0	0	0	0.61
13	0	0	3.2e-06	0.0062	0.99	0	0	0	9.2e-05	0.004	0	0	0	0	0.004	0	0	0	0	4	0.043
14	0	0	0	0	0.0035	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	12	0
15	0.46	0.0016	0.0022	0	0	0.024	0.019	0.00083	3.9e-06	0.00061	0.0016	0.0016	0	0	0.00061	0.0016	0.46	0.002	0.015	0	0.61
16	0	0	0.033	0.96	4.1e-05	0	0	7.5e-05	0	0.0021	0	0	0	0	0.0021	0	0	0	0	3	0.13
17	0	0	0.29	0.7	0	0	0	0.0033	0	1.4e-05	0	0	0	0	1.4e-05	0	0	0	0	3	0.13
18	0	0	0.0024	0.99	0	0	0	0	0	0.0025	0	0	0	0	0.0025	0	0	0	0	3	0.13
19	0.00072	4.2e-05	0.1	0.28	6.1e-05	0.0098	0.0079	0.28	0	0.00026	4.2e-05	4.3e-05	0	0	0.00026	4.2e-05	0.00072	0.14	0.18	7	0.87
20	0.46	0	0.043	0	0	0	0	0.023	1.6e-05	0.0047	0	0	0	0	0.0047	0	0.46	0	0	0	0.61
