SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster	dcf0
0	0.97	0.0025	0.0024	0.0025	0	0.0066	3.5e-06	1.2e-05	0.0022	0.0026	0.0002	0.00019	0.0087	0	0	0	0.61
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00042	1	14	0.043
2	0.98	0.003	0.00045	0.003	0	0.0028	0	6.4e-06	1.6e-05	0.0031	0	2.9e-06	0.0037	0	0	0	0.61
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0091	0.99	14	0.043
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	0.043
5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0015	4	0
6	0.49	0.0057	0.00038	0.0057	0	0.13	0.037	3.1e-06	0.00022	0.006	2.7e-05	0.16	0.17	3.6e-05	0	0	0.61
7	0.57	0.00018	0.018	0.00018	0	5.3e-05	0	2.6e-05	0.2	0.00019	0.21	0	7e-05	0	0	0	0.61
8	0.95	0.0026	0.00046	0.0026	0	0.016	0.00016	3.7e-06	0.00014	0.0028	2.9e-06	0.0036	0.021	0	0	0	0.61
9	0.98	0.0011	0.0019	0.0011	0	0.0032	6.9e-06	7.2e-06	0.0035	0.0012	0.00093	0.00027	0.0042	0	0	0	0.61
10	0.78	0.0086	2.2e-05	0.0086	0	0.08	3.5e-05	0	0	0.0091	0	0.0047	0.1	0	0	0	0.61
11	0	0	0	0	0.92	0	0	0	0	0	0	0	0	0.00092	0.078	4	0
12	1	0.00036	0.0018	0.00036	0	0.00011	0	8.8e-06	0.00048	0.00038	2.2e-06	0	0.00014	0	0	0	0.61
13	0	0	0.0079	0	0	0	0	0.00013	3.2e-06	0	0	0	0	0.0062	0.99	14	0.043
14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0035	4	0
15	0.93	0.0021	0.0012	0.0021	0	0.018	0.002	5.3e-06	0.0022	0.0022	0.00083	0.015	0.024	0	0	0	0.61
16	0	0	0.0041	0	0	0	0	0	0.033	0	7.5e-05	0	0	0.96	4.1e-05	13	0.13
17	0	0	2.7e-05	0	0	0	0	0	0.29	0	0.0033	0	0	0.7	0	13	0.13
18	0	0	0.0048	0	0	0	0	0	0.0024	0	0	0	0	0.99	0	13	0.13
19	0.0014	5.6e-05	0.00051	5.6e-05	0	0.0076	0.14	0	0.1	5.9e-05	0.28	0.18	0.01	0.28	6.1e-05	10	0.87
20	0.92	0	0.0093	0	0	0	0	2.2e-05	0.043	0	0.023	0	0	0	0	0	0.61
21	0.07	0.0022	1.2e-06	0.0022	0	0.14	0.091	0	0	0.0023	0.0028	0.51	0.18	0	0	11	0.39
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015	0.98	14	0.043
23	0.96	0.0026	0.00031	0.0026	0	0.011	2e-05	3.3e-06	3.9e-05	0.0027	0	0.00096	0.015	0	0	0	0.61
24	0	0	0	0	0.96	0	0	0	0	0	0	0	0	0.00015	0.045	4	0
25	0.81	0.008	2.7e-05	0.008	0	0.071	3.3e-05	0	0	0.0085	0	0.0041	0.093	0	0	0	0.61
26	0.99	0	0.0032	0	0	0	0	1.3e-05	0.0055	0	0.0013	0	0	0	0	0	0.61
27	0.99	0.00065	0.0017	0.00065	0	0.00054	0	7.8e-06	0.0014	0.00069	7.9e-05	3.1e-06	0.00071	0	0	0	0.61
28	0.53	0.0034	0.00018	0.0034	0	0.083	0.049	1.6e-06	9.3e-05	0.0036	1e-05	0.22	0.11	1.3e-05	0	0	0.61
29	0.43	0.0033	0.00011	0.0033	0	0.093	0.068	1.1e-06	4.2e-05	0.0035	3.2e-06	0.28	0.12	1.6e-05	0	0	0.61
30	0.99	0.0011	0.00071	0.0011	0	0.0015	0	5.1e-06	0.00019	0.0012	3.4e-06	1.1e-05	0.0019	0	0	0	0.61
31	0.94	4.1e-05	0.016	4.1e-05	0	0	0	2.7e-05	0.043	4.3e-05	0.0033	0	1.1e-06	0	0	0	0.61
32	0.57	0.0075	0.00025	0.0075	0	0.14	0.0093	2.8e-06	5.3e-05	0.0079	1.6e-06	0.08	0.18	0	0	0	0.61
33	0.95	0.0021	0.0045	0.0021	0	0.0071	2.1e-05	1.5e-05	0.012	0.0023	0.0054	0.00051	0.0093	0	0	0	0.61
34	0.99	0.0017	0.00087	0.0017	0	0.00092	0	8.9e-06	6e-05	0.0018	0	0	0.0012	0	0	0	0.61
35	0.3	0.013	6.9e-06	0.013	0	0.27	0.00045	0	0	0.014	0	0.027	0.36	0	0	12	0.47
36	0.066	0.0025	8.7e-06	0.0025	0	0.15	0.14	0	0	0.0026	0	0.45	0.19	2.5e-05	0	11	0.39
37	2.4e-06	3.3e-06	0	3.3e-06	0	0.0049	0.55	0	0	3.5e-06	0	0.44	0.0065	0.00035	0	6	0.35
38	0.99	0.00075	0.0051	0.00075	0	0.0003	0	2e-05	0.0042	0.00079	0.00017	0	0.00039	0	0	0	0.61
39	0	0	0	0	0	0	1.7e-06	0	0	0	0	0	0	0.7	0.3	13	0.13
40	1.7e-05	1.8e-05	0	1.8e-05	0	0.017	0.38	0	0	1.9e-05	0	0.58	0.022	0	0	11	0.39
41	0.96	0.0027	0.0027	0.0027	0	0.0091	1.4e-05	1.2e-05	0.0032	0.0028	0.00049	0.00048	0.012	0	0	0	0.61
42	0	0	0	0	0	0	4.9e-05	0	0	0	0	5e-06	0	1	4.2e-05	13	0.13
43	0.58	0.0071	0.0003	0.0071	0	0.13	0.011	3.1e-06	8.6e-05	0.0075	3.6e-06	0.084	0.17	0	0	0	0.61
44	8.3e-06	0	0	0	0.64	1.9e-05	0.00017	0	0	0	0	0.00018	2.5e-05	0.089	0.27	4	0
45	0.9	0.0025	0.0049	0.0025	0	0.014	0.00038	1.5e-05	0.022	0.0027	0.024	0.0036	0.019	0	0	0	0.61
46	0.66	0.014	3.4e-05	0.014	0	0.12	2.7e-05	1.4e-06	0	0.015	0	0.0034	0.16	0	0	0	0.61
47	0.75	0.016	2.3e-05	0.016	0	0.088	1.8e-06	1.3e-06	0	0.017	0	0.00068	0.12	0	0	0	0.61
48	0.92	0.0028	0.0041	0.0028	0	0.016	0.00034	1.4e-05	0.015	0.0029	0.011	0.0036	0.021	0	0	0	0.61
49	0.015	0.0021	0	0.0021	0	0.23	0.048	0	0	0.0022	0	0.41	0.3	0	0	11	0.39
50	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4.8e-05	13	0.13
51	0.85	0.0012	0.0086	0.0012	0	0.0027	5.5e-06	2e-05	0.058	0.0012	0.073	0.00014	0.0035	0	0	0	0.61
52	0.037	0.011	0	0.011	0	0.4	3e-06	0	0	0.011	0	0.0052	0.53	0	0	12	0.47
53	0.91	0.0094	6.6e-05	0.0094	0	0.025	0	2.4e-06	0	0.0099	0	6.6e-05	0.032	0	0	0	0.61
54	0	0	0	0	0	0	1.3e-06	0	0	0	0	0	0	1	0	13	0.13
55	0.19	0.0098	4.6e-06	0.0098	0	0.3	0.0027	0	0	0.01	0	0.077	0.4	0	0	12	0.47
56	0.98	0.0048	6.1e-05	0.0048	0	0.0026	0	2.8e-06	0	0.0051	0	0	0.0034	0	0	0	0.61
57	0.39	0.01	3.5e-05	0.01	0	0.22	0.0031	0	0	0.011	0	0.063	0.29	0	0	0	0.61
58	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1.9e-05	4	0
59	0.85	0.0063	0.00061	0.0063	0	0.053	0.00037	5.6e-06	0.00017	0.0067	5.3e-06	0.008	0.07	0	0	0	0.61
60	0.88	0.0055	0.00081	0.0055	0	0.041	0.00024	6.5e-06	0.00031	0.0059	1.3e-05	0.0054	0.053	0	0	0	0.61
61	0.75	0.0043	0.00021	0.0043	0	0.07	0.0075	2.1e-06	6.6e-05	0.0045	3.3e-06	0.07	0.092	0	0	0	0.61
62	0.91	0.0019	0.0061	0.0019	0	0.0074	6.1e-05	1.7e-05	0.031	0.002	0.032	0.00092	0.0097	0	0	0	0.61
63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	0.043
64	0	0	0	0	0	1.1e-06	0.00085	0	0	0	0	0.00026	1.5e-06	1	0.00059	13	0.13
65	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0.13
66	0.73	0.0045	0.00018	0.0045	0	0.075	0.0072	1.9e-06	4.8e-05	0.0047	1.9e-06	0.072	0.099	0	0	0	0.61
67	0	0	0	0	0.85	0	0	0	0	0	0	0	0	0.0066	0.14	4	0
68	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013	1	14	0.043
69	0.081	0.0071	0	0.0071	0	0.33	0.0048	0	0	0.0075	0	0.12	0.44	0	0	12	0.47
70	0.99	0.00084	0.0034	0.00084	0	0.0003	0	1.7e-05	0.0014	0.00089	2.2e-05	0	0.00039	0	0	0	0.61
71	0.45	0.016	1.1e-05	0.016	0	0.21	7.5e-05	0	0	0.017	0	0.0086	0.28	0	0	0	0.61
72	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0.13
73	0.48	0.013	2.9e-05	0.013	0	0.2	0.00048	1e-06	0	0.013	0	0.022	0.26	0	0	0	0.61
74	0.99	0.00035	0.0038	0.00035	0	0.00017	0	1.1e-05	0.0069	0.00037	0.00097	0	0.00022	0	0	0	0.61
75	0.88	0.0054	8.9e-05	0.0054	0	0.044	7.8e-05	1.7e-06	4.1e-06	0.0057	0	0.0048	0.058	0	0	0	0.61
76	1.7e-06	0	0	0	0	0.00022	0.02	0	0	0	0	0.012	0.00028	0.97	0.00018	13	0.13
77	0	0	0	0	0	0	3.5e-05	0	0	0	0	5.3e-06	0	1	0.0019	13	0.13
