SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0
0	1	0.00041	0	0	0	0.61
1	0	0	0	1	3	0.13
2	1	6.2e-06	0	0	0	0.61
3	0	0	0	1	3	0.13
4	0	0	0	1	3	0.13
5	0	0	1	0	2	0
6	0.6	0.4	0	6.5e-05	0	0.61
7	1	0	0	0	0	0.61
8	0.99	0.0079	0	0	0	0.61
9	1	0.00057	0	0	0	0.61
10	0.99	0.012	0	0	0	0.61
11	0	0	1	0.0016	2	0
12	1	0	0	0	0	0.61
13	0	0	0	1	3	0.13
14	0	0	1	0	2	0
15	0.97	0.033	0	0	0	0.61
16	0	0	0	1	3	0.13
17	0	0	0	1	3	0.13
18	0	0	0	1	3	0.13
19	0.0018	0.47	0	0.53	3	0.13
20	1	0	0	0	0	0.61
21	0.062	0.94	0	0	1	0.39
22	0	0	0	1	3	0.13
23	1	0.0021	0	0	0	0.61
24	0	0	1	0.00026	2	0
25	0.99	0.011	0	0	0	0.61
26	1	0	0	0	0	0.61
27	1	6.5e-06	0	0	0	0.61
28	0.54	0.46	0	2e-05	0	0.61
29	0.42	0.58	0	2.3e-05	1	0.39
30	1	2.3e-05	0	0	0	0.61
31	1	0	0	0	0	0.61
32	0.77	0.23	0	0	0	0.61
33	1	0.0011	0	0	0	0.61
34	1	0	0	0	0	0.61
35	0.84	0.16	0	0	0	0.61
36	0.066	0.93	0	3.7e-05	1	0.39
37	2.6e-06	1	0	0.00058	1	0.39
38	1	0	0	0	0	0.61
39	0	0	0	1	3	0.13
40	1.4e-05	1	0	0	1	0.39
41	1	0.001	0	0	0	0.61
42	0	7e-06	0	1	3	0.13
43	0.77	0.23	0	0	0	0.61
44	1.2e-05	0.00054	0.81	0.18	2	0
45	0.99	0.0082	0	0	0	0.61
46	0.99	0.011	0	0	0	0.61
47	1	0.0019	0	0	0	0.61
48	0.99	0.0081	0	0	0	0.61
49	0.017	0.98	0	0	1	0.39
50	0	0	0	1	3	0.13
51	1	0.00035	0	0	0	0.61
52	0.78	0.22	0	0	0	0.61
53	1	0.00015	0	0	0	0.61
54	0	0	0	1	3	0.13
55	0.54	0.46	0	0	0	0.61
56	1	0	0	0	0	0.61
57	0.75	0.25	0	0	0	0.61
