SNV	cluster0	cluster1	cluster	dcf0
0	1	0	0	0.61
1	0	1	1	0.13
2	1	0	0	0.61
3	0	1	1	0.13
4	0	1	1	0.13
5	0	1	1	0.13
6	1	0.00014	0	0.61
7	1	0	0	0.61
8	1	0	0	0.61
9	1	0	0	0.61
10	1	0	0	0.61
11	0	1	1	0.13
12	1	0	0	0.61
13	0	1	1	0.13
14	0	1	1	0.13
15	1	0	0	0.61
16	0	1	1	0.13
17	0	1	1	0.13
18	0	1	1	0.13
19	0.0028	1	1	0.13
20	1	0	0	0.61
21	1	0	0	0.61
22	0	1	1	0.13
23	1	0	0	0.61
24	0	1	1	0.13
25	1	0	0	0.61
26	1	0	0	0.61
27	1	0	0	0.61
28	1	4.7e-05	0	0.61
29	1	6.9e-05	0	0.61
30	1	0	0	0.61
31	1	0	0	0.61
32	1	0	0	0.61
33	1	0	0	0.61
34	1	0	0	0.61
35	1	0	0	0.61
36	1	0.00069	0	0.61
37	0.0036	1	1	0.13
38	1	0	0	0.61
39	0	1	1	0.13
40	0.99	0.015	0	0.61
41	1	0	0	0.61
42	0	1	1	0.13
43	1	0	0	0.61
44	5.1e-05	1	1	0.13
45	1	0	0	0.61
46	1	0	0	0.61
47	1	0	0	0.61
48	1	0	0	0.61
49	1	0	0	0.61
50	0	1	1	0.13
51	1	0	0	0.61
52	1	0	0	0.61
53	1	0	0	0.61
54	0	1	1	0.13
55	1	0	0	0.61
56	1	0	0	0.61
57	1	0	0	0.61
58	0	1	1	0.13
59	1	0	0	0.61
60	1	0	0	0.61
61	1	0	0	0.61
62	1	0	0	0.61
63	0	1	1	0.13
64	0	1	1	0.13
65	0	1	1	0.13
66	1	0	0	0.61
67	0	1	1	0.13
68	0	1	1	0.13
69	1	0	0	0.61
70	1	0	0	0.61
71	1	0	0	0.61
72	0	1	1	0.13
73	1	0	0	0.61
74	1	0	0	0.61
75	1	0	0	0.61
76	0	1	1	0.13
77	0	1	1	0.13
78	0	1	1	0.13
79	1	0	0	0.61
80	0	1	1	0.13
81	1	0	0	0.61
82	1	0	0	0.61
83	0	1	1	0.13
84	1	0	0	0.61
85	1	0	0	0.61
86	1	0	0	0.61
87	1	0	0	0.61
88	0	1	1	0.13
89	0	1	1	0.13
90	1	0	0	0.61
91	1	0	0	0.61
92	0	1	1	0.13
93	1	0	0	0.61
94	1	0	0	0.61
95	0	1	1	0.13
96	1	0	0	0.61
97	1	0	0	0.61
98	0	1	1	0.13
99	1	0	0	0.61
100	1	0	0	0.61
101	1	0	0	0.61
102	1	0	0	0.61
103	0	1	1	0.13
104	0	1	1	0.13
105	1	0	0	0.61
106	1	0	0	0.61
107	1	0	0	0.61
108	1	1.1e-05	0	0.61
109	0	1	1	0.13
110	0.00038	1	1	0.13
111	1	0	0	0.61
112	1	0	0	0.61
113	1	0	0	0.61
114	1	0	0	0.61
115	1	0	0	0.61
116	1	0	0	0.61
117	1	0	0	0.61
118	1	0	0	0.61
119	1	0	0	0.61
120	1	0	0	0.61
121	1	0	0	0.61
122	1	0	0	0.61
123	0	1	1	0.13
124	1	0	0	0.61
125	0	1	1	0.13
126	1	0	0	0.61
127	0	1	1	0.13
128	0	1	1	0.13
129	0	1	1	0.13
130	0	1	1	0.13
131	1	0	0	0.61
132	1	0	0	0.61
133	7.2e-06	1	1	0.13
134	1	0	0	0.61
135	0	1	1	0.13
136	1	0	0	0.61
137	1	0	0	0.61
138	1	0	0	0.61
139	0	1	1	0.13
140	9.4e-06	1	1	0.13
141	0	1	1	0.13
142	0	1	1	0.13
143	1	0	0	0.61
144	0	1	1	0.13
145	1	0	0	0.61
146	1	0	0	0.61
147	1	0	0	0.61
148	1	0	0	0.61
149	1	0	0	0.61
150	1	0	0	0.61
151	1	0	0	0.61
152	1	0	0	0.61
153	1	0	0	0.61
154	0	1	1	0.13
155	1	0	0	0.61
156	0	1	1	0.13
157	0	1	1	0.13
158	0	1	1	0.13
159	1	0	0	0.61
160	1	0	0	0.61
161	1	0	0	0.61
162	0	1	1	0.13
163	1	0	0	0.61
164	1	0	0	0.61
165	1	0	0	0.61
166	0	1	1	0.13
167	1	0	0	0.61
168	0	1	1	0.13
169	0	1	1	0.13
170	0	1	1	0.13
171	0	1	1	0.13
172	1	0	0	0.61
173	1	0	0	0.61
174	1	0	0	0.61
175	1	0	0	0.61
176	1	0	0	0.61
177	1	0	0	0.61
178	1	0	0	0.61
179	1	0	0	0.61
180	1	0	0	0.61
181	1	0	0	0.61
182	0	1	1	0.13
183	1	0	0	0.61
184	0	1	1	0.13
185	1	0	0	0.61
186	1	0	0	0.61
187	0	1	1	0.13
188	1	0	0	0.61
189	0	1	1	0.13
190	0	1	1	0.13
191	1	0	0	0.61
192	1	0	0	0.61
193	1	0	0	0.61
194	1	0	0	0.61
195	1	0	0	0.61
196	1	0	0	0.61
197	1	0	0	0.61
198	1	0	0	0.61
199	1	0	0	0.61
200	1	0	0	0.61
201	1	0	0	0.61
202	1	9.1e-06	0	0.61
203	1	0	0	0.61
204	1	0	0	0.61
205	0	1	1	0.13
206	1	0	0	0.61
207	1	0	0	0.61
208	1	0	0	0.61
209	1	0	0	0.61
210	1	0	0	0.61
211	1	0	0	0.61
212	1	0	0	0.61
213	1	0	0	0.61
214	1	0	0	0.61
215	0	1	1	0.13
216	1	0	0	0.61
217	0	1	1	0.13
218	0.99	0.0055	0	0.61
219	0	1	1	0.13
220	1	0	0	0.61
221	1	0	0	0.61
222	1	0	0	0.61
223	1	0	0	0.61
224	1	0	0	0.61
225	1	0	0	0.61
226	1	6.9e-06	0	0.61
