k	loglikelihood	observations	parameters	BIC
1	-63022.4	16596	2	126064
2	-16418.7	16596	3	32866.5
3	-14389.5	16596	4	28817.9
4	-13587.6	16596	5	27223.8
5	-13159.2	16596	6	26376.7
6	-12822.4	16596	7	25712.8
7	-12536.4	16596	8	25150.6
8	-12536.4	16596	9	25160.3
9	-12501	16596	10	25099.1
10	-12499.4	16596	11	25105.6
11	-12499.5	16596	12	25115.5
12	-12429.6	16596	13	24985.6
13	-12489.9	16596	14	25115.8
14	-12481.3	16596	15	25108.4
15	-12481.4	16596	16	25118.2
16	-12481.3	16596	17	25127.8
17	-12481.3	16596	18	25137.5
18	-12481.3	16596	19	25147.3
19	-12481.4	16596	20	25157.1
20	-12481.3	16596	21	25166.6
