SNV	cluster0	cluster	dcf0
0	1	0	0.39
1	1	0	0.39
2	1	0	0.39
3	1	0	0.39
4	1	0	0.39
5	1	0	0.39
6	1	0	0.39
7	1	0	0.39
8	1	0	0.39
9	1	0	0.39
10	1	0	0.39
11	1	0	0.39
12	1	0	0.39
13	1	0	0.39
14	1	0	0.39
15	1	0	0.39
16	1	0	0.39
17	1	0	0.39
18	1	0	0.39
19	1	0	0.39
20	1	0	0.39
21	1	0	0.39
22	1	0	0.39
23	1	0	0.39
24	1	0	0.39
25	1	0	0.39
26	1	0	0.39
27	1	0	0.39
28	1	0	0.39
29	1	0	0.39
30	1	0	0.39
31	1	0	0.39
32	1	0	0.39
33	1	0	0.39
34	1	0	0.39
35	1	0	0.39
36	1	0	0.39
37	1	0	0.39
38	1	0	0.39
39	1	0	0.39
40	1	0	0.39
41	1	0	0.39
42	1	0	0.39
43	1	0	0.39
44	1	0	0.39
45	1	0	0.39
46	1	0	0.39
47	1	0	0.39
48	1	0	0.39
49	1	0	0.39
50	1	0	0.39
51	1	0	0.39
52	1	0	0.39
53	1	0	0.39
54	1	0	0.39
55	1	0	0.39
56	1	0	0.39
57	1	0	0.39
58	1	0	0.39
59	1	0	0.39
60	1	0	0.39
61	1	0	0.39
62	1	0	0.39
63	1	0	0.39
64	1	0	0.39
65	1	0	0.39
66	1	0	0.39
67	1	0	0.39
68	1	0	0.39
69	1	0	0.39
70	1	0	0.39
71	1	0	0.39
72	1	0	0.39
73	1	0	0.39
74	1	0	0.39
75	1	0	0.39
76	1	0	0.39
77	1	0	0.39
78	1	0	0.39
79	1	0	0.39
80	1	0	0.39
81	1	0	0.39
82	1	0	0.39
83	1	0	0.39
84	1	0	0.39
85	1	0	0.39
86	1	0	0.39
87	1	0	0.39
88	1	0	0.39
89	1	0	0.39
90	1	0	0.39
91	1	0	0.39
92	1	0	0.39
93	1	0	0.39
94	1	0	0.39
95	1	0	0.39
96	1	0	0.39
97	1	0	0.39
98	1	0	0.39
99	1	0	0.39
