SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster	dcf0
0	0.97	0	0.026	4.3e-06	0	0	0	0.61
1	0	6.1e-05	0	0	1	0	4	0.087
2	0.99	0	0.011	0	0	0	0	0.61
3	0	0.0023	0	0	1	0	4	0.087
4	0	0	0	0	1	0	4	0.087
5	0	0	0	0	3.4e-06	1	5	0
6	0.49	0.00069	0.51	1.3e-06	0	0	2	0.47
7	0.92	0	0.00034	0.085	0	0	0	0.61
8	0.94	0	0.064	0.00015	0	0	0	0.61
9	0.99	0	0.013	8.2e-05	0	0	0	0.61
10	0.71	0	0.29	0	0	0	0	0.61
11	0	5.4e-05	0	0	0.012	0.99	5	0
12	1	0	0.00042	0	0	0	0	0.61
13	0	6.1e-05	0	0	1	0	4	0.087
14	0	0	0	0	2e-05	1	5	0
15	0.92	5.2e-06	0.073	0.002	0	0	0	0.61
16	0	0.55	0	0	0.45	0	1	0.17
17	0	1	0	0	0.00062	0	1	0.17
18	0	0.07	0	0	0.93	0	4	0.087
19	0.0016	0.79	0.034	0.15	0.027	0	1	0.17
20	1	0	0	0.0032	0	0	0	0.61
21	0.098	8.1e-06	0.78	0.12	0	0	2	0.47
22	0	0.0038	0	0	1	0	4	0.087
23	0.96	0	0.044	1.9e-05	0	0	0	0.61
24	0	4.6e-06	0	0	0.0037	1	5	0
25	0.74	0	0.26	0	0	0	0	0.61
26	1	0	0	0.00044	0	0	0	0.61
27	1	0	0.0022	0	0	0	0	0.61
28	0.62	0.0005	0.38	0	0	0	0	0.61
29	0.54	0.00073	0.46	0	0	0	0	0.61
30	0.99	0	0.0058	0	0	0	0	0.61
31	1	0	3.6e-06	2.1e-05	0	0	0	0.61
32	0.5	0	0.5	0	0	0	0	0.61
33	0.97	0	0.029	0.00082	0	0	0	0.61
34	1	0	0.0037	0	0	0	0	0.61
35	0.22	0	0.78	0	0	0	2	0.47
36	0.1	0.002	0.9	0	0	0	2	0.47
37	3.4e-05	0.72	0.28	0	0	0	1	0.17
38	1	0	0.0012	0	0	0	0	0.61
39	0	0.068	0	0	0.93	0	4	0.087
40	0.00025	0.0033	1	0	0	0	2	0.47
41	0.96	0	0.036	2e-05	0	0	0	0.61
42	0	0.89	0	0	0.11	0	1	0.17
43	0.53	0	0.47	0	0	0	0	0.61
44	9.3e-06	0.031	8.3e-05	0	0.24	0.73	5	0
45	0.93	0	0.059	0.013	0	0	0	0.61
46	0.57	0	0.43	0	0	0	0	0.61
47	0.68	0	0.32	0	0	0	0	0.61
48	0.93	0	0.064	0.004	0	0	0	0.61
49	0.016	0	0.98	0	0	0	2	0.47
50	0	0.45	0	0	0.55	0	4	0.087
51	0.95	0	0.012	0.041	0	0	0	0.61
52	0.023	0	0.98	0	0	0	2	0.47
53	0.9	0	0.097	0	0	0	0	0.61
54	0	1	0	0	0.0038	0	1	0.17
55	0.13	0	0.87	0	0	0	2	0.47
56	0.99	0	0.01	0	0	0	0	0.61
57	0.3	0	0.7	0	0	0	2	0.47
58	0	0	0	0	0	1	5	0
59	0.8	0	0.2	0	0	0	0	0.61
60	0.84	0	0.16	0	0	0	0	0.61
61	0.73	0	0.27	0	0	0	0	0.61
62	0.95	0	0.031	0.016	0	0	0	0.61
63	0	0	0	0	1	0	4	0.087
64	0	0.82	4.2e-06	0	0.18	0	1	0.17
65	0	0.98	0	0	0.022	0	1	0.17
66	0.71	0	0.29	0	0	0	0	0.61
67	0	0.00082	0	0	0.046	0.95	5	0
68	0	0	0	0	1	0	4	0.087
69	0.057	0	0.94	0	0	0	2	0.47
70	1	0	0.0012	0	0	0	0	0.61
71	0.35	0	0.65	0	0	0	2	0.47
72	0	0.97	0	0	0.031	0	1	0.17
73	0.38	0	0.62	0	0	0	2	0.47
74	1	0	0.00067	2.5e-05	0	0	0	0.61
75	0.83	0	0.17	0	0	0	0	0.61
76	0	0.94	0.00051	0	0.06	0	1	0.17
