SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0
0	0.077	0.92	0.0015	0	0	0	0.00037	1	0.61
1	0	0	0	0	1	0.00043	0	4	0.043
2	0.089	0.91	1.3e-06	0	0	0	5.6e-06	1	0.61
3	0	0	0	0	0.99	0.0093	0	4	0.043
4	0	0	0	0	1	0	0	4	0.043
5	0	0	0	1	0.0015	0	0	3	0
6	0.18	0.49	0.00017	0	0	3.8e-05	0.33	1	0.61
7	0.0055	0.53	0.46	0	0	0	0	1	0.61
8	0.081	0.91	5e-05	0	0	0	0.0072	1	0.61
9	0.036	0.96	0.0041	0	0	0	0.00055	1	0.61
10	0.26	0.73	0	0	0	0	0.0089	1	0.61
11	0	0	0	0.92	0.079	0.00094	0	3	0
12	0.011	0.99	0.0001	0	0	0	0	1	0.61
13	0	0	0	0	0.99	0.0063	0	4	0.043
14	0	0	0	1	0.0035	0	0	3	0
15	0.066	0.9	0.0028	0	0	0	0.03	1	0.61
16	0	0	0.0057	0	4.1e-05	0.99	0	5	0.13
17	0	0	0.19	0	0	0.81	0	5	0.13
18	0	0	6.2e-06	0	0	1	0	5	0.13
19	0.0016	0.0013	0.4	0	5.7e-05	0.27	0.33	2	0.83
20	0	0.92	0.075	0	0	0	0	1	0.61
21	0.06	0.059	0.00017	0	0	0	0.88	6	0.39
22	0	0	0	0	0.98	0.015	0	4	0.043
23	0.079	0.92	7.4e-06	0	0	0	0.0019	1	0.61
24	0	0	0	0.96	0.045	0.00015	0	3	0
25	0.24	0.75	0	0	0	0	0.0079	1	0.61
26	0	0.99	0.0062	0	0	0	0	1	0.61
27	0.021	0.98	0.00081	0	0	0	6.2e-06	1	0.61
28	0.1	0.49	6.2e-05	0	0	1.3e-05	0.41	1	0.61
29	0.096	0.38	2.3e-05	0	0	1.5e-05	0.52	6	0.39
30	0.036	0.96	6.3e-05	0	0	0	2.2e-05	1	0.61
31	0.0014	0.96	0.034	0	0	0	0	1	0.61
32	0.25	0.58	2.2e-05	0	0	0	0.17	1	0.61
33	0.066	0.92	0.018	0	0	0	0.001	1	0.61
34	0.054	0.95	6.7e-06	0	0	0	0	1	0.61
35	0.55	0.38	0	0	0	0	0.07	0	0.54
36	0.075	0.061	0	0	0	2.4e-05	0.86	6	0.39
37	0.00012	2.6e-06	0	0	0	0.00041	1	6	0.39
38	0.024	0.97	0.0022	0	0	0	0	1	0.61
39	0	0	0	0	0.3	0.7	0	5	0.13
40	0.00049	1.4e-05	0	0	0	0	1	6	0.39
41	0.083	0.91	0.0028	0	0	0	0.00094	1	0.61
42	0	0	0	0	4.2e-05	1	9.8e-06	5	0.13
43	0.24	0.59	4.1e-05	0	0	0	0.18	1	0.61
44	7.6e-06	8e-06	0	0.63	0.28	0.09	0.00037	3	0
45	0.078	0.87	0.049	0	0	0	0.0071	1	0.61
46	0.41	0.59	0	0	0	0	0.0063	1	0.61
47	0.4	0.6	0	0	0	0	0.0011	1	0.61
48	0.085	0.88	0.027	0	0	0	0.0071	1	0.61
49	0.075	0.016	0	0	0	0	0.91	6	0.39
50	0	0	0	0	4.7e-05	1	0	5	0.13
51	0.037	0.82	0.14	0	0	0	0.00028	1	0.61
52	0.88	0.095	0	0	0	0	0.027	0	0.54
53	0.25	0.75	0	0	0	0	0.00011	1	0.61
54	0	0	0	0	0	1	0	5	0.13
55	0.48	0.28	0	0	0	0	0.24	0	0.54
56	0.14	0.86	0	0	0	0	0	1	0.61
57	0.39	0.45	0	0	0	0	0.15	1	0.61
58	0	0	0	1	2e-05	0	0	3	0
59	0.19	0.79	6.7e-05	0	0	0	0.015	1	0.61
60	0.17	0.82	0.00014	0	0	0	0.01	1	0.61
61	0.13	0.73	3.3e-05	0	0	0	0.14	1	0.61
62	0.059	0.87	0.066	0	0	0	0.0018	1	0.61
63	0	0	0	0	1	0	0	4	0.043
64	0	0	0	0	0.00058	1	0.0005	5	0.13
65	0	0	0	0	0	1	0	5	0.13
66	0.14	0.71	2.1e-05	0	0	0	0.14	1	0.61
67	0	0	0	0.85	0.14	0.0067	0	3	0
68	0	0	0	0	1	0.0013	0	4	0.043
69	0.41	0.14	0	0	0	0	0.45	6	0.39
70	0.027	0.97	0.00047	0	0	0	0	1	0.61
71	0.52	0.46	0	0	0	0	0.018	0	0.54
72	0	0	0	0	0	1	0	5	0.13
73	0.44	0.51	0	0	0	0	0.048	1	0.61
74	0.011	0.98	0.0064	0	0	0	0	1	0.61
75	0.16	0.83	0	0	0	0	0.0094	1	0.61
76	1.4e-05	1.6e-06	0	0	0.00018	0.98	0.024	5	0.13
77	0	0	0	0	0.0019	1	1e-05	5	0.13
