k	loglikelihood	observations	parameters	BIC
1	-52042	20135	10	104183
2	-21005.7	20135	15	42160
3	-21047.7	20135	20	42293.6
4	-19277.7	20135	25	38803.2
5	-17061	20135	30	34419.4
6	-14860.8	20135	35	30068.4
7	-15435.6	20135	40	31267.6
8	-14787.9	20135	45	30021.8
9	-14357.4	20135	50	29210.3
10	-14479.5	20135	55	29504
11	-13724.4	20135	60	28043.5
12	-14869.9	20135	65	30384
13	-11903.4	20135	70	24500.6
14	-12103.4	20135	75	24950
15	-12177.5	20135	80	25147.9
16	-13594.5	20135	85	28031.4
17	-11912.4	20135	90	24716.7
18	-11736.8	20135	95	24415.1
19	-11510.2	20135	100	24011.5
20	-11180.4	20135	105	23401.5
