SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0.018	0.00028	0	0	0.00057	0	0	0	1.5e-05	0	0.58	0.61	0.5	0.46	0.15
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0	0.22	0	0	0
2	0.19	0	0	0.19	0.19	0.19	0	0	0	0	0	0.092	0.15	0	0	0.00049	0	0	0	6.6e-05	0	0.58	0.61	0.5	0.46	0.15
3	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58	0.61	0.5	0.46	0.15
4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0016	0	12	0.58	0.61	0.5	0.58	0.15
5	0.2	0	0	0.2	0.2	0.2	0	0	0	0	0	0.19	0.027	0	0	0.00062	0	0	0	5.6e-06	0	0.58	0.61	0.5	0.46	0.15
6	0	0	0	0	0	0	0.0053	0	0	0	0	0	0	8.3e-05	0	0	0	0	0.99	0	18	0	0	0	0.26	0
7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0.093	0.043	0.056	0.051	0.05
8	0.24	0	0	0.24	0.24	0.24	0	0	0	0	0	0.051	0.0012	0	0	0.0034	0	0	0	0	0	0.58	0.61	0.5	0.46	0.15
9	0.24	0	0	0.24	0.24	0.24	0	0	0	0	0	0.012	0.011	0	0	0.00068	0	0	0	0	0	0.58	0.61	0.5	0.46	0.15
10	0.24	0	0	0.24	0.24	0.24	0	0	0	0	0	0.0073	0.0093	0	0	0.00095	0	0	0	0.0037	0	0.58	0.61	0.5	0.46	0.15
11	0.22	0	0	0.22	0.22	0.22	0	0	0	0	0	0.13	0.0014	0	0	9.8e-06	0	0	0	3.4e-06	0	0.58	0.61	0.5	0.46	0.15
12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.58	0.61	0.5	0	0.05
13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0.22	0	0
14	0.23	0	0	0.23	0.23	0.23	0	0	0	0	0	0.083	0.01	0	0	0.00017	0	0	0	0.0006	0	0.58	0.61	0.5	0.46	0.15
15	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0.22	0	0
16	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0.00011	0	0	2.8e-05	0	0	0	0	0	0.58	0.61	0.5	0.46	0.15
17	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58	0.61	0.5	0.46	0.15
18	0.17	0	0	0.17	0.17	0.17	0	0	0	0	0	0.31	0.0029	0	0	0.00021	0	0	0	0.00058	11	0.58	0.61	0.67	0.46	0.15
19	0	0.00046	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0.58	0.54	0.5	0	0
20	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58	0.61	0.5	0.46	0.15
21	0	0	0	0	0	0	1	0	0	0	0	0	0	1.3e-06	0	0	0	0	0	0	6	0	0	0	0.46	0.15
22	0	0.00047	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0.58	0.54	0.5	0	0
