SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
1	0	0	1	0	2	0.047	0.087	0	0	0.05
2	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
3	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
4	0.54	0.46	0	0	0	0.58	0.61	0.5	0.46	0.15
5	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
6	0	1	0	0	1	0	0	0.056	0.26	0.067
7	0	0	1	0	2	0.047	0.087	0	0	0.05
8	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
9	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
10	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
11	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
12	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
13	0	1	0	0	1	0	0	0.056	0.26	0.067
14	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
15	0	1	0	0	1	0	0	0.056	0.26	0.067
16	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
17	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
18	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
19	0	0	0	1	3	0.42	0.39	0.5	0	0
20	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
21	0	1	0	0	1	0	0	0.056	0.26	0.067
22	0	0	0	1	3	0.42	0.39	0.5	0	0
23	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
24	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
25	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
26	0	1	0	0	1	0	0	0.056	0.26	0.067
27	0	0	1	0	2	0.047	0.087	0	0	0.05
28	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
29	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
30	0	0	1	0	2	0.047	0.087	0	0	0.05
31	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
32	0	1	0	0	1	0	0	0.056	0.26	0.067
33	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
34	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
35	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
36	0	1	0	0	1	0	0	0.056	0.26	0.067
37	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
38	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
39	0	1	0	0	1	0	0	0.056	0.26	0.067
40	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
41	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
42	0	0	0	1	3	0.42	0.39	0.5	0	0
43	0	0	1	0	2	0.047	0.087	0	0	0.05
44	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
45	0	0	1	0	2	0.047	0.087	0	0	0.05
46	0	1	0	0	1	0	0	0.056	0.26	0.067
47	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
48	0	0	0	1	3	0.42	0.39	0.5	0	0
49	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
50	0	1	0	0	1	0	0	0.056	0.26	0.067
51	0	1	0	0	1	0	0	0.056	0.26	0.067
52	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
53	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
54	0	1	0	0	1	0	0	0.056	0.26	0.067
55	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
56	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
57	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
58	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
59	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
60	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
61	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
62	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
63	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
64	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
65	0.43	0.023	0	0.55	3	0.42	0.39	0.5	0	0
66	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
67	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
68	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
69	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
70	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
71	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
72	0	1	0	0	1	0	0	0.056	0.26	0.067
73	0	1	0	0	1	0	0	0.056	0.26	0.067
74	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
75	0	0	1	0	2	0.047	0.087	0	0	0.05
76	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
77	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
78	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
79	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
80	0	1	0	0	1	0	0	0.056	0.26	0.067
81	0	1	0	0	1	0	0	0.056	0.26	0.067
82	0	1	0	0	1	0	0	0.056	0.26	0.067
83	0	0	0	1	3	0.42	0.39	0.5	0	0
84	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
85	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
86	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
87	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
88	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
89	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
90	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
91	0	1	0	0	1	0	0	0.056	0.26	0.067
92	0	1	0	0	1	0	0	0.056	0.26	0.067
93	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
94	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
95	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
96	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
97	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
98	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
99	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
100	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
101	0	0	1	0	2	0.047	0.087	0	0	0.05
102	0	1	0	0	1	0	0	0.056	0.26	0.067
103	0	0	0	1	3	0.42	0.39	0.5	0	0
104	0	0	1	0	2	0.047	0.087	0	0	0.05
105	0	1	0	0	1	0	0	0.056	0.26	0.067
106	0	0	0	1	3	0.42	0.39	0.5	0	0
107	0	0	0	1	3	0.42	0.39	0.5	0	0
108	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
109	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
110	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
111	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
112	0	1	0	0	1	0	0	0.056	0.26	0.067
113	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
114	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
115	0	1	0	0	1	0	0	0.056	0.26	0.067
116	0	1	0	0	1	0	0	0.056	0.26	0.067
117	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
118	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
119	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
120	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
121	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
122	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
123	0	1	0	0	1	0	0	0.056	0.26	0.067
124	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
125	0	0	1	0	2	0.047	0.087	0	0	0.05
126	0	1	0	0	1	0	0	0.056	0.26	0.067
127	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
128	0	0	1	0	2	0.047	0.087	0	0	0.05
129	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
130	0	0	1	0	2	0.047	0.087	0	0	0.05
131	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
132	0	1	0	0	1	0	0	0.056	0.26	0.067
133	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
134	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
135	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
136	0	1	0	0	1	0	0	0.056	0.26	0.067
137	0	1	0	0	1	0	0	0.056	0.26	0.067
138	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
139	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
140	0	1	0	0	1	0	0	0.056	0.26	0.067
141	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
142	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
143	0	1	0	0	1	0	0	0.056	0.26	0.067
144	0	0	0	1	3	0.42	0.39	0.5	0	0
145	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
146	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
147	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
148	0	1	0	0	1	0	0	0.056	0.26	0.067
149	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
150	0	1	0	0	1	0	0	0.056	0.26	0.067
151	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
152	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
153	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
154	0	1	0	0	1	0	0	0.056	0.26	0.067
155	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
156	0	1	0	0	1	0	0	0.056	0.26	0.067
157	0	0	0	1	3	0.42	0.39	0.5	0	0
158	0	1	0	0	1	0	0	0.056	0.26	0.067
159	0	1	0	0	1	0	0	0.056	0.26	0.067
160	0	1	0	0	1	0	0	0.056	0.26	0.067
161	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
162	0	1	0	0	1	0	0	0.056	0.26	0.067
163	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
164	0	0	0	1	3	0.42	0.39	0.5	0	0
165	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
166	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
167	1	0	0	0	0	0.58	0.61	0.5	0.46	0.15
