SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	0	0.59	0	0	0	0.41	0	0	1	0.58	0.65	0.56	0.46	0.15
1	0	1	0	0	0	0	0	0	1	0.58	0.65	0.56	0.46	0.15
2	0	0.24	0	4.2e-05	0	0.76	0	0	5	0.58	0.61	0.5	0.46	0.15
3	0	0	0	0	0	1	0	0	5	0.58	0.61	0.5	0.46	0.15
4	0	0	0	0.12	0.0014	0.87	0	0	5	0.58	0.61	0.5	0.46	0.15
5	0	0.081	0	0	0	0.92	0	0	5	0.58	0.61	0.5	0.46	0.15
6	0	0	0	0	3.2e-05	0	0	1	7	0.093	0.043	0.056	0.26	0.067
7	0	0	0	0	0	0	0	1	7	0.093	0.043	0.056	0.26	0.067
8	0	0.16	0	0	0	0.84	0	0	5	0.58	0.61	0.5	0.46	0.15
9	0	0.11	0	0	0	0.89	0	0	5	0.58	0.61	0.5	0.46	0.15
10	0	0.059	0	1.9e-06	0	0.94	0	0	5	0.58	0.61	0.5	0.46	0.15
11	0	0.16	0	0	0	0.84	0	0	5	0.58	0.61	0.5	0.46	0.15
12	1	0	0	0	0	0	0	0	0	0.58	0.61	0.5	0.051	0.017
13	0	0	0	0	1	0	0	0	4	0	0.043	0.11	0.051	0.05
14	0	0.36	0	0	0	0.64	5.8e-05	0	5	0.58	0.61	0.5	0.46	0.15
15	0	0	0	0	1	0	0	0	4	0	0.043	0.11	0.051	0.05
16	0	0.00017	0	0	0	1	0	0	5	0.58	0.61	0.5	0.46	0.15
17	0	0	0	0	0	1	0	0	5	0.58	0.61	0.5	0.46	0.15
18	0	0.77	0	0	0	0.23	0	0	1	0.58	0.65	0.56	0.46	0.15
19	0.006	0	0.99	0	0	0	0	0	2	0.42	0.39	0.5	0	0
20	0	1.8e-06	0	0	0	1	0	0	5	0.58	0.61	0.5	0.46	0.15
21	0	0	0	0	0	0	0	1	7	0.093	0.043	0.056	0.26	0.067
22	0.44	0	0.56	0	0	0	0	0	2	0.42	0.39	0.5	0	0
23	0	0.00055	0	0	0	1	0	0	5	0.58	0.61	0.5	0.46	0.15
24	0	0.18	0	0	0	0.82	0	0	5	0.58	0.61	0.5	0.46	0.15
25	0	0.074	0	0	0	0.93	0	0	5	0.58	0.61	0.5	0.46	0.15
26	0	0	0	0	1	0	0	0	4	0	0.043	0.11	0.051	0.05
27	0	0	0	0	1	0	0	0	4	0	0.043	0.11	0.051	0.05
28	0	0.14	0	0.14	0	0.72	1.5e-05	0	5	0.58	0.61	0.5	0.46	0.15
29	0	0.56	0	0	0	0.44	0	0	1	0.58	0.65	0.56	0.46	0.15
30	0	1	0	0	0	0	0	0	1	0.58	0.65	0.56	0.46	0.15
31	0	0.91	0	0	0	0.095	0	0	1	0.58	0.65	0.56	0.46	0.15
32	0	0	0	0.03	0.97	0	0	0	4	0	0.043	0.11	0.051	0.05
33	0	0.4	0	0	0	0.6	0	0	5	0.58	0.61	0.5	0.46	0.15
34	0	0.77	0	0	0	0.23	0	0	1	0.58	0.65	0.56	0.46	0.15
35	0	0.012	0	0	0	0.99	0	0	5	0.58	0.61	0.5	0.46	0.15
36	0	0.98	0	0	0.021	0	0	0	1	0.58	0.65	0.56	0.46	0.15
37	0	0.008	0	0	0	0.99	0	0	5	0.58	0.61	0.5	0.46	0.15
38	0	0.0097	0	0	0	0.99	0	0	5	0.58	0.61	0.5	0.46	0.15
39	0	0	0	0	0	0	0	1	7	0.093	0.043	0.056	0.26	0.067
40	0	0.027	0	0	0	0.97	0	0	5	0.58	0.61	0.5	0.46	0.15
41	0	0.25	0	0	0	0.75	0	0	5	0.58	0.61	0.5	0.46	0.15
42	0.0083	0	0.99	0	0	0	0	0	2	0.42	0.39	0.5	0	0
43	0	0	0	0	1	0	0	0	4	0	0.043	0.11	0.051	0.05
44	0	0.19	0	0	0	0.81	0	0	5	0.58	0.61	0.5	0.46	0.15
45	0	0	0	0	1	0	0	0	4	0	0.043	0.11	0.051	0.05
46	0	0	0	0	1	0	0	0	4	0	0.043	0.11	0.051	0.05
47	0	0.0075	0	0	0	0.99	0	0	5	0.58	0.61	0.5	0.46	0.15
48	0.025	0	0.97	0	0	0	0	0	2	0.42	0.39	0.5	0	0
49	0	0	0	0	0	1	0	0	5	0.58	0.61	0.5	0.46	0.15
50	0	0	0	0	1	0	0	0	4	0	0.043	0.11	0.051	0.05
51	0	0	0	1	0	0	0	0	3	0.58	0.61	0.5	0.82	0.23
52	0	0	0	0	0	0	0	1	7	0.093	0.043	0.056	0.26	0.067
53	0	0.038	0	0	0	0.96	0	0	5	0.58	0.61	0.5	0.46	0.15
54	0	0	0	0	0	0	0	1	7	0.093	0.043	0.056	0.26	0.067
55	0	0.15	0	2.1e-05	0	0.85	0.0011	0	5	0.58	0.61	0.5	0.46	0.15
56	0	0.46	0	3.9e-05	0	0.54	0	0	5	0.58	0.61	0.5	0.46	0.15
57	0	0.015	0	0	0	0.99	2.1e-06	0	5	0.58	0.61	0.5	0.46	0.15
58	0	0.018	0	0	0	0.98	0	0	5	0.58	0.61	0.5	0.46	0.15
59	0	0.06	0	0.0093	0	0.93	0	0	5	0.58	0.61	0.5	0.46	0.15
60	0	0	0	0	0	1	0	0	5	0.58	0.61	0.5	0.46	0.15
61	0	0.048	0	0	0	0.95	0.00033	0	5	0.58	0.61	0.5	0.46	0.15
62	0	0.0085	0	0	0	0.99	0	0	5	0.58	0.61	0.5	0.46	0.15
63	0	0.21	0	0	0	0.79	0	0	5	0.58	0.61	0.5	0.46	0.15
64	0	0.55	0	0	0	0.45	0	0	1	0.58	0.65	0.56	0.46	0.15
65	0	0	0	0	1	0	0	0	4	0	0.043	0.11	0.051	0.05
66	0	0.094	0	0	0	0.91	0.00043	0	5	0.58	0.61	0.5	0.46	0.15
67	0	0.2	0	0	0	0.8	0.00027	0	5	0.58	0.61	0.5	0.46	0.15
68	0	0	0	0	1	0	0	0	4	0	0.043	0.11	0.051	0.05
69	0	0.099	0	0.013	0	0.89	0.00063	0	5	0.58	0.61	0.5	0.46	0.15
70	0	0.051	0	0	0	0.95	0	0	5	0.58	0.61	0.5	0.46	0.15
71	0	0.054	0	0	0	0.95	0	0	5	0.58	0.61	0.5	0.46	0.15
72	0	0	0	1	0	0	0	0	3	0.58	0.61	0.5	0.82	0.23
73	0	0	0	0	0	0	0	1	7	0.093	0.043	0.056	0.26	0.067
74	1	0	0	0	0	0	0	0	0	0.58	0.61	0.5	0.051	0.017
75	0	1	0	0	0	0	1.2e-05	0	1	0.58	0.65	0.56	0.46	0.15
76	0	0.17	0	0	0	0.83	0	0	5	0.58	0.61	0.5	0.46	0.15
77	0	0.12	0	0	0	0.88	0	0	5	0.58	0.61	0.5	0.46	0.15
78	0	0.24	0	0	0	0.76	0	0	5	0.58	0.61	0.5	0.46	0.15
79	0	0.35	0	0	0	0.65	0	0	5	0.58	0.61	0.5	0.46	0.15
80	0	0	0	1	0	0	0	0	3	0.58	0.61	0.5	0.82	0.23
81	0	0	0	0	0	0	0	1	7	0.093	0.043	0.056	0.26	0.067
82	0	0	0	1	0	0	0	0	3	0.58	0.61	0.5	0.82	0.23
83	1	0	0	0	0	0	0	0	0	0.58	0.61	0.5	0.051	0.017
84	0	0.13	0	0	0	0.87	0	0	5	0.58	0.61	0.5	0.46	0.15
85	0	0.94	0	0	0	0.058	0	0	1	0.58	0.65	0.56	0.46	0.15
86	0	0.27	0	0.0049	0	0.73	0	0	5	0.58	0.61	0.5	0.46	0.15
87	0	0.49	0	0	0	0.51	0	0	5	0.58	0.61	0.5	0.46	0.15
88	0	0.03	0	0	0	0.97	0	0	5	0.58	0.61	0.5	0.46	0.15
89	0	0.16	0	0	0	0.84	0	0	5	0.58	0.61	0.5	0.46	0.15
90	0	0	0	0	0	0	0	1	7	0.093	0.043	0.056	0.26	0.067
91	0	0	0	0.16	0.84	0	0	0.00022	4	0	0.043	0.11	0.051	0.05
