k	loglikelihood	observations	parameters	BIC
1	-3308.03	2838	4	6647.86
2	-1894.56	2838	6	3836.82
3	-1650.15	2838	8	3363.91
4	-1579.27	2838	10	3238.05
5	-1459.83	2838	12	3015.08
6	-1466.73	2838	14	3044.77
7	-1382.63	2838	16	2892.47
8	-1379.57	2838	18	2902.25
9	-1379.55	2838	20	2918.11
10	-1381.18	2838	22	2937.28
11	-1369.71	2838	24	2930.24
12	-1370.64	2838	26	2948.01
13	-1372.1	2838	28	2966.83
14	-1367.98	2838	30	2974.49
15	-1364.79	2838	32	2984.01
16	-1366.03	2838	34	3002.39
17	-1368.89	2838	36	3024.01
18	-1365.96	2838	38	3034.05
19	-1368.89	2838	40	3055.81
20	-1367.13	2838	42	3068.19
