SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster	dcf0	dcf1
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0.022	0.067
1	0	0.0047	0.31	0	0	5.4e-05	0.00071	0.028	0.00071	0	0.65	0	0	0	10	0.2	0.12
2	0	5.1e-05	0.32	0	0	0	0.00053	0.03	0.00053	0	0.65	0	0	0	10	0.2	0.12
3	0	0.0024	0.043	0	0	5.9e-06	0.00035	0.021	0.00035	0	0.93	0	0	0	10	0.2	0.12
4	0	0	0	0	0	0.22	0	0.00092	0	0	0.71	0	0	0.069	10	0.2	0.12
5	1	0	0	0	0	0	0	0	0	0	0	0	9.1e-06	0	0	0	0.093
6	0	0.018	0.021	0.47	0.17	0	3.3e-05	0	3.3e-05	0	0.33	0	0	0	3	0.16	0.013
7	0	0	0	0	0	0.79	0	0.00068	0	0	0.19	0	0	0.02	5	0.33	0.2
8	0	0.093	0.78	1.1e-05	0	0	0.002	0	0.002	0	0.12	0	0	0	2	0.16	0.093
9	0	0.91	0.081	0.00034	0	0	0.0005	0	0.0005	0	0.0073	0	0	0	1	0.2	0.053
10	0	0	0	0	0	0.72	0	0.00047	0	0	0.24	0	0	0.041	5	0.33	0.2
11	0	0.0036	0.32	0	0	0	0.00086	0.0034	0.00086	0	0.67	0	0	0	10	0.2	0.12
12	0	2.6e-05	0.75	0	0	0	0.00047	0.005	0.00047	0	0.24	0	0	0	2	0.16	0.093
13	0	0.015	0.014	0	0	0	0.00069	0.00019	0.00069	0	0.97	0	0	0	10	0.2	0.12
14	0	0.0049	0.64	0	0	0	0.0011	0.00037	0.0011	0	0.35	0	0	0	2	0.16	0.093
15	0	0.036	0.19	7.9e-05	0	0.0016	0.0006	0.032	0.0006	0	0.73	0	0	1.8e-05	10	0.2	0.12
16	0	0	0	0	0	0.29	0	0.23	0	0	0.015	0	0	0.47	13	0.4	0.2
17	0	0.0012	0	1	0	0	0	0	0	0	0	0	0	0	3	0.16	0.013
18	0	0.071	0.83	0.047	0	0	0.001	4.6e-05	0.001	0	0.051	0	0	0	2	0.16	0.093
19	1	0	0	0	0	0	0	0	0	0	0	0	4.4e-06	0	0	0	0.093
20	0	0	0	0	0	0.058	0	0.0075	0	0	0.86	0	0	0.077	10	0.2	0.12
21	0	0.001	0.9	0	0	0	0.00075	0.00012	0.00075	0	0.093	0	0	0	2	0.16	0.093
22	0	0.79	0.04	0.12	0	0	0.00035	1.4e-06	0.00035	0	0.047	0	0	0	1	0.2	0.053
23	0	0	0	0	0	1	0	0	0	0	0.0016	0	0	0.0014	5	0.33	0.2
24	1	0	0	0	0	0	0	0	0	0	0	0	4.9e-05	0	0	0	0.093
25	0	0.0045	0.29	0	0	0.0012	0.00072	0.04	0.00072	0	0.67	0	0	1.2e-05	10	0.2	0.12
26	0	4.1e-05	0	1	0	0	0	0	0	0	0	0	0	0	3	0.16	0.013
27	0	0.00057	0.79	0	0	0	0.0017	1.4e-05	0.0017	0	0.21	0	0	0	2	0.16	0.093
28	0	2.2e-06	0	0	0	0.35	0	0.0047	0	0	0.56	0	0	0.085	10	0.2	0.12
29	0.97	0	9e-06	6.3e-05	2.5e-06	0	0	0	0	0	0	0	0.032	0	0	0	0.093
30	0	0.0059	0.86	0	0	0.12	0.00083	0	0.00083	0	0.011	0	0	0.0029	2	0.16	0.093
31	0	0.00032	2.5e-05	0	0	0.00019	1.5e-05	0.0024	1.5e-05	0	1	0	0	0	10	0.2	0.12
32	0	0.15	0.84	1.5e-05	0	0	0.0015	0	0.0015	0	0.0067	0	0	0	2	0.16	0.093
33	0	0	0	0	0	0.99	0	5.4e-06	0	0	0.0055	0	0	0.0028	5	0.33	0.2
34	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093
35	0	0	0	0	0	0.0066	0	0.0009	0	0	0.65	0	0	0.34	10	0.2	0.12
36	0	0.0041	0.94	0	0	0	0.0049	0	0.0049	0	0.047	0	0	0	2	0.16	0.093
37	0	0.00028	0	1	0	0	0	0	0	0	0	0	0	0	3	0.16	0.013
38	0	0	0	0	0	0.0026	0	0.0077	0	0	0.9	0	0	0.093	10	0.2	0.12
39	0	0.015	0.023	0.96	0	0	2.4e-05	0	2.4e-05	0	0.00032	0	0	0	3	0.16	0.013
40	0	0.77	0.00077	0.23	0	0	1.6e-05	0	1.6e-05	0	0.00011	0	0	0	1	0.2	0.053
41	0	0	0	0	0	0.9	0	0.0013	0	0	0.066	0	0	0.03	5	0.33	0.2
42	0	0.49	0.28	4.3e-05	0	0	0.0021	0	0.0021	0	0.23	0	0	0	1	0.2	0.053
43	0	0.12	0.4	0.00016	0	1.1e-06	0.0017	0.00042	0.0017	0	0.48	0	0	0	10	0.2	0.12
44	0	0.4	0.22	9.6e-06	0	0	0.0022	5.6e-06	0.0022	0	0.37	0	0	0	1	0.2	0.053
45	0	0	0	0	0	0.93	0	0.00011	0	0	0.056	0	0	0.0093	5	0.33	0.2
46	0	0.027	0.6	0	0	0	0.0019	0.0002	0.0019	0	0.37	0	0	0	2	0.16	0.093
47	0	0	0	0	0	0.17	0	0.0015	0	0	0.72	0	0	0.11	10	0.2	0.12
48	0	0.43	0.17	0.0005	0	0	0.0014	4.6e-05	0.0014	0	0.4	0	0	0	1	0.2	0.053
49	0	0.48	0.087	0.0039	0	0.00025	0.00089	0.0005	0.00089	0	0.43	0	0	0.00051	1	0.2	0.053
50	0	0.56	0.06	0.24	0	2.1e-05	0.0005	0.00015	0.0005	0	0.14	0	0	0.00015	1	0.2	0.053
51	0	0.044	0.73	7.9e-05	0	0.0013	0.0016	0.00031	0.0016	0	0.22	0	0	0.00031	2	0.16	0.093
52	0	0.61	0.26	0.037	0	2e-06	0.0013	5.7e-06	0.0013	0	0.089	0	0	5.8e-06	1	0.2	0.053
53	0	0	0	0	0	0.36	0	0.017	0	0	0.51	0	0	0.11	10	0.2	0.12
54	0	2e-05	0	0	0	0.36	0	0.0037	0	0	0.54	0	0	0.1	10	0.2	0.12
55	0	0.0024	0.77	0	0	0	0.0009	0.00017	0.0009	0	0.22	0	0	0	2	0.16	0.093
56	0	0.078	0.0055	0.41	0.51	0	2.5e-05	0	2.5e-05	0	0.0037	0	0	0	4	0.18	0
57	1	0	0	0	0	0	0	0	0	0	0	0	0.00021	0	0	0	0.093
58	0	0.056	0.058	1.3e-05	0	0.002	0.00051	0.01	0.00051	0	0.87	0	0	0.0052	10	0.2	0.12
59	0	0.046	0.3	0.00083	0	0.0015	0.00087	0.011	0.00087	0	0.64	0	0	4.1e-05	10	0.2	0.12
60	0	0.13	0.063	0	0	0	0.00097	0.00012	0.00097	0	0.81	0	0	0	10	0.2	0.12
61	0	0	0	0	0	1	0	0	0	0	0.00069	0	0	0.0016	5	0.33	0.2
62	0	0.065	0.79	0	0	0	0.0036	0	0.0036	0	0.14	0	0	0	2	0.16	0.093
63	0	0.0029	0.86	0	0	0	0.0032	0	0.0032	0	0.13	0	0	0	2	0.16	0.093
64	0	0	0.00018	0.85	0.0071	0	0	0	0	0	0	0	0.14	0	3	0.16	0.013
65	1	0	0	0	0	0	0	0	0	0	0	0	1.1e-05	0	0	0	0.093
66	0	8.7e-05	0.99	0	0	0	0.00026	5.8e-06	0.00026	0	0.0088	0	0	0	2	0.16	0.093
67	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093
68	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093
69	0	0	0	0.99	0.014	0	0	0	0	0	0	0	0	0	3	0.16	0.013
70	0	0.0059	0.099	0	0	0.006	0.00045	0.038	0.00045	0	0.85	0	0	8.6e-05	10	0.2	0.12
71	0	0.012	0.97	0.0024	0	0	0.00062	2.2e-06	0.00062	0	0.015	0	0	0	2	0.16	0.093
72	0	0.00058	0.046	0	0	0	0.00033	0.011	0.00033	0	0.94	0	0	0	10	0.2	0.12
73	0	0	0	0	0	0.99	0	6.3e-05	0	0	7.5e-05	0	0	0.0055	5	0.33	0.2
74	0	0	0.98	0	0	0	0.00044	4.4e-06	0.00044	0	0.017	0	0	0	2	0.16	0.093
75	0	0.0012	0.92	0	0	0	0.0014	2.9e-06	0.0014	0	0.08	0	0	0	2	0.16	0.093
76	0	0	0	0	0	0.58	0	0.0026	0	0	0.35	0	0	0.062	5	0.33	0.2
77	0	0.032	0.82	0	0	0	0.0029	0	0.0029	0	0.14	0	0	0	2	0.16	0.093
78	0	5.8e-05	0.99	0	0	0	0.00043	0	0.00043	0	0.012	0	0	0	2	0.16	0.093
79	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093
80	0	0.0079	0.98	0	0	0	0.00099	0	0.00099	0	0.014	0	0	0	2	0.16	0.093
81	0	0.0028	0.085	0	0	0.0004	0.00053	0.018	0.00053	0	0.89	0	0	0	10	0.2	0.12
82	0	0.032	0.88	0	0	0	0.0021	0	0.0021	0	0.084	0	0	0	2	0.16	0.093
83	0	0	0	0	0	0.4	0	0.00084	0	0	0.54	0	0	0.057	10	0.2	0.12
84	0	0.0012	0.99	6.1e-05	0	0	0.00033	2.3e-06	0.00033	0	0.0086	0	0	0	2	0.16	0.093
85	0	8.9e-06	0.011	0	0	0	0.00025	0.00035	0.00025	0	0.99	0	0	0	10	0.2	0.12
