SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster	dcf0	dcf1
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0.022	0.053
1	0.65	0.3	0.00077	0	0	0.00064	0	0	0.00064	0	0.011	0.033	0	5.5e-05	0	0	0.2	0.12
2	0.65	0.31	4.1e-05	0	0	0.00048	0	0	0.00048	0	0.0006	0.036	0	0	0	0	0.2	0.12
3	0.92	0.042	0.00064	0	0	0.00032	0	0	0.00032	0	0.0093	0.025	0	6e-06	0	0	0.2	0.12
4	0.75	0	0	0	0	0	0.0041	0	0	0	0	0.0012	0.0019	0.24	0	0	0.2	0.12
5	0	0	0	1	0.00031	0	0	0	0	6.4e-06	0	0	0	0	0	3	0	0.093
6	0.47	0.03	0.00071	0	0	4.3e-05	0	0	4.3e-05	0	0.01	0	0	0	0.49	14	0.18	0.013
7	0.19	0	0	0	0	0	0.0016	0	0	0	0	0.00082	0.00052	0.81	0	13	0.33	0.2
8	0.12	0.76	0.008	0	0	0.0018	0	0	0.0018	0	0.12	0	0	0	1.4e-05	1	0.16	0.093
9	0.013	0.14	0.054	0	0	0.0008	0	0	0.0008	0	0.79	0	0	0	0.0017	10	0.2	0.067
10	0.24	0	0	0	0	0	0.001	0	0	0	9.1e-06	0.00058	0.0011	0.76	0	13	0.33	0.2
11	0.67	0.31	0.0009	0	0	0.00077	0	0	0.00077	0	0.013	0.0041	0	0	0	0	0.2	0.12
12	0.25	0.74	2.2e-05	0	0	0.00044	0	0	0.00044	0	0.00033	0.0062	0	0	0	1	0.16	0.093
13	0.92	0.013	0.004	0	0	0.0006	0	0	0.0006	0	0.059	0.00021	0	0	0	0	0.2	0.12
14	0.35	0.63	0.0012	0	0	0.00098	0	0	0.00098	0	0.017	0.00045	0	0	0	1	0.16	0.093
15	0.72	0.19	0.0035	0	0	0.00053	0	0	0.00053	0	0.052	0.038	0	0.0016	0.00011	0	0.2	0.12
16	0.02	0	0	0	0	0	0.19	0	0	0	0	0.37	0.017	0.4	0	13	0.33	0.2
17	0	0	0	0	0	0	0	0	0	0	2.7e-05	0	0	0	1	14	0.18	0.013
18	0.055	0.86	0.0037	0	0	0.00098	0	0	0.00098	0	0.054	5.9e-05	0	0	0.029	1	0.16	0.093
19	0	0	0	1	0.00075	0	0	0	0	0	0	0	0	0	0	3	0	0.093
20	0.91	0	0	0	0	0	0.012	0	0	0	0	0.0097	0.0021	0.064	0	0	0.2	0.12
21	0.095	0.9	0.00025	0	0	0.0007	0	0	0.0007	0	0.0036	0.00015	0	0	0	1	0.16	0.093
22	0.05	0.042	0.024	0	0	0.00035	0	0	0.00035	0	0.35	1.8e-06	0	0	0.53	14	0.18	0.013
23	0.0015	0	0	0	0	0	0	0	0	0	0	0	3.5e-05	1	0	13	0.33	0.2
24	0	0	0	1	0.0002	0	0	0	0	6e-05	0	0	0	0	0	3	0	0.093
25	0.66	0.28	0.00081	0	0	0.00065	1.2e-06	0	0.00065	0	0.012	0.048	0	0.0012	0	0	0.2	0.12
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	0.18	0.013
27	0.21	0.78	0.00032	0	0	0.0016	0	0	0.0016	0	0.0047	1.7e-05	0	0	0	1	0.16	0.093
28	0.6	0	0	0	0	0	0.0063	0	0	0	1.2e-05	0.0061	0.0024	0.38	0	0	0.2	0.12
29	0	8.4e-06	0	0.91	0.00023	0	0	0	0	0.088	0	0	0	0	1.2e-05	3	0	0.093
30	0.012	0.85	0.00072	0	0	0.00077	1.8e-06	0	0.00077	0	0.01	0	7.6e-05	0.13	0	1	0.16	0.093
31	0.99	2.5e-05	0.00022	0	0	1.4e-05	0	0	1.4e-05	0	0.0032	0.0029	0	0.00019	0	0	0.2	0.12
32	0.007	0.85	0.0089	0	0	0.0014	0	0	0.0014	0	0.13	0	0	0	1.3e-05	1	0.16	0.093
33	0.0053	0	0	0	0	0	2e-05	0	0	0	0	6.3e-06	7.1e-05	0.99	0	13	0.33	0.2
34	0	0	0	1	0.002	0	0	0	0	0	0	0	0	0	0	3	0	0.093
35	0.97	0	0	0	0	0	0.0078	0	0	0	0	0.0016	0.013	0.01	0	0	0.2	0.12
36	0.047	0.91	0.0021	0	0	0.0044	0	0	0.0044	0	0.031	0	0	0	0	1	0.16	0.093
37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	0.18	0.013
38	0.96	0	0	0	0	0	0.03	0	0	0	0	0.0098	0.0026	0.0029	0	0	0.2	0.12
39	0.00064	0.045	0.00059	0	0	4.3e-05	0	0	4.3e-05	0	0.0086	0	0	0	0.94	14	0.18	0.013
40	4.7e-05	0.00032	0.0031	0	0	6.1e-06	0	0	6.1e-06	0	0.046	0	0	0	0.95	14	0.18	0.013
41	0.066	0	0	0	0	0	0.00039	0	0	0	0	0.0016	0.00079	0.93	0	13	0.33	0.2
42	0.23	0.28	0.032	0	0	0.0019	0	0	0.0019	0	0.46	0	0	0	0.00015	10	0.2	0.067
43	0.47	0.38	0.0098	0	0	0.0015	0	0	0.0015	0	0.14	0.00049	0	1.1e-06	0.0003	0	0.2	0.12
44	0.34	0.2	0.03	0	0	0.0018	0	0	0.0018	0	0.43	6.2e-06	0	0	4.1e-05	10	0.2	0.067
45	0.055	0	0	0	0	0	0.00029	0	0	0	0	0.00013	0.00024	0.94	0	13	0.33	0.2
46	0.37	0.57	0.0036	0	0	0.0017	0	0	0.0017	0	0.053	0.00024	0	0	0	1	0.16	0.093
47	0.8	0	0	0	0	0	0.0046	0	0	0	0	0.0019	0.0032	0.19	0	0	0.2	0.12
48	0.41	0.17	0.026	0	0	0.0013	0	0	0.0013	0	0.39	5.8e-05	0	0	0.0019	0	0.2	0.12
49	0.47	0.092	0.027	0	0	0.00088	1e-06	0	0.00088	0	0.39	0.00066	1.5e-05	0.00028	0.02	0	0.2	0.12
50	0.098	0.042	0.013	0	0	0.00032	0	0	0.00032	0	0.19	0.00013	2.9e-06	1.6e-05	0.66	14	0.18	0.013
51	0.22	0.71	0.0041	0	0	0.0015	0	0	0.0015	0	0.059	0.00037	8.2e-06	0.0014	8.2e-05	1	0.16	0.093
52	0.11	0.32	0.029	0	0	0.0015	0	0	0.0015	0	0.42	8.6e-06	0	2.6e-06	0.11	10	0.2	0.067
53	0.55	0	0	0	0	0	0.028	0	0	0	0	0.022	0.0031	0.4	0	0	0.2	0.12
54	0.59	0	3e-06	0	0	0	0.0052	0	0	0	4.3e-05	0.0048	0.003	0.4	0	0	0.2	0.12
55	0.22	0.76	0.00062	0	0	0.00083	0	0	0.00083	0	0.009	0.00021	0	0	0	1	0.16	0.093
56	0.0041	0.006	0.0019	0	0	2.5e-05	0	0	2.5e-05	0	0.028	0	0	0	0.96	14	0.18	0.013
57	0	0	0	1	0.00042	0	0	0	0	0.00018	0	0	0	0	0	3	0	0.093
58	0.84	0.055	0.0055	0	0	0.00045	0.00011	0	0.00045	0	0.08	0.012	0.00013	0.0021	5.1e-05	0	0.2	0.12
59	0.64	0.29	0.0037	0	0	0.00078	0	0	0.00078	0	0.054	0.014	0	0.0016	0.0011	0	0.2	0.12
60	0.74	0.056	0.013	0	0	0.00081	0	0	0.00081	0	0.19	0.00013	0	0	3e-06	0	0.2	0.12
61	0.00067	0	0	0	0	0	0	0	0	0	0	0	3.9e-05	1	0	13	0.33	0.2
62	0.13	0.71	0.0098	0	0	0.003	0	0	0.003	0	0.14	0	0	0	0	1	0.16	0.093
63	0.13	0.84	0.0013	0	0	0.003	0	0	0.003	0	0.02	0	0	0	0	1	0.16	0.093
64	0	0.00014	0	0	0	0	0	0	0	0.99	0	0	0	0	0.0097	9	0.022	0.053
65	0	0	0	1	0.00063	0	0	0	0	6.3e-06	0	0	0	0	0	3	0	0.093
66	0.009	0.99	2.2e-05	0	0	0.00024	0	0	0.00024	0	0.00031	7.2e-06	0	0	0	1	0.16	0.093
67	0	0	0	1	0.00041	0	0	0	0	0	0	0	0	0	0	3	0	0.093
68	0	0	0	1	0.00024	0	0	0	0	0	0	0	0	0	0	3	0	0.093
69	0	8.6e-05	0	0	0	0	0	0	0	0	0	0	0	0	1	14	0.18	0.013
70	0.84	0.095	0.00097	0	0	0.0004	4.7e-06	0	0.0004	0	0.014	0.045	2.2e-06	0.0061	0	0	0.2	0.12
71	0.015	0.97	0.00074	0	0	0.00058	0	0	0.00058	0	0.011	2.7e-06	0	0	0.00074	1	0.16	0.093
72	0.94	0.045	0.00022	0	0	0.0003	0	0	0.0003	0	0.0032	0.014	0	0	0	0	0.2	0.12
73	7.4e-05	0	0	0	0	0	0.00028	0	0	0	0	7.4e-05	0.00014	1	0	13	0.33	0.2
74	0.017	0.98	0	0	0	0.00041	0	0	0.00041	0	2.1e-05	5.4e-06	0	0	0	1	0.16	0.093
75	0.081	0.91	0.0004	0	0	0.0013	0	0	0.0013	0	0.0059	3.5e-06	0	0	0	1	0.16	0.093
76	0.37	0	0	0	0	0	0.0035	0	0	0	0	0.0033	0.0017	0.63	0	13	0.33	0.2
77	0.14	0.78	0.005	0	0	0.0026	0	0	0.0026	0	0.073	0	0	0	0	1	0.16	0.093
78	0.012	0.99	2.9e-05	0	0	0.0004	0	0	0.0004	0	0.00043	0	0	0	0	1	0.16	0.093
79	0	0	0	1	0.00033	0	0	0	0	0	0	0	0	0	0	3	0	0.093
80	0.014	0.97	0.00089	0	0	0.00092	0	0	0.00092	0	0.013	0	0	0	0	1	0.16	0.093
81	0.88	0.082	0.00075	0	0	0.00047	0	0	0.00047	0	0.011	0.021	0	0.00041	0	0	0.2	0.12
82	0.083	0.85	0.004	0	0	0.0019	0	0	0.0019	0	0.059	0	0	0	0	1	0.16	0.093
83	0.57	0	0	0	0	0	0.0033	0	0	0	0	0.0011	0.0015	0.43	0	0	0.2	0.12
84	0.0088	0.99	0.00011	0	0	0.00031	0	0	0.00031	0	0.0016	2.9e-06	0	0	9.7e-06	1	0.16	0.093
85	0.99	0.011	3e-05	0	0	0.00023	0	0	0.00023	0	0.00044	0.00042	0	0	0	0	0.2	0.12
86	0.17	0.81	0.00099	0	0	0.0009	0	0	0.0009	0	0.014	0.001	0	0	9.2e-06	1	0.16	0.093
