SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1
0	0	0	0	1	0	0	0	0	3	0.022	0.053
1	0.7	0.11	7e-05	0	0.11	0	0	0.07	0	0.2	0.12
2	0.73	0.12	0	0	0.12	0	0	0.024	0	0.2	0.12
3	0.94	0.015	7.2e-06	0	0.015	0	0	0.027	0	0.2	0.12
4	0.72	0	0.28	0	0	0	0	0	0	0.2	0.12
5	0	0	0	6.4e-06	0	0	1	0	6	0	0.093
6	0.48	0.011	0	0	0.011	0.48	0	0.016	0	0.2	0.12
7	0.17	0	0.83	0	0	0	0	0	2	0.33	0.2
8	0.1	0.23	0	0	0.23	1.1e-05	0	0.43	7	0.18	0.08
9	0.02	0.074	0	0	0.074	0.0025	0	0.83	7	0.18	0.08
10	0.21	0	0.79	0	0	0	0	0	2	0.33	0.2
11	0.7	0.11	0	0	0.11	0	0	0.078	0	0.2	0.12
12	0.32	0.33	0	0	0.33	0	0	0.026	1	0.16	0.093
13	0.92	0.0045	0	0	0.0045	0	0	0.07	0	0.2	0.12
14	0.39	0.24	0	0	0.24	0	0	0.12	0	0.2	0.12
15	0.78	0.069	0.0021	0	0.069	0.00011	0	0.077	0	0.2	0.12
16	0.04	0	0.96	0	0	0	0	0	2	0.33	0.2
17	0	0	0	0	0	1	0	8.9e-06	5	0.18	0.013
18	0.059	0.32	0	0	0.32	0.029	0	0.28	1	0.16	0.093
19	0	0	0	0	0	0	1	0	6	0	0.093
20	0.92	0	0.076	0	0	0	0	0	0	0.2	0.12
21	0.12	0.39	0	0	0.39	0	0	0.095	1	0.16	0.093
22	0.069	0.02	0	0	0.02	0.69	0	0.2	5	0.18	0.013
23	0.0013	0	1	0	0	0	0	0	2	0.33	0.2
24	0	0	0	5.9e-05	0	0	1	0	6	0	0.093
25	0.72	0.1	0.0015	0	0.1	0	0	0.066	0	0.2	0.12
26	0	0	0	0	0	1	0	0	5	0.18	0.013
27	0.24	0.3	0	0	0.3	0	0	0.16	1	0.16	0.093
28	0.57	0	0.43	0	0	0	0	5.4e-06	0	0.2	0.12
29	0	3.1e-06	0	0.087	3.1e-06	1.2e-05	0.91	0	6	0	0.093
30	0.012	0.32	0.16	0	0.32	0	0	0.19	1	0.16	0.093
31	1	8.5e-06	0.00023	0	8.5e-06	0	0	0.00084	0	0.2	0.12
32	0.0051	0.21	0	0	0.21	9.1e-06	0	0.57	7	0.18	0.08
33	0.0045	0	1	0	0	0	0	0	2	0.33	0.2
34	0	0	0	0	0	0	1	0	6	0	0.093
35	0.99	0	0.012	0	0	0	0	0	0	0.2	0.12
36	0.029	0.2	0	0	0.2	0	0	0.58	7	0.18	0.08
37	0	0	0	0	0	1	0	0	5	0.18	0.013
38	1	0	0.0036	0	0	0	0	0	0	0.2	0.12
39	0.00068	0.017	0	0	0.017	0.94	0	0.026	5	0.18	0.013
40	5.2e-05	0.00012	0	0	0.00012	0.99	0	0.011	5	0.18	0.013
41	0.056	0	0.94	0	0	0	0	0	2	0.33	0.2
42	0.22	0.093	0	0	0.093	0.00014	0	0.59	7	0.18	0.08
43	0.46	0.13	1.3e-06	0	0.13	0.00028	0	0.28	0	0.2	0.12
44	0.35	0.071	0	0	0.071	4e-05	0	0.5	7	0.18	0.08
45	0.047	0	0.95	0	0	0	0	0	2	0.33	0.2
46	0.36	0.19	0	0	0.19	0	0	0.26	0	0.2	0.12
47	0.78	0	0.22	0	0	0	0	0	0	0.2	0.12
48	0.47	0.068	0	0	0.068	0.0021	0	0.39	0	0.2	0.12
49	0.61	0.041	0.00043	0	0.041	0.025	0	0.29	0	0.2	0.12
50	0.12	0.017	2.2e-05	0	0.017	0.73	0	0.12	5	0.18	0.013
51	0.23	0.25	0.0016	0	0.25	7.9e-05	0	0.27	7	0.18	0.08
52	0.11	0.11	3.2e-06	0	0.11	0.1	0	0.55	7	0.18	0.08
53	0.54	0	0.46	0	0	0	0	0	0	0.2	0.12
54	0.55	0	0.45	0	0	0	0	4.3e-06	0	0.2	0.12
55	0.27	0.31	0	0	0.31	0	0	0.11	1	0.16	0.093
56	0.0045	0.0023	0	0	0.0023	0.98	0	0.012	5	0.18	0.013
57	0	0	0	0.00018	0	0	1	0	6	0	0.093
58	0.89	0.02	0.0026	0	0.02	5e-05	0	0.068	0	0.2	0.12
59	0.66	0.1	0.0019	0	0.1	0.0011	0	0.13	0	0.2	0.12
60	0.79	0.021	0	0	0.021	3e-06	0	0.17	0	0.2	0.12
61	0.00057	0	1	0	0	0	0	0	2	0.33	0.2
62	0.09	0.17	0	0	0.17	0	0	0.56	7	0.18	0.08
63	0.12	0.25	0	0	0.25	0	0	0.38	7	0.18	0.08
64	0	5.1e-05	0	0.99	5.1e-05	0.0099	0	3.7e-06	3	0.022	0.053
65	0	0	0	6.3e-06	0	0	1	0	6	0	0.093
66	0.013	0.47	0	0	0.47	0	0	0.039	1	0.16	0.093
67	0	0	0	0	0	0	1	0	6	0	0.093
68	0	0	0	0	0	0	1	0	6	0	0.093
69	0	3.2e-05	0	0	3.2e-05	1	0	3.9e-06	5	0.18	0.013
