SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0.022	0.053
1	0.14	0.71	0	0.0029	0	0	0.0049	0	0	0	0.00086	0	8.4e-05	0.13	5.3e-05	0	0	0.0049	0.00086	0	1	0.2	0.12
2	0.34	0.61	0	2.7e-05	0	0	0.0014	0	0	0	0.00055	0	0.00016	0.05	0	0	0	0.0014	0.00055	0	1	0.2	0.12
3	0.03	0.95	0	0.0014	0	0	0.0018	0	0	0	0.0004	0	0	0.014	5.4e-06	0	0	0.0018	0.0004	0	1	0.2	0.12
4	0	0.74	0.0023	0	0	0	0	0	0	0.0018	0	0.042	0	0	0.21	0	0	0	0	0	1	0.2	0.12
5	0	0	0	0	0.45	0	0	0	0.49	0	0	0	0	0	0	0.061	0	0	0	7.5e-06	8	0	0.08
6	0.24	0.37	0	0.012	0	0.34	0.00083	0	0	0	4.2e-05	0	0.0002	0.032	0	0	0	0.00083	4.2e-05	0	1	0.2	0.12
7	0	0.21	0.001	0	0	0	0	0	0	0.00078	0	0.013	0	0	0.78	0	0	0	0	0	14	0.33	0.2
8	0.05	0.11	0	0.051	0	1.1e-05	0.031	0	0	0	0.0022	0	8e-06	0.72	0	0	0	0.031	0.0022	0	13	0.16	0.08
9	0.00074	0.0094	0	0.67	0	0.0011	0.027	4e-06	0	0	0.00071	0	0	0.26	0	0	0	0.027	0.00071	0	3	0.2	0.053
10	0	0.26	0.00063	0	0	0	0	0	0	0.0005	0	0.026	0	0	0.71	0	0	0	0	0	14	0.33	0.2
11	0.16	0.71	0	0.0022	0	0	0.0054	0	0	0	0.001	0	5.5e-05	0.12	0	0	0	0.0054	0.001	0	1	0.2	0.12
12	0.72	0.18	0	1.1e-05	0	0	0.001	0	0	0	0.00038	0	0.0011	0.094	0	0	0	0.001	0.00038	0	0	0.16	0.12
13	0.0024	0.97	0	0.0084	0	0	0.0051	0	0	0	0.00077	0	0	0.0062	0	0	0	0.0051	0.00077	0	1	0.2	0.12
14	0.18	0.45	0	0.0036	0	0	0.0097	0	0	0	0.0015	0	8.5e-05	0.34	0	0	0	0.0097	0.0015	0	1	0.2	0.12
15	0.061	0.8	0	0.022	0	0.00011	0.0054	0	0	0	0.00072	1.1e-05	2.8e-05	0.1	0.0016	0	0	0.0054	0.00072	0	1	0.2	0.12
16	0	0.021	0.11	0	0	0	0	0	0	0.09	0	0.39	0	0	0.38	0	0	0	0	0	11	0.4	0.2
17	0	0	0	0.00047	0	1	0	0	0	0	0	0	0	1e-05	0	0	0	0	0	0	5	0.18	0.013
18	0.066	0.051	0	0.04	0	0.023	0.016	0	0	0	0.0011	0	5.2e-05	0.79	0	0	0	0.016	0.0011	0	13	0.16	0.08
19	0	0	0	0	0.71	0	0	0	0.26	0	0	0	0	0	0	0.032	0	0	0	0	4	0	0.11
20	0	0.89	0.0066	0	0	0	0	0	0	0.0052	0	0.047	0	0	0.055	0	0	0	0	0	1	0.2	0.12
21	0.34	0.13	0	0.00083	0	0	0.0071	0	0	0	0.0012	0	0.00045	0.51	0	0	0	0.0071	0.0012	0	13	0.16	0.08
22	0.0013	0.046	0	0.45	0	0.42	0.0092	2.7e-06	0	0	0.00039	0	0	0.063	0	0	0	0.0092	0.00039	0	3	0.2	0.053
23	0	0.0018	0	0	0	0	0	0	0	0	0	0.00088	0	0	1	0	0	0	0	0	14	0.33	0.2
24	0	0	0	0	0.34	0	0	0	0.58	0	0	0	0	0	0	0.073	0	0	0	6.4e-05	8	0	0.08
25	0.16	0.72	0	0.0028	0	0	0.0045	0	0	0	0.00087	7.5e-06	9.4e-05	0.11	0.0011	0	0	0.0045	0.00087	0	1	0.2	0.12
26	0	0	0	1.4e-05	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.18	0.013
27	0.28	0.31	0	0.00049	0	0	0.014	0	0	0	0.0028	0	4.7e-05	0.38	0	0	0	0.014	0.0028	0	13	0.16	0.08
28	0	0.6	0.0036	0	0	0	0	0	0	0.0028	0	0.053	0	0	0.34	0	0	0	0	0	1	0.2	0.12
29	0	0	0	0	0.29	1.1e-05	0	0	0.56	0	0	0	0	9.6e-06	0	0.07	0	0	0	0.083	8	0	0.08
30	0.047	0.012	1.1e-06	0.0036	0	0	0.013	0	0	0	0.00098	0.0018	2.1e-05	0.79	0.12	0	0	0.013	0.00098	0	13	0.16	0.08
31	1.4e-05	1	0	0.00019	0	0	5.7e-05	0	0	0	1.7e-05	0	0	5.7e-06	0.00017	0	0	5.7e-05	1.7e-05	0	1	0.2	0.12
