SNV	cluster0	cluster1	cluster	dcf0	dcf1
0	0	1	1	0.022	0.08
1	1	0	0	0.2	0.12
2	1	0	0	0.2	0.12
3	1	0	0	0.2	0.12
4	1	0	0	0.2	0.12
5	0	1	1	0.022	0.08
6	1	0	0	0.2	0.12
7	1	0	0	0.2	0.12
8	1	0	0	0.2	0.12
9	1	0	0	0.2	0.12
10	1	0	0	0.2	0.12
11	1	0	0	0.2	0.12
12	1	0	0	0.2	0.12
13	1	0	0	0.2	0.12
14	1	0	0	0.2	0.12
15	1	0	0	0.2	0.12
16	1	0	0	0.2	0.12
17	1	0	0	0.2	0.12
18	1	0	0	0.2	0.12
19	0	1	1	0.022	0.08
20	1	0	0	0.2	0.12
21	1	0	0	0.2	0.12
22	1	0	0	0.2	0.12
23	1	0	0	0.2	0.12
24	0	1	1	0.022	0.08
25	1	0	0	0.2	0.12
26	1	0	0	0.2	0.12
27	1	0	0	0.2	0.12
28	1	0	0	0.2	0.12
29	0	1	1	0.022	0.08
30	1	0	0	0.2	0.12
31	1	0	0	0.2	0.12
32	1	0	0	0.2	0.12
33	1	0	0	0.2	0.12
34	0	1	1	0.022	0.08
35	1	0	0	0.2	0.12
36	1	0	0	0.2	0.12
37	1	0	0	0.2	0.12
38	1	0	0	0.2	0.12
39	1	0	0	0.2	0.12
40	1	0	0	0.2	0.12
41	1	0	0	0.2	0.12
42	1	0	0	0.2	0.12
43	1	0	0	0.2	0.12
44	1	0	0	0.2	0.12
45	1	0	0	0.2	0.12
46	1	0	0	0.2	0.12
47	1	0	0	0.2	0.12
48	1	0	0	0.2	0.12
49	1	0	0	0.2	0.12
50	1	0	0	0.2	0.12
51	1	0	0	0.2	0.12
52	1	0	0	0.2	0.12
53	1	0	0	0.2	0.12
54	1	0	0	0.2	0.12
55	1	0	0	0.2	0.12
56	1	0	0	0.2	0.12
57	0	1	1	0.022	0.08
58	1	0	0	0.2	0.12
59	1	0	0	0.2	0.12
60	1	0	0	0.2	0.12
61	1	0	0	0.2	0.12
62	1	0	0	0.2	0.12
63	1	0	0	0.2	0.12
64	0	1	1	0.022	0.08
65	0	1	1	0.022	0.08
66	1	0	0	0.2	0.12
67	0	1	1	0.022	0.08
68	0	1	1	0.022	0.08
69	0.002	1	1	0.022	0.08
70	1	0	0	0.2	0.12
71	1	0	0	0.2	0.12
72	1	0	0	0.2	0.12
73	1	0	0	0.2	0.12
74	1	0	0	0.2	0.12
75	1	0	0	0.2	0.12
76	1	0	0	0.2	0.12
77	1	0	0	0.2	0.12
78	1	0	0	0.2	0.12
79	0	1	1	0.022	0.08
80	1	0	0	0.2	0.12
81	1	0	0	0.2	0.12
82	1	0	0	0.2	0.12
83	1	0	0	0.2	0.12
84	1	0	0	0.2	0.12
85	1	0	0	0.2	0.12
86	1	0	0	0.2	0.12
87	1	0	0	0.2	0.12
88	1	0	0	0.2	0.12
89	1	0	0	0.2	0.12
90	1	0	0	0.2	0.12
91	1	0	0	0.2	0.12
92	1	0	0	0.2	0.12
93	1	0	0	0.2	0.12
94	1	0	0	0.2	0.12
95	1	0	0	0.2	0.12
96	1	0	0	0.2	0.12
97	1	0	0	0.2	0.12
98	1	0.0021	0	0.2	0.12
99	1	0	0	0.2	0.12
100	1	0	0	0.2	0.12
101	1	0	0	0.2	0.12
102	0	1	1	0.022	0.08
103	1	0	0	0.2	0.12
104	1	0	0	0.2	0.12
105	1	0	0	0.2	0.12
106	1	0	0	0.2	0.12
107	1	0	0	0.2	0.12
108	1	0	0	0.2	0.12
109	1	0	0	0.2	0.12
110	0	1	1	0.022	0.08
111	1	0	0	0.2	0.12
112	1	0	0	0.2	0.12
113	1	0	0	0.2	0.12
114	0	1	1	0.022	0.08
115	1	0	0	0.2	0.12
116	1	0	0	0.2	0.12
117	1	0	0	0.2	0.12
118	1	0	0	0.2	0.12
119	1	0	0	0.2	0.12
120	1	0	0	0.2	0.12
121	1	0	0	0.2	0.12
122	1	0	0	0.2	0.12
123	0	1	1	0.022	0.08
124	1	0	0	0.2	0.12
125	1	0	0	0.2	0.12
126	0	1	1	0.022	0.08
127	1	0	0	0.2	0.12
128	1	0	0	0.2	0.12
129	1	0	0	0.2	0.12
130	1	0	0	0.2	0.12
131	0	1	1	0.022	0.08
132	1	0.00014	0	0.2	0.12
133	1	0	0	0.2	0.12
134	1	0	0	0.2	0.12
135	1	0	0	0.2	0.12
136	1	0	0	0.2	0.12
137	1	0	0	0.2	0.12
138	1	0	0	0.2	0.12
139	1	0	0	0.2	0.12
140	1	0	0	0.2	0.12
141	1	0	0	0.2	0.12
142	0.92	0.081	0	0.2	0.12
143	1	0	0	0.2	0.12
144	1	0.0001	0	0.2	0.12
145	1	0	0	0.2	0.12
146	1	0	0	0.2	0.12
147	1	0	0	0.2	0.12
148	1	4.4e-05	0	0.2	0.12
149	1	0	0	0.2	0.12
150	1	0	0	0.2	0.12
151	1	0	0	0.2	0.12
152	1	0	0	0.2	0.12
153	1	0	0	0.2	0.12
154	0	1	1	0.022	0.08
155	1	0	0	0.2	0.12
156	1	0	0	0.2	0.12
157	1	0	0	0.2	0.12
158	1	0	0	0.2	0.12
159	1	0	0	0.2	0.12
160	1	0	0	0.2	0.12
161	1	0	0	0.2	0.12
162	1	0	0	0.2	0.12
163	1	0	0	0.2	0.12
164	1	0	0	0.2	0.12
