SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0
0	0.32	0.32	0	0	0	0.0053	0.32	0	0	0	0.006	0	0.006	0.0053	0.006	0	0	0	0	0.0053	0	0.15
1	0.06	0.06	0	0.00064	0	0.13	0.06	0	0	0	0.14	0.00064	0.14	0.13	0.14	3.4e-05	0	0	0	0.13	10	0.23
2	0.33	0.33	1.3e-06	0	0	0.00073	0.33	0.00011	1.3e-06	0	0.00083	0	0.00083	0.00073	0.00083	0.0097	1.3e-06	1.3e-06	1.3e-06	0.00073	0	0.15
3	0.29	0.29	1.1e-06	6.8e-06	0	0.019	0.29	0.00064	1.1e-06	0	0.021	6.8e-06	0.021	0.019	0.021	0.016	1.1e-06	1.1e-06	1.1e-06	0.019	0	0.15
4	0.33	0.33	0	0	0	0.0023	0.33	1.1e-05	0	0	0.0025	0	0.0025	0.0023	0.0025	0.0018	0	0	0	0.0023	0	0.15
5	0.28	0.28	0	3.2e-06	0	0.026	0.28	9.4e-06	0	0	0.029	3.2e-06	0.029	0.026	0.029	0.00099	0	0	0	0.026	0	0.15
6	0.017	0.017	0	0.0013	0	0.15	0.017	0	0	0	0.17	0.0013	0.17	0.15	0.17	0	0	0	0	0.15	10	0.23
7	0.26	0.26	0	2.5e-05	0	0.03	0.26	0.00073	0	0	0.034	2.5e-05	0.034	0.03	0.034	0.015	0	0	0	0.03	0	0.15
8	0.33	0.33	0	0	0	0.0011	0.33	0	0	0	0.0012	0	0.0012	0.0011	0.0012	0.00011	0	0	0	0.0011	0	0.15
9	0.29	0.29	0	1.2e-05	0	0.017	0.29	0.00036	0	0	0.019	1.2e-05	0.019	0.017	0.019	0.0098	0	0	0	0.017	0	0.15
10	0.33	0.33	0	0	0	0.0023	0.33	2.7e-06	0	0	0.0026	0	0.0026	0.0023	0.0026	0.00067	0	0	0	0.0023	0	0.15
11	0.32	0.32	0	0	0	0.0044	0.32	6.3e-06	0	0	0.005	0	0.005	0.0044	0.005	0.001	0	0	0	0.0044	0	0.15
12	0.17	0.17	0	0	0	0.079	0.17	0	0	0	0.089	0	0.089	0.079	0.089	0	0	0	0	0.079	0	0.15
13	0.32	0.32	0	0	0	0.0074	0.32	0.00016	0	0	0.0083	0	0.0083	0.0074	0.0083	0.007	0	0	0	0.0074	0	0.15
14	0.054	0.054	0	0.00016	0	0.13	0.054	0	0	0	0.15	0.00016	0.15	0.13	0.15	0	0	0	0	0.13	10	0.23
15	0.33	0.33	0	0	0	0.00027	0.33	0	0	0	0.00031	0	0.00031	0.00027	0.00031	0.00075	0	0	0	0.00027	0	0.15
16	0.29	0.29	0	0.00033	0	0.019	0.29	0	0	0	0.021	0.00033	0.021	0.019	0.021	0	0	0	0	0.019	0	0.15
17	0.29	0.29	2.5e-06	8.6e-06	0	0.0097	0.29	0.0061	2.5e-06	0	0.011	8.6e-06	0.011	0.0097	0.011	0.065	2.5e-06	2.5e-06	2.5e-06	0.0097	0	0.15
18	0.2	0.2	0	0.00011	0	0.064	0.2	0	0	0	0.072	0.00011	0.072	0.064	0.072	3.3e-05	0	0	0	0.064	0	0.15
19	0.33	0.33	0	0	0	0.0029	0.33	1e-05	0	0	0.0032	0	0.0032	0.0029	0.0032	0.0015	0	0	0	0.0029	0	0.15
20	0.18	0.18	0	5.2e-05	0	0.074	0.18	0	0	0	0.084	5.2e-05	0.084	0.074	0.084	1e-05	0	0	0	0.074	0	0.15
21	0.29	0.29	0	0.00039	0	0.021	0.29	0	0	0	0.024	0.00039	0.024	0.021	0.024	0	0	0	0	0.021	0	0.15
22	0.31	0.31	0	0	0	0.0048	0.31	0.0011	0	0	0.0055	0	0.0055	0.0048	0.0055	0.026	0	0	0	0.0048	0	0.15
23	0.33	0.33	0	0	0	0.00023	0.33	6.3e-05	0	0	0.00026	0	0.00026	0.00023	0.00026	0.0074	0	0	0	0.00023	0	0.15
24	0.26	0.26	0	0.00035	0	0.034	0.26	0	0	0	0.038	0.00035	0.038	0.034	0.038	0	0	0	0	0.034	0	0.15
25	0.33	0.33	0	0	0	0.0029	0.33	0	0	0	0.0033	0	0.0033	0.0029	0.0033	8.1e-05	0	0	0	0.0029	0	0.15
26	0.21	0.21	0	8.4e-05	0	0.057	0.21	0	0	0	0.065	8.4e-05	0.065	0.057	0.065	0.0001	0	0	0	0.057	0	0.15
27	0.11	0.11	0	6.4e-05	0	0.11	0.11	0	0	0	0.12	6.4e-05	0.12	0.11	0.12	0	0	0	0	0.11	10	0.23
28	0.11	0.11	0	7.9e-05	0	0.1	0.11	0	0	0	0.12	7.9e-05	0.12	0.1	0.12	0	0	0	0	0.1	10	0.23
29	0.17	0.17	0	0.00016	0	0.078	0.17	0	0	0	0.088	0.00016	0.088	0.078	0.088	0	0	0	0	0.078	0	0.15
30	0.3	0.3	0	0.00035	0	0.015	0.3	0	0	0	0.017	0.00035	0.017	0.015	0.017	0	0	0	0	0.015	0	0.15
