SNV	cluster0	cluster1	cluster	dcf0
0	0.98	0.024	0	0.15
1	0.24	0.76	1	0.23
2	1	0.0033	0	0.15
3	0.91	0.089	0	0.15
4	0.99	0.01	0	0.15
5	0.88	0.12	0	0.15
6	0.073	0.93	1	0.23
7	0.86	0.14	0	0.15
8	1	0.0049	0	0.15
9	0.92	0.078	0	0.15
10	0.99	0.01	0	0.15
11	0.98	0.02	0	0.15
12	0.59	0.41	0	0.15
13	0.97	0.033	0	0.15
14	0.22	0.78	1	0.23
15	1	0.0012	0	0.15
16	0.91	0.087	0	0.15
17	0.95	0.047	0	0.15
18	0.68	0.32	0	0.15
19	0.99	0.013	0	0.15
20	0.61	0.39	0	0.15
21	0.9	0.099	0	0.15
22	0.98	0.022	0	0.15
23	1	0.001	0	0.15
24	0.84	0.16	0	0.15
25	0.99	0.013	0	0.15
26	0.71	0.29	0	0.15
27	0.41	0.59	1	0.23
28	0.42	0.58	1	0.23
29	0.59	0.41	0	0.15
30	0.93	0.068	0	0.15
31	0.94	0.058	0	0.15
32	0.8	0.2	0	0.15
33	0.75	0.25	0	0.15
34	0.99	0.0071	0	0.15
35	0.92	0.079	0	0.15
36	1	0.0032	0	0.15
37	0.62	0.38	0	0.15
38	0.016	0.98	1	0.23
39	0.73	0.27	0	0.15
40	0.77	0.23	0	0.15
41	0.7	0.3	0	0.15
42	0.77	0.23	0	0.15
43	0.95	0.053	0	0.15
44	0.98	0.017	0	0.15
45	0.79	0.21	0	0.15
46	0.71	0.29	0	0.15
47	0.58	0.42	0	0.15
48	0.023	0.98	1	0.23
49	0.75	0.25	0	0.15
50	0.77	0.23	0	0.15
51	0.72	0.28	0	0.15
52	0.7	0.3	0	0.15
53	0.32	0.68	1	0.23
54	0.99	0.0092	0	0.15
55	0.19	0.81	1	0.23
56	0.78	0.22	0	0.15
57	0.89	0.11	0	0.15
58	1	0.00082	0	0.15
59	0.96	0.044	0	0.15
60	7.6e-05	1	1	0.23
61	1	0.00019	0	0.15
62	0.99	0.0088	0	0.15
63	0.18	0.82	1	0.23
64	0.96	0.036	0	0.15
65	0.99	0.0098	0	0.15
66	0.95	0.045	0	0.15
67	1	0.0012	0	0.15
68	0.88	0.12	0	0.15
69	1	7.9e-05	0	0.15
70	0.99	0.013	0	0.15
71	0.97	0.025	0	0.15
72	0.91	0.088	0	0.15
73	1	0.00058	0	0.15
74	0.34	0.66	1	0.23
75	0.25	0.75	1	0.23
76	0.27	0.73	1	0.23
77	0.99	0.0063	0	0.15
78	0.97	0.027	0	0.15
79	0.74	0.26	0	0.15
80	0.96	0.043	0	0.15
81	0.9	0.097	0	0.15
82	0.87	0.13	0	0.15
83	0.67	0.33	0	0.15
84	0.66	0.34	0	0.15
85	1	0.0015	0	0.15
86	0.64	0.36	0	0.15
87	0.59	0.41	0	0.15
88	0.64	0.36	0	0.15
89	0.91	0.092	0	0.15
90	0.93	0.073	0	0.15
91	0.94	0.057	0	0.15
92	0.71	0.29	0	0.15
93	0.99	0.012	0	0.15
94	1	2.4e-06	0	0.15
95	0.39	0.61	1	0.23
96	0.99	0.0074	0	0.15
97	0.78	0.22	0	0.15
98	0.99	0.0097	0	0.15
99	0.85	0.15	0	0.15
100	0.99	0.011	0	0.15
101	1	2.2e-06	0	0.15
102	0.95	0.052	0	0.15
103	0.73	0.27	0	0.15
104	0.92	0.076	0	0.15
105	0.23	0.77	1	0.23
106	0.091	0.91	1	0.23
107	0.088	0.91	1	0.23
108	0.59	0.41	0	0.15
109	0.99	0.012	0	0.15
110	0.032	0.97	1	0.23
111	0.059	0.94	1	0.23
112	0.89	0.11	0	0.15
113	0.07	0.93	1	0.23
114	0.98	0.02	0	0.15
115	0.79	0.21	0	0.15
116	0.64	0.36	0	0.15
117	0.28	0.72	1	0.23
118	0.8	0.2	0	0.15
119	0.96	0.042	0	0.15
120	0.0056	0.99	1	0.23
121	0.9	0.1	0	0.15
122	0.49	0.51	1	0.23
123	0.66	0.34	0	0.15
124	1	0.0022	0	0.15
125	0.97	0.033	0	0.15
126	0.94	0.061	0	0.15
127	1	0.0045	0	0.15
128	0.73	0.27	0	0.15
129	0.99	0.0061	0	0.15
130	0.28	0.72	1	0.23
131	0.94	0.059	0	0.15
132	0.97	0.033	0	0.15
133	0.71	0.29	0	0.15
134	0.98	0.022	0	0.15
135	0.93	0.067	0	0.15
136	0.68	0.32	0	0.15
137	0.88	0.12	0	0.15
138	0.77	0.23	0	0.15
139	0.99	0.01	0	0.15
140	1	9.1e-05	0	0.15
141	0.74	0.26	0	0.15
142	0.99	0.0063	0	0.15
143	0.89	0.11	0	0.15
144	0.64	0.36	0	0.15
145	0.82	0.18	0	0.15
146	1	3.6e-06	0	0.15
147	0.29	0.71	1	0.23
148	0.91	0.089	0	0.15
149	0.96	0.042	0	0.15
150	0.69	0.31	0	0.15
151	1	1e-05	0	0.15
152	0.96	0.043	0	0.15
153	1	0.00013	0	0.15
154	0.74	0.26	0	0.15
155	1	0	0	0.15
156	0.044	0.96	1	0.23
157	0.34	0.66	1	0.23
158	0.99	0.015	0	0.15
159	0.16	0.84	1	0.23
160	1	0.0002	0	0.15
161	1	7.3e-05	0	0.15
162	0.89	0.11	0	0.15
163	0.95	0.054	0	0.15
164	1	0.0024	0	0.15
165	0.55	0.45	0	0.15
166	0.93	0.075	0	0.15
167	1	0	0	0.15
168	0.99	0.013	0	0.15
169	1	0.0012	0	0.15
170	0.95	0.048	0	0.15
171	1	0.00022	0	0.15
172	0.59	0.41	0	0.15
173	1	0.00062	0	0.15
174	0.88	0.12	0	0.15
175	1	0.0014	0	0.15
176	0.69	0.31	0	0.15
177	0.83	0.17	0	0.15
178	1	3.2e-06	0	0.15
179	0.74	0.26	0	0.15
180	0.99	0.0094	0	0.15
181	0.81	0.19	0	0.15
182	0.63	0.37	0	0.15
183	0.49	0.51	1	0.23
184	1	0	0	0.15
185	1	0.00059	0	0.15
186	1	1.6e-05	0	0.15
187	0.23	0.77	1	0.23
188	1	0.00025	0	0.15
189	1	0	0	0.15
190	1	0.00028	0	0.15
191	1	2.9e-05	0	0.15
192	0.96	0.039	0	0.15
193	1	0	0	0.15
194	1	0	0	0.15
195	1	2.8e-06	0	0.15
196	1	0.0001	0	0.15
197	0.92	0.079	0	0.15
198	0.0036	1	1	0.23
199	0.94	0.062	0	0.15
200	0.87	0.13	0	0.15
201	0.71	0.29	0	0.15
202	0.96	0.043	0	0.15
203	1	0.0038	0	0.15
204	1	0.0026	0	0.15
205	0.98	0.021	0	0.15
206	0.99	0.01	0	0.15
207	1	0.0023	0	0.15
208	0.033	0.97	1	0.23
209	0.93	0.074	0	0.15
210	1	0	0	0.15
211	0.93	0.075	0	0.15
212	1	5.9e-05	0	0.15
213	0.98	0.025	0	0.15
214	1	0.0045	0	0.15
215	0.78	0.22	0	0.15
216	0.82	0.18	0	0.15
217	0.19	0.81	1	0.23
218	1	2.1e-06	0	0.15
219	1	0.00044	0	0.15
220	0.98	0.016	0	0.15
221	0.98	0.016	0	0.15
222	0.96	0.035	0	0.15
223	0.91	0.085	0	0.15
224	1	2.6e-06	0	0.15
225	0.94	0.057	0	0.15
226	0.99	0.012	0	0.15
227	0.84	0.16	0	0.15
228	0.6	0.4	0	0.15
229	0.85	0.15	0	0.15
230	0.99	0.0063	0	0.15
231	1	0.0043	0	0.15
232	1	3.7e-05	0	0.15
233	0.047	0.95	1	0.23
234	0.94	0.061	0	0.15
235	0.77	0.23	0	0.15
236	1	0.00073	0	0.15
237	0.96	0.035	0	0.15
238	0.53	0.47	0	0.15
239	1	2.3e-05	0	0.15
240	1	0.0025	0	0.15
241	0.9	0.1	0	0.15
242	0.92	0.08	0	0.15
243	0.99	0.0073	0	0.15
244	0.99	0.0082	0	0.15
245	0.47	0.53	1	0.23
246	0.99	0.014	0	0.15
247	0.87	0.13	0	0.15
248	0.85	0.15	0	0.15
249	1	0.0047	0	0.15
250	0.98	0.019	0	0.15
251	0.56	0.44	0	0.15
252	0.77	0.23	0	0.15
253	0.71	0.29	0	0.15
254	1	0.00042	0	0.15
255	0.6	0.4	0	0.15
256	1	0.00077	0	0.15
257	0.99	0.012	0	0.15
258	0.99	0.012	0	0.15
259	0.99	0.011	0	0.15
260	1	0	0	0.15
261	0.95	0.049	0	0.15
262	0.2	0.8	1	0.23
263	0.99	0.01	0	0.15
264	0.99	0.0072	0	0.15
265	1	4.3e-06	0	0.15
266	0.74	0.26	0	0.15
267	1	0.0027	0	0.15
268	0.99	0.012	0	0.15
269	0.91	0.093	0	0.15
270	1	0.00012	0	0.15
271	0.64	0.36	0	0.15
272	0.97	0.027	0	0.15
273	0.98	0.017	0	0.15
274	0.84	0.16	0	0.15
275	0.77	0.23	0	0.15
276	0.58	0.42	0	0.15
277	0.81	0.19	0	0.15
278	0.85	0.15	0	0.15
279	0.31	0.69	1	0.23
280	0.32	0.68	1	0.23
281	1	0.0025	0	0.15
282	0.89	0.11	0	0.15
283	0.99	0.013	0	0.15
284	0.95	0.048	0	0.15
285	0.092	0.91	1	0.23
286	0.9	0.1	0	0.15
287	0.87	0.13	0	0.15
288	0.57	0.43	0	0.15
289	0.62	0.38	0	0.15
290	0.94	0.059	0	0.15
291	1	0.0018	0	0.15
292	0.89	0.11	0	0.15
293	0.88	0.12	0	0.15
294	0.72	0.28	0	0.15
295	1	0.0021	0	0.15
296	0.82	0.18	0	0.15
297	0.51	0.49	0	0.15
298	0.9	0.098	0	0.15
299	0.67	0.33	0	0.15
300	0.79	0.21	0	0.15
301	0.86	0.14	0	0.15
302	1	0.0015	0	0.15
303	0.98	0.023	0	0.15
304	0.8	0.2	0	0.15
305	1	4.9e-06	0	0.15
306	0.93	0.074	0	0.15
307	1	0.0049	0	0.15
308	0.92	0.076	0	0.15
309	0.94	0.059	0	0.15
310	0.99	0.008	0	0.15
311	0.88	0.12	0	0.15
312	0.9	0.098	0	0.15
313	0.76	0.24	0	0.15
314	0.7	0.3	0	0.15
315	0.83	0.17	0	0.15
316	1	2.4e-05	0	0.15
317	0.93	0.066	0	0.15
318	0.99	0.015	0	0.15
319	1	0.0035	0	0.15
320	0.87	0.13	0	0.15
321	0.66	0.34	0	0.15
322	0.63	0.37	0	0.15
323	0.89	0.11	0	0.15
324	0.96	0.043	0	0.15
325	0.73	0.27	0	0.15
326	0.48	0.52	1	0.23
327	1	0.00013	0	0.15
328	0.51	0.49	0	0.15
329	1	8.4e-06	0	0.15
330	0.81	0.19	0	0.15
331	0.29	0.71	1	0.23
332	0.93	0.071	0	0.15
333	0.82	0.18	0	0.15
334	0.73	0.27	0	0.15
335	0.84	0.16	0	0.15
336	1	0	0	0.15
337	0.77	0.23	0	0.15
338	0.59	0.41	0	0.15
339	0.91	0.089	0	0.15
340	0.92	0.083	0	0.15
341	0.94	0.055	0	0.15
