SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster	dcf0
0	0	0.0049	0.32	0	0	0.0039	0	0.0039	0.0062	0.0039	0	0.32	0.32	0.0062	0.0049	2	0.15
1	1.5e-05	0.12	0.059	1.3e-05	0	0.094	0.00042	0.094	0.15	0.094	1.5e-05	0.059	0.059	0.15	0.12	8	0.23
2	0.0042	0.00069	0.33	0.0037	0	0.00054	0	0.00054	0.00086	0.00054	0.0042	0.33	0.33	0.00086	0.00069	2	0.15
3	0.0068	0.018	0.29	0.006	0	0.014	0	0.014	0.022	0.014	0.0068	0.29	0.29	0.022	0.018	2	0.15
4	0.0008	0.0021	0.33	0.0007	0	0.0017	0	0.0017	0.0027	0.0017	0.0008	0.33	0.33	0.0027	0.0021	2	0.15
5	0.00043	0.024	0.28	0.00038	0	0.019	0	0.019	0.031	0.019	0.00043	0.28	0.28	0.031	0.024	2	0.15
6	0	0.14	0.017	0	0	0.11	0.001	0.11	0.17	0.11	0	0.017	0.017	0.17	0.14	8	0.23
7	0.0065	0.028	0.26	0.0057	0	0.022	5.2e-06	0.022	0.035	0.022	0.0065	0.26	0.26	0.035	0.028	2	0.15
8	4.9e-05	0.001	0.33	4.3e-05	0	0.00082	0	0.00082	0.0013	0.00082	4.9e-05	0.33	0.33	0.0013	0.001	2	0.15
9	0.0042	0.016	0.29	0.0037	0	0.013	1.8e-06	0.013	0.02	0.013	0.0042	0.29	0.29	0.02	0.016	2	0.15
10	0.00029	0.0022	0.33	0.00025	0	0.0017	0	0.0017	0.0028	0.0017	0.00029	0.33	0.33	0.0028	0.0022	2	0.15
11	0.00044	0.0041	0.32	0.00038	0	0.0033	0	0.0033	0.0052	0.0033	0.00044	0.32	0.32	0.0052	0.0041	2	0.15
12	0	0.074	0.16	0	0	0.058	0	0.058	0.093	0.058	0	0.16	0.16	0.093	0.074	2	0.15
13	0.003	0.0069	0.31	0.0027	0	0.0055	0	0.0055	0.0087	0.0055	0.003	0.31	0.31	0.0087	0.0069	2	0.15
