SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster	dcf0
0	0	0.25	0	0.0047	0	0.2	0.25	0.0047	0.25	0.0036	0.0047	0.0036	0	0	0	0.0036	0.0047	0.0047	6	0.15
1	1.4e-05	0.047	1.4e-05	0.11	0	0.038	0.047	0.11	0.047	0.087	0.11	0.087	0	0.00042	1.4e-05	0.087	0.11	0.11	3	0.23
2	0.004	0.26	0.004	0.00065	0	0.21	0.26	0.00065	0.26	0.0005	0.00065	0.0005	0	0	0.004	0.0005	0.00065	0.00065	6	0.15
3	0.0065	0.23	0.0065	0.017	0	0.18	0.23	0.017	0.23	0.013	0.017	0.013	0	0	0.0065	0.013	0.017	0.017	6	0.15
4	0.00077	0.26	0.00077	0.002	0	0.21	0.26	0.002	0.26	0.0015	0.002	0.0015	0	0	0.00077	0.0015	0.002	0.002	6	0.15
5	0.00041	0.22	0.00041	0.023	0	0.18	0.22	0.023	0.22	0.018	0.023	0.018	0	0	0.00041	0.018	0.023	0.023	6	0.15
6	0	0.013	0	0.13	0	0.011	0.013	0.13	0.013	0.1	0.13	0.1	0	0.001	0	0.1	0.13	0.13	3	0.23
7	0.0063	0.21	0.0063	0.026	0	0.17	0.21	0.026	0.21	0.02	0.026	0.02	0	5.2e-06	0.0063	0.02	0.026	0.026	6	0.15
8	4.7e-05	0.26	4.7e-05	0.00097	0	0.21	0.26	0.00097	0.26	0.00075	0.00097	0.00075	0	0	4.7e-05	0.00075	0.00097	0.00097	6	0.15
9	0.0041	0.23	0.0041	0.015	0	0.19	0.23	0.015	0.23	0.012	0.015	0.012	0	1.8e-06	0.0041	0.012	0.015	0.015	6	0.15
10	0.00028	0.26	0.00028	0.0021	0	0.21	0.26	0.0021	0.26	0.0016	0.0021	0.0016	0	0	0.00028	0.0016	0.0021	0.0021	6	0.15
11	0.00042	0.25	0.00042	0.0039	0	0.21	0.25	0.0039	0.25	0.003	0.0039	0.003	0	0	0.00042	0.003	0.0039	0.0039	6	0.15
12	0	0.13	0	0.069	0	0.1	0.13	0.069	0.13	0.054	0.069	0.054	0	0	0	0.054	0.069	0.069	6	0.15
13	0.0029	0.25	0.0029	0.0065	0	0.2	0.25	0.0065	0.25	0.005	0.0065	0.005	0	0	0.0029	0.005	0.0065	0.0065	6	0.15
14	0	0.042	0	0.11	0	0.034	0.042	0.11	0.042	0.089	0.11	0.089	0	0.004	0	0.089	0.11	0.11	3	0.23
15	0.00031	0.26	0.00031	0.00024	0	0.21	0.26	0.00024	0.26	0.00019	0.00024	0.00019	0	0	0.00031	0.00019	0.00024	0.00024	6	0.15
16	0	0.23	0	0.017	0	0.19	0.23	0.017	0.23	0.013	0.017	0.013	0	1.2e-05	0	0.013	0.017	0.017	6	0.15
17	0.027	0.23	0.027	0.0085	0	0.18	0.23	0.0085	0.23	0.0066	0.0085	0.0066	0	2.7e-06	0.027	0.0066	0.0085	0.0085	6	0.15
18	1.4e-05	0.16	1.4e-05	0.056	0	0.12	0.16	0.056	0.16	0.043	0.056	0.043	0	1.9e-05	1.4e-05	0.043	0.056	0.056	6	0.15
19	0.00061	0.26	0.00061	0.0025	0	0.21	0.26	0.0025	0.26	0.002	0.0025	0.002	0	0	0.00061	0.002	0.0025	0.0025	6	0.15
20	4.3e-06	0.14	4.3e-06	0.065	0	0.11	0.14	0.065	0.14	0.051	0.065	0.051	0	2.1e-06	4.3e-06	0.051	0.065	0.065	6	0.15
21	0	0.23	0	0.019	0	0.18	0.23	0.019	0.23	0.015	0.019	0.015	0	0.00046	0	0.015	0.019	0.019	6	0.15
22	0.011	0.25	0.011	0.0042	0	0.2	0.25	0.0042	0.25	0.0033	0.0042	0.0033	0	0	0.011	0.0033	0.0042	0.0042	6	0.15
23	0.0031	0.26	0.0031	0.00021	0	0.21	0.26	0.00021	0.26	0.00016	0.00021	0.00016	0	0	0.0031	0.00016	0.00021	0.00021	6	0.15
24	0	0.21	0	0.03	0	0.17	0.21	0.03	0.21	0.023	0.03	0.023	0	0.00054	0	0.023	0.03	0.03	6	0.15
25	3.4e-05	0.26	3.4e-05	0.0025	0	0.21	0.26	0.0025	0.26	0.002	0.0025	0.002	0	0	3.4e-05	0.002	0.0025	0.0025	6	0.15
26	4.3e-05	0.17	4.3e-05	0.05	0	0.13	0.17	0.05	0.17	0.039	0.05	0.039	0	1.4e-05	4.3e-05	0.039	0.05	0.05	6	0.15
