SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster	dcf0
0	0.53	0.0096	0	0	0.0074	0	0.44	0.0096	0	0	0.0074	0	0	0.15
1	0.097	0.23	1.4e-05	0	0.18	1.4e-05	0.081	0.23	0	1.4e-05	0.18	0.00042	1	0.23
2	0.54	0.0013	0.004	0	0.001	0.004	0.45	0.0013	0	0.004	0.001	0	0	0.15
3	0.47	0.034	0.0065	0	0.027	0.0065	0.39	0.034	0	0.0065	0.027	0	0	0.15
4	0.54	0.0041	0.00077	0	0.0032	0.00077	0.45	0.0041	0	0.00077	0.0032	0	0	0.15
5	0.45	0.048	0.00041	0	0.037	0.00041	0.38	0.048	0	0.00041	0.037	0	0	0.15
6	0.028	0.27	0	0	0.21	0	0.023	0.27	0	0	0.21	0.001	1	0.23
7	0.43	0.054	0.0063	0	0.042	0.0063	0.36	0.054	0	0.0063	0.042	5.2e-06	0	0.15
8	0.54	0.002	4.7e-05	0	0.0015	4.7e-05	0.45	0.002	0	4.7e-05	0.0015	0	0	0.15
9	0.48	0.031	0.0041	0	0.024	0.0041	0.4	0.031	0	0.0041	0.024	1.8e-06	0	0.15
10	0.54	0.0043	0.00028	0	0.0033	0.00028	0.45	0.0043	0	0.00028	0.0033	0	0	0.15
11	0.53	0.0081	0.00042	0	0.0062	0.00042	0.44	0.0081	0	0.00042	0.0062	0	0	0.15
12	0.27	0.14	0	0	0.11	0	0.22	0.14	0	0	0.11	0	0	0.15
13	0.51	0.013	0.0029	0	0.01	0.0029	0.43	0.013	0	0.0029	0.01	0	0	0.15
14	0.087	0.24	0	0	0.18	0	0.073	0.24	0	0	0.18	0.004	1	0.23
15	0.54	0.0005	0.00031	0	0.00038	0.00031	0.45	0.0005	0	0.00031	0.00038	0	0	0.15
16	0.48	0.034	0	0	0.026	0	0.4	0.034	0	0	0.026	1.2e-05	0	0.15
17	0.47	0.018	0.027	0	0.014	0.027	0.39	0.018	0	0.027	0.014	2.7e-06	0	0.15
18	0.32	0.12	1.4e-05	0	0.089	1.4e-05	0.27	0.12	0	1.4e-05	0.089	1.9e-05	0	0.15
19	0.53	0.0052	0.00061	0	0.004	0.00061	0.45	0.0052	0	0.00061	0.004	0	0	0.15
20	0.28	0.13	4.3e-06	0	0.1	4.3e-06	0.24	0.13	0	4.3e-06	0.1	2.1e-06	0	0.15
21	0.47	0.039	0	0	0.03	0	0.39	0.039	0	0	0.03	0.00046	0	0.15
22	0.51	0.0088	0.011	0	0.0067	0.011	0.43	0.0088	0	0.011	0.0067	0	0	0.15
