SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster	dcf0
0	0.034	0.97	0	0	0	0	1	0.15
1	0.82	0.18	0	0	4e-05	0	0	0.23
2	0.0047	0.98	0	0	0.012	0	1	0.15
3	0.12	0.86	0	0	0.019	0	1	0.15
4	0.015	0.98	0	0	0.0022	0	1	0.15
5	0.17	0.83	0	0	0.0012	0	1	0.15
6	0.95	0.051	0	0	0	0	0	0.23
7	0.19	0.79	0	0	0.018	0	1	0.15
8	0.0072	0.99	0	0	0.00014	0	1	0.15
9	0.11	0.88	0	0	0.012	0	1	0.15
10	0.015	0.98	0	0	0.0008	0	1	0.15
11	0.029	0.97	0	0	0.0012	0	1	0.15
12	0.51	0.49	0	0	0	0	0	0.23
13	0.048	0.94	0	0	0.0084	0	1	0.15
14	0.84	0.16	0	0	0	0	0	0.23
15	0.0018	1	0	0	0.0009	0	1	0.15
16	0.12	0.88	0	0	0	0	1	0.15
17	0.063	0.86	0	0	0.078	0	1	0.15
18	0.41	0.59	0	0	3.9e-05	0	1	0.15
19	0.019	0.98	0	0	0.0018	0	1	0.15
20	0.48	0.52	0	0	1.2e-05	0	1	0.15
21	0.14	0.86	0	0	0	0	1	0.15
22	0.031	0.94	0	0	0.031	0	1	0.15
23	0.0015	0.99	0	0	0.0089	0	1	0.15
24	0.22	0.78	0	0	0	0	1	0.15
25	0.019	0.98	0	0	9.7e-05	0	1	0.15
26	0.37	0.63	0	0	0.00013	0	1	0.15
27	0.68	0.32	0	0	0	0	0	0.23
28	0.67	0.33	0	0	0	0	0	0.23
29	0.5	0.5	0	0	0	0	1	0.15
30	0.096	0.9	0	0	0	0	1	0.15
31	0.08	0.89	0	0	0.032	0	1	0.15
32	0.27	0.73	0	0	0.001	0	1	0.15
33	0.33	0.67	0	0	0	0	1	0.15
34	0.01	0.98	0	0	0.0077	0	1	0.15
35	0.11	0.89	0	0	0	0	1	0.15
36	0.0047	0.99	0	0	0.0013	0	1	0.15
37	0.47	0.53	0	0	0	0	1	0.15
38	0.99	0.011	0	0	0	0	0	0.23
39	0.35	0.65	0	1.1e-05	0	0	1	0.15
40	0.31	0.69	0	0	0.00053	0	1	0.15
41	0.38	0.62	0	0	5.6e-05	0	1	0.15
42	0.31	0.69	0	0	0	0	1	0.15
43	0.075	0.92	0	0	0	0	1	0.15
44	0.025	0.97	0	0	0.0029	0	1	0.15
45	0.28	0.72	0	3.1e-06	3.6e-05	0	1	0.15
46	0.37	0.62	0	0.0013	0	0	1	0.15
47	0.51	0.49	0	0	5.1e-06	0	0	0.23
48	0.98	0.016	0	0	0	0	0	0.23
49	0.33	0.67	0	0	0	0	1	0.15
50	0.3	0.7	0	0	0	0	1	0.15
51	0.36	0.64	0	0	7.5e-05	0	1	0.15
52	0.38	0.62	0	0	0	0	1	0.15
53	0.76	0.24	0	0	0	0	0	0.23
54	0.013	0.98	0	0	0.0048	0	1	0.15
55	0.86	0.14	0	0	0	0	0	0.23
56	0.29	0.71	0	0	0.0007	0	1	0.15
57	0.16	0.84	0	0	0	0	1	0.15
58	0.0012	1	0	0	0.0034	0	1	0.15
59	0.063	0.94	0	0	5.3e-05	0	1	0.15
60	1	5.2e-05	0	0	0	0	0	0.23
61	6.7e-05	0.25	7.3e-06	0	0.75	4.2e-06	4	0.083
62	0.011	0.85	2.6e-06	0	0.14	0	1	0.15
63	0.87	0.13	0	0	0	0	0	0.23
64	0.048	0.87	0	0	0.086	0	1	0.15
65	0.014	0.99	0	0	0.00069	0	1	0.15
66	0.06	0.87	0	0	0.07	0	1	0.15
67	0.0018	1	0	0	5e-05	0	1	0.15
68	0.16	0.81	0	0	0.028	0	1	0.15
69	0	0.00075	0	0	0.067	0.93	5	0.017
70	0.017	0.9	0	0	0.082	0	1	0.15
71	0.034	0.91	0	0	0.059	0	1	0.15
72	0.12	0.87	0	0	0.009	0	1	0.15
73	0.00084	1	0	0	0.0011	0	1	0.15
74	0.42	0.15	4.2e-06	0	0.43	3.5e-05	4	0.083
75	0.81	0.19	0	1.4e-05	0.00019	0	0	0.23
76	0.8	0.2	0	0	0.0001	0	0	0.23
77	0.0091	0.98	0	0	0.0069	0	1	0.15
78	0.039	0.96	0	0	0.0041	0	1	0.15
79	0.34	0.66	0	4.6e-06	0.0023	0	1	0.15
80	0.06	0.9	0	0	0.037	0	1	0.15
81	0.14	0.86	0	0	0.004	0	1	0.15
82	0.18	0.8	0	0	0.027	0	1	0.15
83	0.42	0.58	0	0	5.8e-06	0	1	0.15
84	0.43	0.57	0	0	0	0	1	0.15
85	0.0022	1	0	0	0	0	1	0.15
86	0.45	0.55	0	0.0033	0.00051	0	1	0.15
87	0.5	0.5	0	0	3.6e-05	0	0	0.23
88	0.45	0.55	0	0	0	0	1	0.15
89	0.13	0.87	0	0	0	0	1	0.15
90	0.1	0.89	0	0	0.0087	0	1	0.15
91	0.081	0.92	0	0	0.00018	0	1	0.15
92	0.38	0.62	0	0	0.00023	0	1	0.15
93	0.017	0.98	0	0	0	0	1	0.15
94	0	0.11	1e-05	0	0.89	0	4	0.083
95	0.7	0.3	0	0	0	0	0	0.23
96	0.0094	0.87	2.6e-06	0	0.12	0	1	0.15
97	0.29	0.71	0	0	0.0016	0	1	0.15
98	0.014	0.98	0	0	0.0078	0	1	0.15
99	0.21	0.79	0	0	0	0	1	0.15
100	0.016	0.98	0	0	0	0	1	0.15
101	0	0.004	2.9e-06	0	0.99	0.0088	4	0.083
102	0.074	0.93	0	0	0	0	1	0.15
103	0.35	0.65	0	0	0	0	1	0.15
104	0.11	0.88	0	0	0.011	0	1	0.15
105	0.83	0.17	0	0	0	0	0	0.23
106	0.94	0.064	0	0	0	0	0	0.23
107	0.94	0.062	0	0	0	0	0	0.23
108	0.5	0.5	0	0	0.00024	0	0	0.23
109	0.017	0.98	0	0	0.00095	0	1	0.15
110	0.98	0.022	0	0	0	0	0	0.23
111	0.96	0.041	0	0	0	0	0	0.23
112	0.15	0.85	0	0	1.7e-05	0	1	0.15
113	0.95	0.049	0	1.1e-06	2.1e-06	0	0	0.23
114	0.029	0.96	0	0	0.014	0	1	0.15
115	0.28	0.72	0	0	0.00096	0	1	0.15
116	0.45	0.55	0	0	1.5e-06	0	1	0.15
117	0.79	0.21	0	0	0	0	0	0.23
118	0.26	0.74	0	0	0.00012	0	1	0.15
119	0.06	0.94	0	0	0	0	1	0.15
120	1	0.0038	0	0	0	0	0	0.23
121	0.13	0.82	1.2e-06	0	0.043	0	1	0.15
122	0.6	0.4	0	0	0	0	0	0.23
123	0.43	0.57	0	0	0.00075	0	1	0.15
124	0.0024	0.76	5.2e-06	0	0.24	0	1	0.15
125	0.048	0.95	0	0	0	0	1	0.15
126	0.087	0.91	0	0	0.0015	0	1	0.15
127	0.0065	0.99	0	0	5.5e-05	0	1	0.15
128	0.34	0.65	0	0	0.003	0	1	0.15
129	0.0047	0.52	6e-06	0	0.48	3.6e-05	1	0.15
130	0.79	0.21	0	2.2e-05	0.00031	0	0	0.23
131	0.084	0.92	0	0	5.1e-05	0	1	0.15
132	0.047	0.95	0	0	0.00024	0	1	0.15
133	0.38	0.62	0	0	0	0	1	0.15
134	0.032	0.96	0	0	0.0039	0	1	0.15
135	0.095	0.9	0	0	0.0046	0	1	0.15
136	0.41	0.59	0	7.8e-05	2.8e-06	0	1	0.15
137	0.17	0.82	0	0	0.015	0	1	0.15
138	0.3	0.7	0	0	0.0021	0	1	0.15
139	0.014	0.98	0	0	0.0023	0	1	0.15
140	0.00012	0.87	4.6e-06	0	0.13	0	1	0.15
