SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0
0	0.0061	0	0.32	0	0.0078	0	0.32	0.0047	0	0.0047	0.32	0	0	0	0.0061	0.0047	2	0.15
1	0.15	1e-05	0.059	0	0.19	0.00042	0.059	0.11	1e-05	0.11	0.059	1e-05	1e-05	0	0.15	0.11	4	0.23
2	0.00085	0.003	0.33	0	0.0011	0	0.33	0.00065	0.003	0.00065	0.33	0.003	0.003	0	0.00085	0.00065	2	0.15
3	0.022	0.0049	0.29	0	0.028	0	0.29	0.017	0.0049	0.017	0.29	0.0049	0.0049	0	0.022	0.017	6	0.15
4	0.0026	0.00058	0.33	0	0.0033	0	0.33	0.002	0.00058	0.002	0.33	0.00058	0.00058	0	0.0026	0.002	6	0.15
5	0.03	0.00031	0.28	0	0.039	0	0.28	0.023	0.00031	0.023	0.28	0.00031	0.00031	0	0.03	0.023	6	0.15
6	0.17	0	0.017	0	0.22	0.001	0.017	0.13	0	0.13	0.017	0	0	0	0.17	0.13	4	0.23
7	0.034	0.0047	0.26	0	0.044	5.2e-06	0.26	0.027	0.0047	0.027	0.26	0.0047	0.0047	0	0.034	0.027	2	0.15
8	0.0013	3.5e-05	0.33	0	0.0016	0	0.33	0.00098	3.5e-05	0.00098	0.33	3.5e-05	3.5e-05	0	0.0013	0.00098	6	0.15
9	0.019	0.003	0.29	0	0.025	1.8e-06	0.29	0.015	0.003	0.015	0.29	0.003	0.003	0	0.019	0.015	6	0.15
10	0.0027	0.00021	0.33	0	0.0035	0	0.33	0.0021	0.00021	0.0021	0.33	0.00021	0.00021	0	0.0027	0.0021	2	0.15
11	0.0051	0.00032	0.32	0	0.0065	0	0.32	0.0039	0.00032	0.0039	0.32	0.00032	0.00032	0	0.0051	0.0039	2	0.15
12	0.091	0	0.16	0	0.12	0	0.16	0.07	0	0.07	0.16	0	0	0	0.091	0.07	6	0.15
13	0.0085	0.0022	0.31	0	0.011	0	0.31	0.0065	0.0022	0.0065	0.31	0.0022	0.0022	0	0.0085	0.0065	6	0.15
14	0.15	0	0.053	0	0.19	0.004	0.053	0.12	0	0.12	0.053	0	0	0	0.15	0.12	4	0.23
15	0.00032	0.00023	0.33	0	0.0004	0	0.33	0.00024	0.00023	0.00024	0.33	0.00023	0.00023	0	0.00032	0.00024	6	0.15
16	0.022	0	0.29	0	0.028	1.2e-05	0.29	0.017	0	0.017	0.29	0	0	0	0.022	0.017	6	0.15
17	0.011	0.02	0.29	0	0.014	2.7e-06	0.29	0.0086	0.02	0.0086	0.29	0.02	0.02	0	0.011	0.0086	6	0.15
18	0.073	1e-05	0.2	0	0.094	1.9e-05	0.2	0.056	1e-05	0.056	0.2	1e-05	1e-05	0	0.073	0.056	6	0.15
19	0.0033	0.00046	0.33	0	0.0042	0	0.33	0.0026	0.00046	0.0026	0.33	0.00046	0.00046	0	0.0033	0.0026	6	0.15
20	0.085	3.2e-06	0.17	0	0.11	2.1e-06	0.17	0.066	3.2e-06	0.066	0.17	3.2e-06	3.2e-06	0	0.085	0.066	6	0.15
21	0.025	0	0.29	0	0.032	0.00046	0.29	0.019	0	0.019	0.29	0	0	0	0.025	0.019	2	0.15
22	0.0055	0.0081	0.31	0	0.0071	0	0.31	0.0043	0.0081	0.0043	0.31	0.0081	0.0081	0	0.0055	0.0043	2	0.15
23	0.00027	0.0023	0.33	0	0.00035	0	0.33	0.00021	0.0023	0.00021	0.33	0.0023	0.0023	0	0.00027	0.00021	6	0.15
24	0.039	0	0.26	0	0.05	0.00054	0.26	0.03	0	0.03	0.26	0	0	0	0.039	0.03	2	0.15
25	0.0033	2.5e-05	0.33	0	0.0043	0	0.33	0.0026	2.5e-05	0.0026	0.33	2.5e-05	2.5e-05	0	0.0033	0.0026	6	0.15
26	0.066	3.3e-05	0.21	0	0.084	1.4e-05	0.21	0.051	3.3e-05	0.051	0.21	3.3e-05	3.3e-05	0	0.066	0.051	6	0.15
27	0.12	0	0.11	0	0.16	0	0.11	0.094	0	0.094	0.11	0	0	0	0.12	0.094	4	0.23
28	0.12	0	0.11	0	0.15	1.4e-06	0.11	0.092	0	0.092	0.11	0	0	0	0.12	0.092	4	0.23
29	0.089	0	0.17	0	0.11	1.1e-05	0.17	0.069	0	0.069	0.17	0	0	0	0.089	0.069	2	0.15
30	0.017	0	0.3	0	0.022	2.6e-05	0.3	0.013	0	0.013	0.3	0	0	0	0.017	0.013	6	0.15
31	0.014	0.0084	0.3	0	0.018	1.9e-06	0.3	0.011	0.0084	0.011	0.3	0.0084	0.0084	0	0.014	0.011	2	0.15
32	0.048	0.00026	0.24	0	0.062	1.6e-05	0.24	0.037	0.00026	0.037	0.24	0.00026	0.00026	0	0.048	0.037	6	0.15
33	0.058	0	0.22	0	0.074	0.0013	0.22	0.045	0	0.045	0.22	0	0	0	0.058	0.045	6	0.15
34	0.0018	0.002	0.33	0	0.0023	0	0.33	0.0014	0.002	0.0014	0.33	0.002	0.002	0	0.0018	0.0014	6	0.15
35	0.02	0	0.3	0	0.025	0	0.3	0.015	0	0.015	0.3	0	0	0	0.02	0.015	6	0.15
36	0.00083	0.00035	0.33	0	0.0011	0	0.33	0.00064	0.00035	0.00064	0.33	0.00035	0.00035	0	0.00083	0.00064	2	0.15
37	0.084	0	0.18	0	0.11	3.8e-06	0.18	0.065	0	0.065	0.18	0	0	0	0.084	0.065	6	0.15
38	0.18	0	0.0036	0	0.23	0.0035	0.0036	0.14	0	0.14	0.0036	0	0	0	0.18	0.14	4	0.23
39	0.062	0	0.22	0	0.08	0.0015	0.22	0.048	0	0.048	0.22	0	0	1.1e-05	0.062	0.048	6	0.15
40	0.055	0.00014	0.23	0	0.07	4.2e-05	0.23	0.042	0.00014	0.042	0.23	0.00014	0.00014	0	0.055	0.042	6	0.15
41	0.068	1.5e-05	0.21	0	0.087	1.6e-06	0.21	0.053	1.5e-05	0.053	0.21	1.5e-05	1.5e-05	0	0.068	0.053	2	0.15
42	0.054	0	0.23	0	0.07	0.00013	0.23	0.042	0	0.042	0.23	0	0	0	0.054	0.042	6	0.15
43	0.013	0	0.31	0	0.017	0.00011	0.31	0.01	0	0.01	0.31	0	0	0	0.013	0.01	6	0.15
44	0.0044	0.00075	0.32	0	0.0057	0	0.32	0.0034	0.00075	0.0034	0.32	0.00075	0.00075	0	0.0044	0.0034	6	0.15
45	0.05	9.3e-06	0.24	0	0.063	0.00066	0.24	0.038	9.3e-06	0.038	0.24	9.3e-06	9.3e-06	3e-06	0.05	0.038	6	0.15
46	0.067	0	0.21	0	0.085	0.0022	0.21	0.051	0	0.051	0.21	0	0	0.0013	0.067	0.051	6	0.15
47	0.092	0	0.16	0	0.12	4.1e-06	0.16	0.071	0	0.071	0.16	0	0	0	0.092	0.071	2	0.15
48	0.18	0	0.0052	0	0.23	2.5e-05	0.0052	0.14	0	0.14	0.0052	0	0	0	0.18	0.14	4	0.23
49	0.059	0	0.22	0	0.075	0.0014	0.22	0.045	0	0.045	0.22	0	0	0	0.059	0.045	6	0.15
50	0.053	0	0.23	0	0.068	0.0012	0.23	0.041	0	0.041	0.23	0	0	0	0.053	0.041	6	0.15
51	0.065	1.9e-05	0.21	0	0.083	4.8e-05	0.21	0.05	1.9e-05	0.05	0.21	1.9e-05	1.9e-05	0	0.065	0.05	2	0.15
52	0.068	0	0.21	0	0.087	0.00024	0.21	0.052	0	0.052	0.21	0	0	0	0.068	0.052	6	0.15
53	0.14	0	0.081	0	0.17	2.9e-06	0.081	0.1	0	0.1	0.081	0	0	0	0.14	0.1	4	0.23
54	0.0024	0.0013	0.33	0	0.003	0	0.33	0.0018	0.0013	0.0018	0.33	0.0013	0.0013	0	0.0024	0.0018	6	0.15
55	0.15	0	0.046	0	0.2	0	0.046	0.12	0	0.12	0.046	0	0	0	0.15	0.12	4	0.23
56	0.051	0.00018	0.24	0	0.065	0.00024	0.24	0.039	0.00018	0.039	0.24	0.00018	0.00018	0	0.051	0.039	6	0.15
57	0.028	0	0.28	0	0.036	6.1e-05	0.28	0.022	0	0.022	0.28	0	0	0	0.028	0.022	2	0.15
58	0.00021	0.00088	0.33	0	0.00027	0	0.33	0.00016	0.00088	0.00016	0.33	0.00088	0.00088	0	0.00021	0.00016	6	0.15
59	0.011	1.4e-05	0.31	0	0.014	0	0.31	0.0087	1.4e-05	0.0087	0.31	1.4e-05	1.4e-05	0	0.011	0.0087	6	0.15
60	0.18	0	1.7e-05	0	0.23	0.00047	1.7e-05	0.14	0	0.14	1.7e-05	0	0	0	0.18	0.14	4	0.23
