SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0
0	0.012	0.53	0	0.012	0.44	0.0097	0	0	0	0	1	0.15
1	0.29	0.097	2.1e-05	0.29	0.08	0.23	2.1e-05	0	0.00042	0	0	0.23
2	0.0017	0.54	0.006	0.0017	0.44	0.0013	0.006	0	0	0	1	0.15
3	0.044	0.47	0.0098	0.044	0.39	0.035	0.0098	0	0	0	1	0.15
4	0.0052	0.54	0.0012	0.0052	0.44	0.0041	0.0012	0	0	0	1	0.15
5	0.06	0.45	0.00062	0.06	0.38	0.048	0.00062	0	0	0	1	0.15
6	0.34	0.028	0	0.34	0.023	0.27	0	0	0.001	0	0	0.23
7	0.069	0.43	0.0094	0.069	0.36	0.055	0.0094	0	5.2e-06	0	1	0.15
8	0.0025	0.54	7.1e-05	0.0025	0.45	0.002	7.1e-05	0	0	0	1	0.15
9	0.039	0.48	0.0061	0.039	0.4	0.031	0.0061	0	1.8e-06	0	1	0.15
10	0.0054	0.54	0.00042	0.0054	0.45	0.0043	0.00042	0	0	0	1	0.15
11	0.01	0.53	0.00063	0.01	0.44	0.0081	0.00063	0	0	0	1	0.15
12	0.18	0.27	0	0.18	0.22	0.14	0	0	0	0	1	0.15
13	0.017	0.52	0.0044	0.017	0.43	0.014	0.0044	0	0	0	1	0.15
14	0.3	0.087	0	0.3	0.072	0.24	0	0	0.004	0	0	0.23
15	0.00063	0.55	0.00047	0.00063	0.45	0.0005	0.00047	0	0	0	1	0.15
16	0.043	0.48	0	0.043	0.4	0.035	0	0	1.2e-05	0	1	0.15
17	0.022	0.47	0.04	0.022	0.39	0.018	0.04	0	2.7e-06	0	1	0.15
18	0.15	0.32	2e-05	0.15	0.27	0.12	2e-05	0	1.9e-05	0	1	0.15
19	0.0066	0.54	0.00092	0.0066	0.44	0.0053	0.00092	0	0	0	1	0.15
20	0.17	0.29	6.4e-06	0.17	0.24	0.14	6.4e-06	0	2.1e-06	0	1	0.15
21	0.049	0.47	0	0.049	0.39	0.039	0	0	0.00046	0	1	0.15
22	0.011	0.51	0.016	0.011	0.42	0.0089	0.016	0	0	0	1	0.15
23	0.00054	0.54	0.0046	0.00054	0.45	0.00043	0.0046	0	0	0	1	0.15
24	0.078	0.43	0	0.078	0.35	0.062	0	0	0.00054	0	1	0.15
25	0.0066	0.54	5.1e-05	0.0066	0.44	0.0053	5.1e-05	0	0	0	1	0.15
