SNV	cluster0	cluster1	cluster2	cluster	dcf0
0	0	0.035	0.97	2	0.15
1	4.1e-05	0.83	0.17	1	0.23
2	0.012	0.0048	0.98	2	0.15
3	0.02	0.12	0.86	2	0.15
4	0.0023	0.015	0.98	2	0.15
5	0.0012	0.17	0.83	2	0.15
6	0	0.95	0.05	1	0.23
7	0.019	0.2	0.79	2	0.15
8	0.00014	0.0073	0.99	2	0.15
9	0.012	0.11	0.88	2	0.15
10	0.00084	0.015	0.98	2	0.15
11	0.0013	0.029	0.97	2	0.15
12	0	0.51	0.49	1	0.23
13	0.0088	0.049	0.94	2	0.15
14	0	0.84	0.16	1	0.23
15	0.00094	0.0018	1	2	0.15
16	0	0.12	0.88	2	0.15
17	0.081	0.064	0.86	2	0.15
18	4e-05	0.42	0.58	2	0.15
19	0.0018	0.019	0.98	2	0.15
20	1.3e-05	0.48	0.52	2	0.15
21	0	0.14	0.86	2	0.15
22	0.032	0.032	0.94	2	0.15
23	0.0093	0.0015	0.99	2	0.15
24	0	0.22	0.78	2	0.15
25	0.0001	0.019	0.98	2	0.15
26	0.00013	0.37	0.63	2	0.15
27	0	0.69	0.31	1	0.23
28	0	0.67	0.33	1	0.23
29	0	0.5	0.5	1	0.23
30	0	0.098	0.9	2	0.15
31	0.034	0.082	0.88	2	0.15
32	0.001	0.27	0.73	2	0.15
33	0	0.33	0.67	2	0.15
34	0.008	0.01	0.98	2	0.15
35	0	0.11	0.89	2	0.15
36	0.0014	0.0048	0.99	2	0.15
37	0	0.48	0.52	2	0.15
38	0	0.99	0.01	1	0.23
39	0	0.35	0.65	2	0.15
40	0.00055	0.31	0.69	2	0.15
41	5.8e-05	0.39	0.61	2	0.15
42	0	0.31	0.69	2	0.15
43	0	0.077	0.92	2	0.15
44	0.003	0.025	0.97	2	0.15
45	3.7e-05	0.28	0.72	2	0.15
46	0	0.38	0.62	2	0.15
47	5.2e-06	0.52	0.48	1	0.23
48	0	0.98	0.015	1	0.23
49	0	0.34	0.66	2	0.15
50	0	0.3	0.7	2	0.15
51	7.7e-05	0.37	0.63	2	0.15
52	0	0.39	0.61	2	0.15
53	0	0.76	0.24	1	0.23
54	0.005	0.014	0.98	2	0.15
55	0	0.86	0.14	1	0.23
56	0.00073	0.29	0.71	2	0.15
57	0	0.16	0.84	2	0.15
58	0.0035	0.0012	1	2	0.15
59	5.5e-05	0.065	0.94	2	0.15
60	0	1	5.1e-05	1	0.23
61	0.76	6.7e-05	0.24	0	0.083
62	0.14	0.011	0.85	2	0.15
63	0	0.87	0.13	1	0.23
64	0.089	0.048	0.86	2	0.15
65	0.00072	0.015	0.98	2	0.15
66	0.073	0.062	0.87	2	0.15
67	5.2e-05	0.0018	1	2	0.15
68	0.029	0.16	0.81	2	0.15
69	0.99	0	0.011	0	0.083
70	0.085	0.017	0.9	2	0.15
