SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster	dcf0
0	0.0067	0	0	0.24	0.24	0	0.24	0.0067	0.0067	0.24	0.0035	0	0.0035	0.0067	0	0	0	6	0.15
1	0.16	0	0	0.045	0.045	0	0.045	0.16	0.16	0.045	0.084	3.4e-05	0.084	0.16	0	0	0	7	0.23
2	0.00094	1.5e-06	1.5e-06	0.25	0.25	1.5e-06	0.25	0.00094	0.00094	0.25	0.00048	0.0097	0.00048	0.00094	0.00011	0	1.5e-06	6	0.15
3	0.024	1.2e-06	1.2e-06	0.22	0.22	1.2e-06	0.22	0.024	0.024	0.22	0.012	0.016	0.012	0.024	0.00064	0	1.2e-06	6	0.15
4	0.0029	0	0	0.25	0.25	0	0.25	0.0029	0.0029	0.25	0.0015	0.0018	0.0015	0.0029	1.1e-05	0	0	6	0.15
5	0.033	0	0	0.21	0.21	0	0.21	0.033	0.033	0.21	0.017	0.00099	0.017	0.033	9.4e-06	0	0	6	0.15
6	0.19	0	0	0.013	0.013	0	0.013	0.19	0.19	0.013	0.097	0	0.097	0.19	0	0	0	7	0.23
7	0.038	1.1e-06	1.1e-06	0.2	0.2	1.1e-06	0.2	0.038	0.038	0.2	0.02	0.015	0.02	0.038	0.00073	0	1.1e-06	6	0.15
8	0.0014	0	0	0.25	0.25	0	0.25	0.0014	0.0014	0.25	0.00072	0.00011	0.00072	0.0014	0	0	0	6	0.15
9	0.022	0	0	0.22	0.22	0	0.22	0.022	0.022	0.22	0.011	0.0098	0.011	0.022	0.00036	0	0	6	0.15
10	0.003	0	0	0.25	0.25	0	0.25	0.003	0.003	0.25	0.0015	0.00067	0.0015	0.003	2.7e-06	0	0	6	0.15
11	0.0056	0	0	0.24	0.24	0	0.24	0.0056	0.0056	0.24	0.0029	0.001	0.0029	0.0056	6.3e-06	0	0	6	0.15
12	0.1	0	0	0.12	0.12	0	0.12	0.1	0.1	0.12	0.052	0	0.052	0.1	0	0	0	6	0.15
13	0.0094	0	0	0.24	0.24	0	0.24	0.0094	0.0094	0.24	0.0048	0.007	0.0048	0.0094	0.00016	0	0	6	0.15
14	0.17	0	0	0.04	0.04	0	0.04	0.17	0.17	0.04	0.086	0	0.086	0.17	0	0	0	7	0.23
15	0.00035	0	0	0.25	0.25	0	0.25	0.00035	0.00035	0.25	0.00018	0.00075	0.00018	0.00035	0	0	0	6	0.15
16	0.024	0	0	0.22	0.22	0	0.22	0.024	0.024	0.22	0.012	0	0.012	0.024	0	0	0	6	0.15
17	0.012	2.9e-06	2.9e-06	0.22	0.22	2.9e-06	0.22	0.012	0.012	0.22	0.0064	0.065	0.0064	0.012	0.0061	0	2.9e-06	6	0.15
18	0.081	0	0	0.15	0.15	0	0.15	0.081	0.081	0.15	0.042	3.3e-05	0.042	0.081	0	0	0	6	0.15
19	0.0037	0	0	0.25	0.25	0	0.25	0.0037	0.0037	0.25	0.0019	0.0015	0.0019	0.0037	1e-05	0	0	6	0.15
20	0.095	0	0	0.13	0.13	0	0.13	0.095	0.095	0.13	0.049	1e-05	0.049	0.095	0	0	0	6	0.15
21	0.027	0	0	0.22	0.22	0	0.22	0.027	0.027	0.22	0.014	0	0.014	0.027	0	0	0	6	0.15
22	0.0062	0	0	0.24	0.24	0	0.24	0.0062	0.0062	0.24	0.0032	0.026	0.0032	0.0062	0.0011	0	0	6	0.15
23	0.0003	0	0	0.25	0.25	0	0.25	0.0003	0.0003	0.25	0.00015	0.0074	0.00015	0.0003	6.3e-05	0	0	6	0.15
24	0.043	0	0	0.2	0.2	0	0.2	0.043	0.043	0.2	0.022	0	0.022	0.043	0	0	0	6	0.15
25	0.0037	0	0	0.25	0.25	0	0.25	0.0037	0.0037	0.25	0.0019	8.1e-05	0.0019	0.0037	0	0	0	6	0.15
26	0.073	0	0	0.16	0.16	0	0.16	0.073	0.073	0.16	0.037	0.0001	0.037	0.073	0	0	0	6	0.15
27	0.14	0	0	0.08	0.08	0	0.08	0.14	0.14	0.08	0.069	0	0.069	0.14	0	0	0	7	0.23
28	0.13	0	0	0.084	0.084	0	0.084	0.13	0.13	0.084	0.068	0	0.068	0.13	0	0	0	7	0.23
29	0.099	0	0	0.13	0.13	0	0.13	0.099	0.099	0.13	0.051	0	0.051	0.099	0	0	0	6	0.15
30	0.019	0	0	0.23	0.23	0	0.23	0.019	0.019	0.23	0.0097	0	0.0097	0.019	0	0	0	6	0.15
31	0.016	0	0	0.22	0.22	0	0.22	0.016	0.016	0.22	0.0081	0.027	0.0081	0.016	0.0016	0	0	6	0.15
32	0.053	0	0	0.18	0.18	0	0.18	0.053	0.053	0.18	0.027	0.00084	0.027	0.053	1.4e-05	0	0	6	0.15
33	0.064	0	0	0.17	0.17	0	0.17	0.064	0.064	0.17	0.033	0	0.033	0.064	0	0	0	6	0.15
34	0.002	0	0	0.25	0.25	0	0.25	0.002	0.002	0.25	0.001	0.0064	0.001	0.002	8.5e-05	0	0	6	0.15
35	0.022	0	0	0.22	0.22	0	0.22	0.022	0.022	0.22	0.011	0	0.011	0.022	0	0	0	6	0.15
36	0.00092	0	0	0.25	0.25	0	0.25	0.00092	0.00092	0.25	0.00047	0.0011	0.00047	0.00092	4.4e-06	0	0	6	0.15
37	0.093	0	0	0.13	0.13	0	0.13	0.093	0.093	0.13	0.048	0	0.048	0.093	0	0	0	6	0.15
38	0.2	0	0	0.0027	0.0027	0	0.0027	0.2	0.2	0.0027	0.1	0	0.1	0.2	0	0	0	7	0.23
39	0.069	0	0	0.16	0.16	0	0.16	0.069	0.069	0.16	0.035	0	0.035	0.069	0	1.1e-05	0	6	0.15
40	0.06	0	0	0.17	0.17	0	0.17	0.06	0.06	0.17	0.031	0.00044	0.031	0.06	6.6e-06	0	0	6	0.15
41	0.076	0	0	0.15	0.15	0	0.15	0.076	0.076	0.15	0.039	4.7e-05	0.039	0.076	0	0	0	6	0.15
42	0.06	0	0	0.17	0.17	0	0.17	0.06	0.06	0.17	0.031	0	0.031	0.06	0	0	0	6	0.15
43	0.015	0	0	0.23	0.23	0	0.23	0.015	0.015	0.23	0.0076	0	0.0076	0.015	0	0	0	6	0.15
44	0.0049	0	0	0.24	0.24	0	0.24	0.0049	0.0049	0.24	0.0025	0.0024	0.0025	0.0049	2.3e-05	0	0	6	0.15
