SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0
0	0.011	0	0.0089	0.97	0	0	0.014	0	3	0.15
1	0.27	4.2e-05	0.21	0.18	0	0	0.34	0.00042	6	0.23
2	0.0015	0.012	0.0012	0.98	0	0	0.0019	0	3	0.15
3	0.04	0.02	0.032	0.86	0	0	0.05	0	3	0.15
4	0.0048	0.0023	0.0038	0.98	0	0	0.006	0	3	0.15
5	0.055	0.0012	0.044	0.83	0	0	0.069	0	3	0.15
6	0.31	0	0.25	0.051	0	0	0.39	0.001	6	0.23
7	0.063	0.019	0.05	0.79	0	0	0.079	5.2e-06	3	0.15
8	0.0023	0.00014	0.0019	0.99	0	0	0.0029	0	3	0.15
9	0.036	0.012	0.028	0.88	0	0	0.045	1.8e-06	3	0.15
10	0.0049	0.00084	0.0039	0.98	0	0	0.0062	0	3	0.15
11	0.0093	0.0013	0.0074	0.97	0	0	0.012	0	3	0.15
12	0.17	0	0.13	0.49	0	0	0.21	0	3	0.15
13	0.016	0.0088	0.012	0.94	0	0	0.02	0	3	0.15
14	0.27	0	0.22	0.16	0	0	0.34	0.004	6	0.23
15	0.00058	0.00094	0.00046	1	0	0	0.00073	0	3	0.15
16	0.04	0	0.032	0.88	0	0	0.05	1.2e-05	3	0.15
17	0.02	0.081	0.016	0.86	0	0	0.026	2.7e-06	3	0.15
18	0.13	4.1e-05	0.11	0.59	0	0	0.17	1.9e-05	3	0.15
19	0.0061	0.0018	0.0048	0.98	0	0	0.0076	0	3	0.15
20	0.16	1.3e-05	0.12	0.52	0	0	0.2	2.1e-06	3	0.15
21	0.045	0	0.036	0.86	0	0	0.057	0.00046	3	0.15
22	0.01	0.032	0.0081	0.94	0	0	0.013	0	3	0.15
23	0.00049	0.0092	0.00039	0.99	0	0	0.00062	0	3	0.15
24	0.071	0	0.057	0.78	0	0	0.089	0.00054	3	0.15
25	0.0061	0.0001	0.0049	0.98	0	0	0.0077	0	3	0.15
26	0.12	0.00013	0.096	0.63	0	0	0.15	1.4e-05	3	0.15
27	0.22	0	0.18	0.32	0	0	0.28	0	3	0.15
28	0.22	0	0.17	0.33	0	0	0.27	1.4e-06	3	0.15
29	0.16	0	0.13	0.5	0	0	0.21	1.1e-05	3	0.15
30	0.031	0	0.025	0.9	0	0	0.04	2.6e-05	3	0.15
31	0.026	0.034	0.021	0.89	0	0	0.033	1.9e-06	3	0.15
32	0.088	0.001	0.07	0.73	0	0	0.11	1.6e-05	3	0.15
33	0.11	0	0.085	0.67	0	0	0.13	0.0013	3	0.15
34	0.0033	0.008	0.0027	0.98	0	0	0.0042	0	3	0.15
35	0.036	0	0.029	0.89	0	0	0.046	0	3	0.15
36	0.0015	0.0014	0.0012	0.99	0	0	0.0019	0	3	0.15
37	0.15	0	0.12	0.53	0	0	0.19	3.8e-06	3	0.15
38	0.32	0	0.26	0.011	0	0	0.41	0.0035	6	0.23
39	0.11	0	0.091	0.65	0	1.1e-05	0.14	0.0015	3	0.15
40	0.1	0.00055	0.08	0.69	0	0	0.13	4.2e-05	3	0.15
41	0.12	5.8e-05	0.1	0.62	0	0	0.16	1.6e-06	3	0.15
42	0.1	0	0.079	0.7	0	0	0.13	0.00013	3	0.15
43	0.025	0	0.02	0.92	0	0	0.031	0.00011	3	0.15
44	0.0081	0.003	0.0065	0.97	0	0	0.01	0	3	0.15
45	0.091	3.7e-05	0.072	0.72	0	3e-06	0.11	0.00066	3	0.15
46	0.12	0	0.097	0.62	0	0.0013	0.15	0.0022	3	0.15
47	0.17	5.3e-06	0.13	0.49	0	0	0.21	4.1e-06	3	0.15
48	0.32	0	0.26	0.016	0	0	0.41	2.5e-05	6	0.23
49	0.11	0	0.086	0.67	0	0	0.14	0.0014	3	0.15
50	0.097	0	0.078	0.7	0	0	0.12	0.0012	3	0.15
51	0.12	7.8e-05	0.095	0.64	0	0	0.15	4.8e-05	3	0.15
52	0.12	0	0.099	0.62	0	0	0.16	0.00024	3	0.15
53	0.25	0	0.2	0.24	0	0	0.31	2.9e-06	6	0.23
54	0.0044	0.005	0.0035	0.98	0	0	0.0055	0	3	0.15
55	0.28	0	0.22	0.14	0	0	0.35	0	6	0.23
56	0.093	0.00073	0.074	0.71	0	0	0.12	0.00024	3	0.15
57	0.052	0	0.041	0.84	0	0	0.065	6.1e-05	3	0.15
58	0.00039	0.0035	0.00031	1	0	0	0.00049	0	3	0.15
59	0.021	5.5e-05	0.016	0.94	0	0	0.026	0	3	0.15
60	0.33	0	0.26	5.2e-05	0	0	0.41	0.00047	6	0.23
61	2.1e-05	0.76	1.7e-05	0.24	4.8e-06	0	2.7e-05	0	1	0.083
62	0.0036	0.14	0.0029	0.85	0	0	0.0045	0	3	0.15
63	0.28	0	0.23	0.13	0	0	0.36	0	6	0.23
64	0.015	0.089	0.012	0.86	0	0	0.02	0	3	0.15
65	0.0047	0.00072	0.0037	0.99	0	0	0.0059	0	3	0.15
66	0.02	0.073	0.016	0.87	0	0	0.025	0	3	0.15
67	0.00059	5.2e-05	0.00047	1	0	0	0.00074	0	3	0.15
68	0.053	0.029	0.042	0.81	0	0	0.066	4.1e-06	3	0.15
69	0	0.99	0	0.011	0	0	0	0	1	0.083
70	0.0056	0.085	0.0044	0.9	0	0	0.007	0	3	0.15
71	0.011	0.062	0.0089	0.9	0	0	0.014	0	3	0.15
72	0.04	0.0093	0.032	0.87	0	0	0.051	0	3	0.15
73	0.00027	0.0011	0.00022	1	0	0	0.00035	0	3	0.15
74	0.14	0.44	0.11	0.15	2.8e-06	0	0.17	0	1	0.083
75	0.27	0.0002	0.21	0.19	0	1.4e-05	0.33	0.0034	6	0.23
76	0.26	0.00011	0.21	0.2	0	0	0.33	0.00094	6	0.23
77	0.003	0.0072	0.0024	0.98	0	0	0.0038	0	3	0.15
78	0.013	0.0043	0.01	0.96	0	0	0.016	0	3	0.15
79	0.11	0.0023	0.088	0.66	0	4.5e-06	0.14	0.00054	3	0.15
80	0.019	0.039	0.015	0.9	0	0	0.024	0	3	0.15
81	0.044	0.0041	0.035	0.86	0	0	0.056	0	3	0.15
82	0.057	0.029	0.046	0.8	0	0	0.072	6.6e-05	3	0.15
83	0.14	6.1e-06	0.11	0.58	0	0	0.17	0	3	0.15
84	0.14	0	0.11	0.57	0	0	0.18	0	3	0.15
85	0.00072	0	0.00057	1	0	0	0.0009	0	3	0.15
86	0.15	0.00053	0.12	0.55	0	0.0032	0.18	0.0043	3	0.15
87	0.16	3.8e-05	0.13	0.5	0	0	0.21	6.8e-06	3	0.15
88	0.15	0	0.12	0.55	0	0	0.19	0	3	0.15
89	0.042	0	0.034	0.87	0	0	0.053	0	3	0.15
90	0.033	0.009	0.027	0.89	0	0	0.042	0	3	0.15
91	0.026	0.00019	0.021	0.92	0	0	0.033	0	3	0.15
92	0.12	0.00024	0.098	0.62	0	0	0.15	5.7e-06	3	0.15
93	0.0055	0	0.0044	0.98	0	0	0.0069	0	3	0.15
94	0	0.89	0	0.11	6.7e-06	0	0	0	1	0.083
95	0.23	0	0.18	0.3	0	0	0.29	0	3	0.15
96	0.0031	0.13	0.0024	0.86	0	0	0.0039	0	3	0.15
97	0.094	0.0016	0.075	0.71	0	0	0.12	1.7e-05	3	0.15
98	0.0046	0.0081	0.0036	0.98	0	0	0.0058	0	3	0.15
99	0.068	0	0.054	0.79	0	0	0.086	0	3	0.15
100	0.0053	0	0.0043	0.98	0	0	0.0067	0	3	0.15
101	0	1	0	0.0039	0	0	0	0	1	0.083
102	0.024	0	0.019	0.93	0	0	0.031	0	3	0.15
103	0.11	0	0.09	0.65	0	0	0.14	0	3	0.15
104	0.035	0.011	0.028	0.88	0	0	0.044	0	3	0.15
105	0.27	0	0.22	0.17	0	0	0.34	0	6	0.23
106	0.31	0	0.24	0.064	0	0	0.39	0	6	0.23
107	0.31	0	0.24	0.062	0	0	0.39	0	6	0.23
108	0.16	0.00025	0.13	0.5	0	0	0.21	4.6e-06	3	0.15
109	0.0055	0.00099	0.0043	0.98	0	0	0.0069	0	3	0.15
110	0.32	0	0.26	0.022	0	0	0.4	0	6	0.23
111	0.31	0	0.25	0.041	0	0	0.39	0.00012	6	0.23
112	0.05	1.8e-05	0.04	0.85	0	0	0.062	0	3	0.15
113	0.31	2.2e-06	0.25	0.049	0	1.1e-06	0.39	0.005	6	0.23
114	0.0095	0.014	0.0076	0.96	0	0	0.012	0	3	0.15
115	0.093	0.001	0.074	0.72	0	0	0.12	0	3	0.15
116	0.15	1.6e-06	0.12	0.55	0	0	0.18	0	3	0.15
117	0.26	0	0.21	0.21	0	0	0.32	0	6	0.23
118	0.086	0.00013	0.068	0.74	0	0	0.11	0	3	0.15
119	0.02	0	0.016	0.94	0	0	0.025	0	3	0.15
120	0.33	0	0.26	0.0038	0	0	0.41	0	6	0.23
121	0.044	0.045	0.035	0.82	0	0	0.055	3.2e-06	3	0.15
122	0.2	0	0.16	0.4	0	0	0.25	0	3	0.15
123	0.14	0.00078	0.11	0.57	0	0	0.17	6.2e-06	3	0.15
124	0.00078	0.24	0.00062	0.75	3.5e-06	0	0.00099	0	3	0.15
125	0.016	0	0.013	0.95	0	0	0.02	0	3	0.15
126	0.028	0.0016	0.023	0.91	0	0	0.036	0	3	0.15
127	0.0021	5.7e-05	0.0017	0.99	0	0	0.0027	0	3	0.15
128	0.11	0.0031	0.09	0.65	0	0	0.14	1.1e-05	3	0.15
129	0.0015	0.49	0.0012	0.51	4e-06	0	0.0019	0	3	0.15
130	0.26	0.00033	0.2	0.21	0	2.2e-05	0.32	0.0034	6	0.23
131	0.028	5.3e-05	0.022	0.92	0	0	0.035	0	3	0.15
132	0.015	0.00025	0.012	0.95	0	0	0.019	0	3	0.15
133	0.12	0	0.098	0.62	0	0	0.15	0.00055	3	0.15
134	0.01	0.004	0.0083	0.96	0	0	0.013	0	3	0.15
135	0.031	0.0048	0.025	0.9	0	0	0.039	0	3	0.15
136	0.13	2.9e-06	0.11	0.59	0	7.6e-05	0.17	0.0028	3	0.15
137	0.054	0.016	0.043	0.82	0	0	0.068	1.7e-05	3	0.15
138	0.098	0.0022	0.078	0.7	0	0	0.12	4.6e-05	3	0.15
139	0.0047	0.0024	0.0038	0.98	0	0	0.0059	0	3	0.15
140	3.8e-05	0.13	3e-05	0.87	3.1e-06	0	4.8e-05	0	3	0.15
141	0.11	0.002	0.087	0.66	0	0	0.14	0.00022	3	0.15
142	0.0021	0.31	0.0016	0.68	2.7e-06	0	0.0026	0	3	0.15
143	0.051	7.5e-05	0.04	0.85	0	0	0.064	0	3	0.15
144	0.15	0.00012	0.12	0.55	0	0	0.19	6.4e-05	3	0.15
145	0.078	0	0.062	0.76	0	0	0.098	0.0009	3	0.15
146	0	0.9	0	0.098	6.1e-06	0	0	0	1	0.083
147	0.26	0	0.2	0.22	0	0	0.32	0	6	0.23
148	0.041	4.7e-05	0.032	0.88	0	0	0.051	0	3	0.15
149	0.02	0.00026	0.016	0.94	0	0	0.025	0	3	0.15
150	0.13	2.1e-05	0.1	0.6	0	0	0.16	0.00056	3	0.15
151	3.5e-06	0.26	2.8e-06	0.74	5.8e-06	0	4.4e-06	0	3	0.15
152	0.02	0.0017	0.016	0.94	0	0	0.025	0	3	0.15
153	6e-05	0.0062	4.8e-05	0.99	0	0	7.6e-05	0	3	0.15
154	0.11	1.2e-05	0.089	0.66	0	0	0.14	0	3	0.15
155	0	1	0	0.00074	0	0	0	0	1	0.083
156	0.32	0	0.25	0.03	0	0	0.4	0	6	0.23
157	0.24	0	0.19	0.26	0	0	0.31	0	6	0.23
158	0.0071	0	0.0057	0.98	0	0	0.0089	0	3	0.15
159	0.29	0	0.23	0.11	0	0	0.36	0	6	0.23
160	6.2e-05	0.35	4.9e-05	0.65	4.5e-06	0	7.8e-05	0	3	0.15
161	2.8e-05	0.19	2.3e-05	0.81	3.8e-06	0	3.6e-05	0	3	0.15
162	0.05	1.4e-05	0.04	0.85	0	0	0.063	0	3	0.15
163	0.025	4.2e-06	0.02	0.92	0	0	0.031	0	3	0.15
164	0.0011	0.052	0.00086	0.94	0	0	0.0014	0	3	0.15
165	0.18	4.4e-06	0.14	0.45	0	0	0.23	0	3	0.15
166	0.034	0.0043	0.027	0.89	0	0	0.043	0	3	0.15
167	0	0.0054	0	0.99	0	0	0	0	3	0.15
168	0.0059	0.0052	0.0047	0.98	0	0	0.0075	0	3	0.15
