k	loglikelihood	observations	parameters	BIC
1	-7887.86	11482	2	15794.4
2	-7391.04	11482	3	14810.1
3	-6872.17	11482	4	13781.7
4	-6872.17	11482	5	13791.1
5	-6722.7	11482	6	13501.5
6	-6671.95	11482	7	13409.3
7	-6703.12	11482	8	13481
8	-6702.85	11482	9	13489.8
9	-6702.85	11482	10	13499.2
10	-6702.85	11482	11	13508.5
11	-6702.86	11482	12	13517.9
12	-6702.85	11482	13	13527.2
13	-6702.85	11482	14	13536.6
14	-6702.85	11482	15	13545.9
15	-6702.85	11482	16	13555.3
16	-6702.85	11482	17	13564.6
17	-6696.74	11482	18	13561.8
18	-6702.85	11482	19	13583.3
19	-6690.08	11482	20	13567.1
20	-6696.7	11482	21	13589.7
