SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0
0	0.011	0	0.97	0	0.014	0.009	0	2	0.15
1	0.27	4.2e-05	0.18	0	0.34	0.22	0	4	0.23
2	0.0016	0.012	0.98	0	0.0019	0.0013	0	2	0.15
3	0.04	0.02	0.86	0	0.05	0.032	0	2	0.15
4	0.0048	0.0023	0.98	0	0.006	0.0039	0	2	0.15
5	0.055	0.0012	0.83	0	0.069	0.045	0	2	0.15
6	0.31	0	0.051	0	0.39	0.25	0	4	0.23
7	0.063	0.019	0.79	0	0.079	0.051	0	2	0.15
8	0.0023	0.00014	0.99	0	0.0029	0.0019	0	2	0.15
9	0.036	0.012	0.88	0	0.045	0.029	0	2	0.15
10	0.005	0.00084	0.98	0	0.0062	0.004	0	2	0.15
11	0.0094	0.0013	0.97	0	0.012	0.0076	0	2	0.15
12	0.17	0	0.49	0	0.21	0.13	0	2	0.15
13	0.016	0.0088	0.94	0	0.02	0.013	0	2	0.15
14	0.28	0	0.16	0	0.34	0.22	0	4	0.23
15	0.00058	0.00094	1	0	0.00073	0.00047	0	2	0.15
16	0.04	0	0.88	0	0.05	0.032	0	2	0.15
17	0.02	0.081	0.86	0	0.026	0.016	0	2	0.15
18	0.13	4.1e-05	0.59	0	0.17	0.11	0	2	0.15
19	0.0061	0.0018	0.98	0	0.0076	0.0049	0	2	0.15
20	0.16	1.3e-05	0.52	0	0.2	0.13	0	2	0.15
21	0.045	0	0.86	0	0.057	0.037	0	2	0.15
22	0.01	0.032	0.94	0	0.013	0.0082	0	2	0.15
23	0.0005	0.0092	0.99	0	0.00062	0.0004	0	2	0.15
24	0.071	0	0.78	0	0.089	0.058	0	2	0.15
25	0.0061	0.0001	0.98	0	0.0077	0.0049	0	2	0.15
26	0.12	0.00013	0.63	0	0.15	0.097	0	2	0.15
27	0.22	0	0.32	0	0.28	0.18	0	2	0.15
28	0.22	0	0.33	0	0.27	0.18	0	2	0.15
29	0.16	0	0.5	0	0.2	0.13	0	2	0.15
30	0.032	0	0.9	0	0.04	0.025	0	2	0.15
31	0.026	0.034	0.89	0	0.033	0.021	0	2	0.15
32	0.088	0.001	0.73	0	0.11	0.071	0	2	0.15
33	0.11	0	0.67	0	0.13	0.086	0	2	0.15
34	0.0033	0.008	0.98	0	0.0042	0.0027	0	2	0.15
35	0.036	0	0.89	0	0.046	0.029	0	2	0.15
36	0.0015	0.0014	0.99	0	0.0019	0.0012	0	2	0.15
37	0.15	0	0.53	0	0.19	0.12	0	2	0.15
38	0.32	0	0.011	0	0.4	0.26	0	4	0.23
39	0.11	0	0.65	1.1e-05	0.14	0.092	0	2	0.15
40	0.1	0.00055	0.69	0	0.13	0.081	0	2	0.15
41	0.13	5.8e-05	0.62	0	0.16	0.1	0	2	0.15
42	0.1	0	0.69	0	0.13	0.081	0	2	0.15
43	0.025	0	0.92	0	0.031	0.02	0	2	0.15
44	0.0082	0.003	0.97	0	0.01	0.0066	0	2	0.15
45	0.091	3.7e-05	0.72	3.1e-06	0.11	0.073	0	2	0.15
46	0.12	0	0.62	0.0013	0.15	0.099	0	2	0.15
47	0.17	5.3e-06	0.48	0	0.21	0.14	0	2	0.15
48	0.32	0	0.016	0	0.4	0.26	0	4	0.23
49	0.11	0	0.67	0	0.14	0.087	0	2	0.15
50	0.098	0	0.7	0	0.12	0.079	0	2	0.15
51	0.12	7.7e-05	0.64	0	0.15	0.096	0	2	0.15
52	0.12	0	0.62	0	0.16	0.1	0	2	0.15
53	0.25	0	0.24	0	0.31	0.2	0	4	0.23
54	0.0044	0.005	0.98	0	0.0055	0.0035	0	2	0.15
55	0.28	0	0.14	0	0.35	0.23	0	4	0.23
56	0.094	0.00073	0.71	0	0.12	0.076	0	2	0.15
57	0.052	0	0.84	0	0.065	0.042	0	2	0.15
58	0.00039	0.0035	1	0	0.00049	0.00031	0	2	0.15
59	0.021	5.5e-05	0.94	0	0.026	0.017	0	2	0.15
60	0.33	0	5.2e-05	0	0.41	0.26	0	4	0.23
61	2.1e-05	0.76	0.24	0	2.7e-05	1.7e-05	4.8e-06	1	0.083
62	0.0036	0.14	0.85	0	0.0045	0.0029	0	2	0.15
63	0.28	0	0.13	0	0.36	0.23	0	4	0.23
64	0.016	0.089	0.86	0	0.02	0.013	0	2	0.15
65	0.0047	0.00072	0.98	0	0.0059	0.0038	0	2	0.15
66	0.02	0.073	0.87	0	0.025	0.016	0	2	0.15
67	0.00059	5.2e-05	1	0	0.00074	0.00048	0	2	0.15
68	0.053	0.029	0.81	0	0.066	0.043	0	2	0.15
69	0	0.99	0.011	0	0	0	0	1	0.083
70	0.0056	0.085	0.9	0	0.007	0.0045	0	2	0.15
71	0.011	0.062	0.9	0	0.014	0.0091	0	2	0.15
72	0.04	0.0093	0.87	0	0.051	0.033	0	2	0.15
73	0.00028	0.0011	1	0	0.00035	0.00022	0	2	0.15
74	0.14	0.44	0.15	0	0.17	0.11	2.8e-06	1	0.083
75	0.27	0.0002	0.19	1.4e-05	0.33	0.21	0	4	0.23
76	0.26	0.00011	0.2	0	0.33	0.21	0	4	0.23
77	0.003	0.0072	0.98	0	0.0038	0.0024	0	2	0.15
78	0.013	0.0043	0.96	0	0.016	0.01	0	2	0.15
79	0.11	0.0023	0.66	4.7e-06	0.14	0.09	0	2	0.15
