SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster	dcf0
0	0.0071	0	0.0085	0.0057	0	0	0	0.0071	0.24	0.24	0.24	0	0.24	0.0057	8	0.15
1	0.17	1.5e-05	0.2	0.14	1.3e-05	0.00042	1.5e-05	0.17	0.044	0.044	0.044	0	0.044	0.14	2	0.23
2	0.00099	0.0042	0.0012	0.00079	0.0037	0	0.0042	0.00099	0.25	0.25	0.25	0	0.25	0.00079	8	0.15
3	0.025	0.0068	0.03	0.02	0.0059	0	0.0068	0.025	0.21	0.21	0.21	0	0.21	0.02	8	0.15
4	0.003	0.0008	0.0036	0.0024	0.0007	0	0.0008	0.003	0.25	0.25	0.25	0	0.25	0.0024	8	0.15
5	0.035	0.00043	0.042	0.028	0.00038	0	0.00043	0.035	0.21	0.21	0.21	0	0.21	0.028	8	0.15
6	0.2	0	0.24	0.16	0	0.001	0	0.2	0.013	0.013	0.013	0	0.013	0.16	2	0.23
7	0.04	0.0065	0.048	0.032	0.0057	5.2e-06	0.0065	0.04	0.2	0.2	0.2	0	0.2	0.032	8	0.15
8	0.0015	4.9e-05	0.0018	0.0012	4.3e-05	0	4.9e-05	0.0015	0.25	0.25	0.25	0	0.25	0.0012	8	0.15
9	0.023	0.0042	0.027	0.018	0.0037	1.8e-06	0.0042	0.023	0.22	0.22	0.22	0	0.22	0.018	8	0.15
10	0.0032	0.00029	0.0038	0.0025	0.00025	0	0.00029	0.0032	0.25	0.25	0.25	0	0.25	0.0025	8	0.15
11	0.006	0.00044	0.0071	0.0048	0.00038	0	0.00044	0.006	0.24	0.24	0.24	0	0.24	0.0048	8	0.15
12	0.11	0	0.13	0.084	0	0	0	0.11	0.12	0.12	0.12	0	0.12	0.084	2	0.23
13	0.0099	0.0031	0.012	0.0079	0.0027	0	0.0031	0.0099	0.24	0.24	0.24	0	0.24	0.0079	8	0.15
14	0.17	0	0.21	0.14	0	0.004	0	0.17	0.04	0.04	0.04	0	0.04	0.14	2	0.23
15	0.00037	0.00033	0.00044	0.00029	0.00028	0	0.00033	0.00037	0.25	0.25	0.25	0	0.25	0.00029	8	0.15
16	0.025	0	0.03	0.02	0	1.2e-05	0	0.025	0.22	0.22	0.22	0	0.22	0.02	8	0.15
17	0.013	0.028	0.015	0.01	0.025	2.8e-06	0.028	0.013	0.21	0.21	0.21	0	0.21	0.01	8	0.15
18	0.086	1.4e-05	0.1	0.068	1.2e-05	1.9e-05	1.4e-05	0.086	0.15	0.15	0.15	0	0.15	0.068	8	0.15
19	0.0039	0.00064	0.0046	0.0031	0.00056	0	0.00064	0.0039	0.24	0.24	0.24	0	0.24	0.0031	8	0.15
20	0.1	4.5e-06	0.12	0.08	3.9e-06	2.1e-06	4.5e-06	0.1	0.13	0.13	0.13	0	0.13	0.08	8	0.15
21	0.029	0	0.034	0.023	0	0.00047	0	0.029	0.22	0.22	0.22	0	0.22	0.023	8	0.15
22	0.0065	0.011	0.0077	0.0052	0.0098	0	0.011	0.0065	0.23	0.23	0.23	0	0.23	0.0052	8	0.15
23	0.00032	0.0032	0.00038	0.00025	0.0028	0	0.0032	0.00032	0.25	0.25	0.25	0	0.25	0.00025	8	0.15
24	0.045	0	0.054	0.036	0	0.00054	0	0.045	0.2	0.2	0.2	0	0.2	0.036	8	0.15
25	0.0039	3.5e-05	0.0046	0.0031	3.1e-05	0	3.5e-05	0.0039	0.25	0.25	0.25	0	0.25	0.0031	8	0.15
26	0.077	4.5e-05	0.092	0.061	4e-05	1.4e-05	4.5e-05	0.077	0.16	0.16	0.16	0	0.16	0.061	8	0.15
27	0.14	0	0.17	0.11	0	0	0	0.14	0.08	0.08	0.08	0	0.08	0.11	2	0.23
28	0.14	0	0.17	0.11	0	1.4e-06	0	0.14	0.084	0.084	0.084	0	0.084	0.11	2	0.23
29	0.1	0	0.12	0.083	0	1.1e-05	0	0.1	0.13	0.13	0.13	0	0.13	0.083	8	0.15
30	0.02	0	0.024	0.016	0	2.6e-05	0	0.02	0.23	0.23	0.23	0	0.23	0.016	8	0.15
31	0.017	0.012	0.02	0.013	0.01	1.9e-06	0.012	0.017	0.22	0.22	0.22	0	0.22	0.013	8	0.15
32	0.056	0.00036	0.067	0.045	0.00032	1.6e-05	0.00036	0.056	0.18	0.18	0.18	0	0.18	0.045	8	0.15
33	0.068	0	0.081	0.054	0	0.0014	0	0.068	0.17	0.17	0.17	0	0.17	0.054	8	0.15
34	0.0021	0.0028	0.0025	0.0017	0.0024	0	0.0028	0.0021	0.25	0.25	0.25	0	0.25	0.0017	8	0.15
35	0.023	0	0.028	0.018	0	0	0	0.023	0.22	0.22	0.22	0	0.22	0.018	8	0.15
36	0.00097	0.00049	0.0012	0.00077	0.00042	0	0.00049	0.00097	0.25	0.25	0.25	0	0.25	0.00077	8	0.15
37	0.098	0	0.12	0.078	0	3.8e-06	0	0.098	0.13	0.13	0.13	0	0.13	0.078	8	0.15
38	0.21	0	0.25	0.16	0	0.0035	0	0.21	0.0027	0.0027	0.0027	0	0.0027	0.16	2	0.23
39	0.073	0	0.087	0.058	0	0.0015	0	0.073	0.16	0.16	0.16	1.1e-05	0.16	0.058	8	0.15
40	0.064	0.00019	0.076	0.051	0.00017	4.2e-05	0.00019	0.064	0.17	0.17	0.17	0	0.17	0.051	8	0.15
41	0.08	2e-05	0.095	0.064	1.8e-05	1.6e-06	2e-05	0.08	0.15	0.15	0.15	0	0.15	0.064	8	0.15
42	0.064	0	0.076	0.051	0	0.00013	0	0.064	0.17	0.17	0.17	0	0.17	0.051	8	0.15
43	0.016	0	0.019	0.012	0	0.00011	0	0.016	0.23	0.23	0.23	0	0.23	0.012	8	0.15
44	0.0052	0.001	0.0062	0.0041	0.00091	0	0.001	0.0052	0.24	0.24	0.24	0	0.24	0.0041	8	0.15
45	0.058	1.3e-05	0.069	0.046	1.1e-05	0.00066	1.3e-05	0.058	0.18	0.18	0.18	3e-06	0.18	0.046	8	0.15
46	0.078	0	0.093	0.062	0	0.0022	0	0.078	0.16	0.16	0.16	0.0013	0.16	0.062	8	0.15
47	0.11	0	0.13	0.086	0	4.1e-06	0	0.11	0.12	0.12	0.12	0	0.12	0.086	2	0.23
48	0.21	0	0.25	0.16	0	2.5e-05	0	0.21	0.0039	0.0039	0.0039	0	0.0039	0.16	2	0.23
49	0.069	0	0.082	0.055	0	0.0014	0	0.069	0.17	0.17	0.17	0	0.17	0.055	8	0.15
50	0.062	0	0.074	0.049	0	0.0012	0	0.062	0.18	0.18	0.18	0	0.18	0.049	8	0.15
51	0.076	2.7e-05	0.09	0.06	2.4e-05	4.8e-05	2.7e-05	0.076	0.16	0.16	0.16	0	0.16	0.06	8	0.15
52	0.079	0	0.094	0.063	0	0.00024	0	0.079	0.16	0.16	0.16	0	0.16	0.063	8	0.15
53	0.16	0	0.19	0.13	0	2.9e-06	0	0.16	0.061	0.061	0.061	0	0.061	0.13	2	0.23
54	0.0028	0.0017	0.0033	0.0022	0.0015	0	0.0017	0.0028	0.25	0.25	0.25	0	0.25	0.0022	8	0.15
55	0.18	0	0.21	0.14	0	0	0	0.18	0.035	0.035	0.035	0	0.035	0.14	2	0.23
56	0.06	0.00025	0.071	0.048	0.00022	0.00024	0.00025	0.06	0.18	0.18	0.18	0	0.18	0.048	8	0.15
57	0.033	0	0.039	0.026	0	6.1e-05	0	0.033	0.21	0.21	0.21	0	0.21	0.026	8	0.15
58	0.00025	0.0012	0.0003	0.0002	0.0011	0	0.0012	0.00025	0.25	0.25	0.25	0	0.25	0.0002	8	0.15
59	0.013	1.9e-05	0.016	0.011	1.7e-05	0	1.9e-05	0.013	0.23	0.23	0.23	0	0.23	0.011	8	0.15
