SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0
0	0.035	0.97	0	0	1	0.15
1	0.83	0.17	0	4.1e-05	0	0.23
2	0.0048	0.98	0	0.012	1	0.15
3	0.12	0.86	0	0.02	1	0.15
4	0.015	0.98	0	0.0023	1	0.15
5	0.17	0.83	0	0.0012	1	0.15
6	0.95	0.05	0	0	0	0.23
7	0.2	0.79	0	0.019	1	0.15
8	0.0073	0.99	0	0.00014	1	0.15
9	0.11	0.88	0	0.012	1	0.15
10	0.015	0.98	0	0.00084	1	0.15
11	0.029	0.97	0	0.0013	1	0.15
12	0.51	0.49	0	0	0	0.23
13	0.049	0.94	0	0.0088	1	0.15
14	0.84	0.16	0	0	0	0.23
15	0.0018	1	0	0.00094	1	0.15
16	0.12	0.88	0	0	1	0.15
17	0.064	0.86	0	0.081	1	0.15
18	0.42	0.58	0	4e-05	1	0.15
19	0.019	0.98	0	0.0018	1	0.15
20	0.48	0.52	0	1.3e-05	1	0.15
21	0.14	0.86	0	0	1	0.15
22	0.032	0.94	0	0.032	1	0.15
23	0.0015	0.99	0	0.0093	1	0.15
24	0.22	0.78	0	0	1	0.15
25	0.019	0.98	0	0.0001	1	0.15
26	0.37	0.63	0	0.00013	1	0.15
27	0.69	0.31	0	0	0	0.23
28	0.67	0.33	0	0	0	0.23
29	0.5	0.5	0	0	0	0.23
30	0.098	0.9	0	0	1	0.15
31	0.082	0.88	0	0.034	1	0.15
32	0.27	0.73	0	0.001	1	0.15
33	0.33	0.67	0	0	1	0.15
34	0.01	0.98	0	0.008	1	0.15
35	0.11	0.89	0	0	1	0.15
36	0.0048	0.99	0	0.0014	1	0.15
37	0.48	0.52	0	0	1	0.15
38	0.99	0.01	0	0	0	0.23
39	0.35	0.65	0	0	1	0.15
40	0.31	0.69	0	0.00055	1	0.15
41	0.39	0.61	0	5.8e-05	1	0.15
42	0.31	0.69	0	0	1	0.15
43	0.077	0.92	0	0	1	0.15
44	0.025	0.97	0	0.003	1	0.15
45	0.28	0.72	0	3.7e-05	1	0.15
46	0.38	0.62	0	0	1	0.15
47	0.52	0.48	0	5.2e-06	0	0.23
48	0.98	0.015	0	0	0	0.23
49	0.34	0.66	0	0	1	0.15
50	0.3	0.7	0	0	1	0.15
51	0.37	0.63	0	7.7e-05	1	0.15
52	0.39	0.61	0	0	1	0.15
53	0.76	0.24	0	0	0	0.23
54	0.014	0.98	0	0.005	1	0.15
55	0.86	0.14	0	0	0	0.23
56	0.29	0.71	0	0.00073	1	0.15
57	0.16	0.84	0	0	1	0.15
