SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0
0	0	0.007	0	0.14	0	0	0.14	0.14	0	0.14	0.14	0.14	0.14	0	0.007	0.0067	0.0067	0.0067	0	3	0.15
1	2.7e-06	0.17	0.0013	0.025	0	2.2e-05	0.025	0.025	1.9e-05	0.025	0.025	0.025	0.025	0	0.17	0.16	0.16	0.16	0	1	0.23
2	0.00038	0.00097	0	0.14	0	0.0064	0.14	0.14	0.0054	0.14	0.14	0.14	0.14	0	0.00097	0.00094	0.00094	0.00094	0	3	0.15
3	0.00031	0.025	1.3e-05	0.12	0	0.01	0.12	0.12	0.0088	0.12	0.12	0.12	0.12	0	0.025	0.024	0.024	0.024	0	3	0.15
4	0.00012	0.003	0	0.14	0	0.0012	0.14	0.14	0.001	0.14	0.14	0.14	0.14	0	0.003	0.0029	0.0029	0.0029	0	3	0.15
5	5.7e-05	0.034	6.4e-06	0.12	0	0.00066	0.12	0.12	0.00056	0.12	0.12	0.12	0.12	0	0.034	0.033	0.033	0.033	0	3	0.15
6	0	0.19	0.0026	0.0073	0	0	0.0073	0.0073	0	0.0073	0.0073	0.0073	0.0073	0	0.19	0.19	0.19	0.19	0	1	0.23
7	0.00028	0.039	4.9e-05	0.11	0	0.0099	0.11	0.11	0.0084	0.11	0.11	0.11	0.11	0	0.039	0.038	0.038	0.038	0	3	0.15
8	2.3e-05	0.0015	0	0.14	0	7.5e-05	0.14	0.14	6.3e-05	0.14	0.14	0.14	0.14	0	0.0015	0.0014	0.0014	0.0014	0	3	0.15
9	0.00022	0.022	2.3e-05	0.13	0	0.0064	0.13	0.13	0.0055	0.13	0.13	0.13	0.13	0	0.022	0.022	0.022	0.022	0	3	0.15
10	6.1e-05	0.0031	0	0.14	0	0.00044	0.14	0.14	0.00038	0.14	0.14	0.14	0.14	0	0.0031	0.003	0.003	0.003	0	3	0.15
11	7.2e-05	0.0058	0	0.14	0	0.00067	0.14	0.14	0.00057	0.14	0.14	0.14	0.14	0	0.0058	0.0056	0.0056	0.0056	0	3	0.15
12	0	0.1	0	0.07	0	0	0.07	0.07	0	0.07	0.07	0.07	0.07	0	0.1	0.1	0.1	0.1	0	1	0.23
13	0.00021	0.0097	1.9e-06	0.13	0	0.0046	0.13	0.13	0.0039	0.13	0.13	0.13	0.13	0	0.0097	0.0094	0.0094	0.0094	0	3	0.15
14	0	0.17	0.00031	0.023	0	0	0.023	0.023	0	0.023	0.023	0.023	0.023	0	0.17	0.17	0.17	0.17	0	1	0.23
15	8.6e-05	0.00036	0	0.14	0	0.00049	0.14	0.14	0.00042	0.14	0.14	0.14	0.14	0	0.00036	0.00035	0.00035	0.00035	0	3	0.15
16	0	0.025	0.00065	0.13	0	0	0.13	0.13	0	0.13	0.13	0.13	0.13	0	0.025	0.024	0.024	0.024	0	3	0.15
17	0.00073	0.013	1.7e-05	0.12	0	0.043	0.12	0.12	0.036	0.12	0.12	0.12	0.12	0	0.013	0.012	0.012	0.012	0	3	0.15
18	3.4e-06	0.084	0.00022	0.084	0	2.1e-05	0.084	0.084	1.8e-05	0.084	0.084	0.084	0.084	0	0.084	0.081	0.081	0.081	0	3	0.15
19	9.5e-05	0.0038	0	0.14	0	0.00097	0.14	0.14	0.00083	0.14	0.14	0.14	0.14	0	0.0038	0.0037	0.0037	0.0037	0	3	0.15
20	0	0.098	0.0001	0.075	0	6.8e-06	0.075	0.075	5.8e-06	0.075	0.075	0.075	0.075	0	0.098	0.094	0.094	0.094	0	1	0.23
21	0	0.028	0.00078	0.12	0	0	0.12	0.12	0	0.12	0.12	0.12	0.12	0	0.028	0.027	0.027	0.027	0	3	0.15
22	0.00049	0.0064	1.4e-06	0.13	0	0.017	0.13	0.13	0.015	0.13	0.13	0.13	0.13	0	0.0064	0.0061	0.0061	0.0061	0	3	0.15
23	0.00035	0.00031	0	0.14	0	0.0049	0.14	0.14	0.0041	0.14	0.14	0.14	0.14	0	0.00031	0.0003	0.0003	0.0003	0	3	0.15
24	0	0.044	0.00069	0.11	0	0	0.11	0.11	0	0.11	0.11	0.11	0.11	0	0.044	0.043	0.043	0.043	0	3	0.15
25	1.7e-05	0.0038	0	0.14	0	5.4e-05	0.14	0.14	4.6e-05	0.14	0.14	0.14	0.14	0	0.0038	0.0037	0.0037	0.0037	0	3	0.15
26	8.3e-06	0.075	0.00017	0.09	0	6.9e-05	0.09	0.09	5.9e-05	0.09	0.09	0.09	0.09	0	0.075	0.073	0.073	0.073	0	3	0.15
27	0	0.14	0.00013	0.046	0	0	0.046	0.046	0	0.046	0.046	0.046	0.046	0	0.14	0.13	0.13	0.13	0	1	0.23
28	0	0.14	0.00016	0.048	0	0	0.048	0.048	0	0.048	0.048	0.048	0.048	0	0.14	0.13	0.13	0.13	0	1	0.23
29	0	0.1	0.00033	0.071	0	0	0.071	0.071	0	0.071	0.071	0.071	0.071	0	0.1	0.099	0.099	0.099	0	1	0.23
30	0	0.02	0.0007	0.13	0	0	0.13	0.13	0	0.13	0.13	0.13	0.13	0	0.02	0.019	0.019	0.019	0	3	0.15
31	0.00042	0.016	1.8e-05	0.13	0	0.018	0.13	0.13	0.015	0.13	0.13	0.13	0.13	0	0.016	0.016	0.016	0.016	0	3	0.15
32	3.6e-05	0.055	0.00012	0.1	0	0.00055	0.1	0.1	0.00047	0.1	0.1	0.1	0.1	0	0.055	0.053	0.053	0.053	0	3	0.15
33	0	0.067	0.00072	0.096	0	0	0.096	0.096	0	0.096	0.096	0.096	0.096	0	0.067	0.064	0.064	0.064	0	3	0.15
34	0.00025	0.0021	0	0.14	0	0.0042	0.14	0.14	0.0036	0.14	0.14	0.14	0.14	0	0.0021	0.002	0.002	0.002	0	3	0.15
35	0	0.023	0	0.13	0	0	0.13	0.13	0	0.13	0.13	0.13	0.13	0	0.023	0.022	0.022	0.022	0	3	0.15
36	9.7e-05	0.00095	0	0.14	0	0.00074	0.14	0.14	0.00063	0.14	0.14	0.14	0.14	0	0.00095	0.00092	0.00092	0.00092	0	3	0.15
37	0	0.096	0.00036	0.076	0	0	0.076	0.076	0	0.076	0.076	0.076	0.076	0	0.096	0.093	0.093	0.093	0	1	0.23
38	0	0.2	0.0062	0.0015	0	0	0.0015	0.0015	0	0.0015	0.0015	0.0015	0.0015	0	0.2	0.19	0.19	0.19	0	1	0.23
