k	loglikelihood	observations	parameters	BIC
1	-4398.12	5214	4	8830.48
2	-3159.98	5214	6	6371.31
3	-2972.07	5214	8	6012.61
4	-2925.91	5214	10	5937.4
5	-2943.63	5214	12	5989.97
6	-2913.47	5214	14	5946.77
7	-2913.08	5214	16	5963.1
8	-2900.9	5214	18	5955.85
9	-2900.99	5214	20	5973.16
10	-2899.71	5214	22	5987.72
11	-2896.69	5214	24	5998.8
12	-2891.82	5214	26	6006.17
13	-2881.48	5214	28	6002.61
14	-2891.63	5214	30	6040.04
15	-2902.23	5214	32	6078.36
16	-2918.11	5214	34	6127.23
17	-2918.07	5214	36	6144.28
18	-2891.79	5214	38	6108.83
19	-2919.48	5214	40	6181.32
20	-2884.66	5214	42	6128.81
