SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster	dcf0	dcf1
0	0.0051	0	0.0031	0.0064	0.0051	0.0014	0.66	0	0.0031	0	0	0	0.32	6	0.094	0.083
1	0.0013	0	5.2e-05	0.00011	0.0013	0.0016	0.43	0	5.2e-05	0	0	0	0.56	12	0.076	0.067
2	0.00012	4.2e-06	0.24	0.51	0.00012	0.00048	0.00023	0	0.24	0	7.5e-06	0.00028	0	3	0.17	0.15
3	0.0065	0	6.5e-05	0.00013	0.0065	0.0072	0.85	0	6.5e-05	0	0	0	0.13	6	0.094	0.083
4	2.1e-05	0	0	0	2.1e-05	3.5e-06	0.073	0	0	0	0	0	0.93	12	0.076	0.067
5	0	1.2e-05	0.24	0.51	0	0	0	0	0.24	0	0	9.1e-05	0	3	0.17	0.15
6	0.00019	4.4e-06	0.24	0.51	0.00019	0.0027	0.00014	0	0.24	0	1.3e-05	1.3e-06	0	3	0.17	0.15
7	0.0021	0	0.00015	0.00032	0.0021	0.0065	0.52	0	0.00015	0	0	0	0.47	6	0.094	0.083
8	0.00036	8.8e-05	0.24	0.5	0.00036	0.0034	0.0035	0.00033	0.24	0	6.7e-06	0.0098	0.0001	3	0.17	0.15
9	0.0018	0.0022	0.088	0.18	0.0018	0.62	0.011	0	0.088	0	9.6e-06	0	6.8e-05	5	0.17	0.083
10	0	0.04	0.22	0.46	0	0.012	0	0.0072	0.22	0	1.2e-06	0.042	0	3	0.17	0.15
11	9.1e-05	1e-05	0.24	0.51	9.1e-05	0.0013	0.00014	0	0.24	0	7.2e-06	0.00023	0	3	0.17	0.15
12	0.0012	0	0.24	0.5	0.0012	0.00064	0.0093	0	0.24	0	1.3e-05	0.00018	0.00013	3	0.17	0.15
13	0.004	0.00025	0.2	0.42	0.004	0.034	0.12	1.2e-05	0.2	0	1.2e-05	0.00061	0.014	3	0.17	0.15
14	0.005	0.00095	0.15	0.3	0.005	0.09	0.25	3.1e-05	0.15	0	9.3e-06	0.00061	0.06	3	0.17	0.15
15	0.0026	0.00021	0.22	0.47	0.0026	0.027	0.051	6.7e-06	0.22	0	1.2e-05	0.00052	0.0031	3	0.17	0.15
16	0	0.0006	0.18	0.37	0	0.00045	0	0.054	0.18	0	1.1e-06	0.23	0	3	0.17	0.15
17	0.00075	6.5e-05	0.24	0.5	0.00075	0.015	0.004	0	0.24	0	1.2e-05	9e-05	3.1e-05	3	0.17	0.15
18	0.00038	0.00035	0.24	0.49	0.00038	0.0069	0.0048	0.0024	0.24	0	6.1e-06	0.023	0.00023	3	0.17	0.15
19	0.0025	0.0023	0.014	0.029	0.0025	0.84	0.084	0	0.014	0	2.2e-06	0	0.0066	5	0.17	0.083
20	0.003	0	0.0022	0.0046	0.003	0.0014	0.52	0	0.0022	0	0	0	0.46	6	0.094	0.083
21	0.024	1.3e-06	0.083	0.17	0.024	0.02	0.57	0	0.083	0	1.9e-05	0	0.019	6	0.094	0.083
22	1.3e-05	0.00039	0.24	0.51	1.3e-05	0.0041	8.8e-06	1.1e-05	0.24	0	4e-06	0.0012	0	3	0.17	0.15
23	0.0014	0.0033	0.21	0.45	0.0014	0.07	0.039	0.0015	0.21	0	8e-06	0.0077	0.005	3	0.17	0.15
24	6e-05	0	0.24	0.51	6e-05	9.1e-06	4.2e-06	0	0.24	0	1.9e-05	0	0	3	0.17	0.15
25	0.00043	5.7e-05	0.24	0.5	0.00043	0.026	0.0006	0	0.24	0	1.5e-05	1.4e-06	0	3	0.17	0.15
26	0	0.00032	0.24	0.51	0	3.4e-05	0	1.6e-06	0.24	0	0	0.0011	0	3	0.17	0.15
27	0.00023	0.00072	0.23	0.49	0.00023	0.039	0.00046	0	0.23	0	9.8e-06	2.8e-05	0	3	0.17	0.15
28	0	0	0.24	0.51	0	3e-06	0	1.1e-06	0.24	0	0	0.0052	0	3	0.17	0.15
29	0.0015	0	1.8e-06	3.8e-06	0.0015	0.00011	0.59	0	1.8e-06	0	0	0	0.41	6	0.094	0.083
30	0.0016	0	0.00031	0.00064	0.0016	0.00012	0.42	0	0.00031	0	0	0	0.57	12	0.076	0.067
31	0.013	0	0.0027	0.0057	0.013	0.00092	0.87	0	0.0027	0	1.5e-06	0	0.095	6	0.094	0.083
32	1e-05	0	0	0	1e-05	0	0.14	0	0	0	0	0	0.86	12	0.076	0.067
33	0.00056	0.035	0.082	0.17	0.00056	0.62	0.007	5.5e-06	0.082	0	4.2e-06	6.9e-05	0.00021	5	0.17	0.083
34	8.8e-06	0	0.24	0.51	8.8e-06	3.1e-05	1.1e-06	0	0.24	0	6.3e-06	5.5e-06	0	3	0.17	0.15
35	1.9e-06	2.2e-06	0.24	0.51	1.9e-06	4.8e-05	0	0	0.24	0	2.9e-06	0.00093	0	3	0.17	0.15
36	0.0064	2.3e-05	0.021	0.044	0.0064	0.017	0.61	0	0.021	0	2.9e-06	3.1e-06	0.27	6	0.094	0.083
37	0.00077	0.00054	0.23	0.48	0.00077	0.057	0.0042	0	0.23	0	1.2e-05	6.3e-05	3.3e-05	3	0.17	0.15
38	0.0078	2.7e-06	0.019	0.039	0.0078	0.0072	0.67	0	0.019	0	3e-06	0	0.23	6	0.094	0.083
39	0.0011	0	1.9e-05	3.9e-05	0.0011	0.00029	0.41	0	1.9e-05	0	0	0	0.58	12	0.076	0.067
40	1.9e-05	0	0.24	0.51	1.9e-05	0.00025	1.4e-06	0	0.24	0	1.1e-05	0	0	3	0.17	0.15
41	0.00028	1.3e-05	0.24	0.51	0.00028	0.002	0.00079	0	0.24	0	9.6e-06	0.00012	2.6e-06	3	0.17	0.15
42	0.00094	8.2e-05	0.24	0.49	0.00094	0.0053	0.016	0.00022	0.24	0	8.4e-06	0.0067	0.001	3	0.17	0.15
43	0.0011	0.00015	0.24	0.49	0.0011	0.016	0.013	1.1e-05	0.24	0	1e-05	0.001	0.0004	3	0.17	0.15
44	0.0061	0.00052	0.034	0.071	0.0061	0.13	0.51	0	0.034	0	3.8e-06	1.2e-05	0.21	6	0.094	0.083
45	0.037	0	0.016	0.034	0.037	0.019	0.83	0	0.016	0	9.6e-06	0	0.015	6	0.094	0.083
46	4.8e-06	0.0043	0.11	0.24	4.8e-06	0.0045	1.2e-05	0.22	0.11	0	1e-06	0.3	0	11	0.24	0.23
