SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster	dcf0	dcf1
0	0.044	0	0	0	0	0.0079	0.044	0	0	0.00046	0	0	0.019	0.42	0.41	0.044	0.0058	13	0.076	0.083
1	0.011	0	0	0	0	0.00013	0.011	0	0	0.00017	0	0	0.056	0.22	0.69	0.011	9.4e-05	14	0.076	0.067
2	0.00096	6.2e-06	0	0	4.4e-06	0.58	0.00096	6.2e-06	0.00024	0.0011	0	0	2.4e-05	8.4e-06	0	0.00096	0.42	5	0.17	0.15
3	0.083	0	0	0	0	0.00024	0.083	0	0	0.0012	0	0	0.39	0.11	0.24	0.083	0.00018	12	0.13	0.067
4	0.00014	0	0	0	0	0	0.00014	0	0	0	0	0	0.005	0.062	0.93	0.00014	0	14	0.076	0.067
5	0	1.8e-05	0	0	0	0.58	0	1.8e-05	8e-05	2.7e-05	0	0	0	0	0	0	0.42	5	0.17	0.15
6	0.0015	6.5e-06	0	0	7.7e-06	0.57	0.0015	6.5e-06	1.1e-06	0.0048	0	0	8.7e-05	0	0	0.0015	0.42	5	0.17	0.15
7	0.019	0	0	0	0	0.0004	0.019	0	0	0.00065	0	0	0.17	0.16	0.61	0.019	0.00029	14	0.076	0.067
8	0.0029	0.00013	0.00028	0	3.9e-06	0.57	0.0029	0.00013	0.0085	0.0027	0	0	0.00075	0.00037	0.00012	0.0029	0.41	5	0.17	0.15
9	0.02	0.0048	0	0	8.1e-06	0.3	0.02	0.0048	0	0.18	0	0	0.23	0.00011	0.00011	0.02	0.22	5	0.17	0.15
10	2.6e-06	0.055	0.0057	0	0	0.49	2.6e-06	0.055	0.035	0.008	0	0	1.8e-05	0	0	2.6e-06	0.36	5	0.17	0.15
11	0.00073	1.5e-05	0	0	4.2e-06	0.57	0.00073	1.5e-05	0.0002	0.0021	0	0	6.7e-05	2.1e-06	0	0.00073	0.42	5	0.17	0.15
12	0.0093	1.4e-06	0	0	7.2e-06	0.56	0.0093	1.4e-06	0.00015	0.0011	0	0	0.0002	0.0014	0.00015	0.0093	0.41	5	0.17	0.15
13	0.032	0.00036	9.9e-06	0	7e-06	0.47	0.032	0.00036	0.00053	0.013	0	0	0.032	0.02	0.016	0.032	0.35	5	0.17	0.15
14	0.041	0.0014	2.7e-05	0	5.6e-06	0.35	0.041	0.0014	0.00054	0.022	0	0	0.13	0.046	0.071	0.041	0.25	5	0.17	0.15
15	0.02	0.0003	5.6e-06	0	7e-06	0.52	0.02	0.0003	0.00045	0.012	0	0	0.017	0.0056	0.0036	0.02	0.38	5	0.17	0.15
16	7.6e-06	0.00091	0.048	0	0	0.43	7.6e-06	0.00091	0.21	0.00075	0	0	2.3e-06	0	0	7.6e-06	0.31	5	0.17	0.15
17	0.006	9.5e-05	0	0	6.9e-06	0.56	0.006	9.5e-05	7.8e-05	0.0098	0	0	0.0032	0.00011	3.6e-05	0.006	0.41	5	0.17	0.15
18	0.003	0.00052	0.0021	0	3.6e-06	0.56	0.003	0.00052	0.02	0.0042	0	0	0.0017	0.00053	0.00026	0.003	0.41	5	0.17	0.15
19	0.012	0.0021	0	0	0	0.021	0.012	0.0021	0	0.042	0	0	0.87	0.0011	0.0048	0.012	0.015	12	0.13	0.067
20	0.023	0	0	0	0	0.0049	0.023	0	0	0.00035	0	0	0.015	0.41	0.5	0.023	0.0036	14	0.076	0.067
21	0.18	1.9e-06	0	0	1e-05	0.18	0.18	1.9e-06	0	0.0099	0	0	0.041	0.057	0.021	0.18	0.13	0	0.11	0.1
22	0.00011	0.00058	9.2e-06	0	2.4e-06	0.57	0.00011	0.00058	0.0011	0.0046	0	0	5.1e-05	0	0	0.00011	0.42	5	0.17	0.15
23	0.011	0.0049	0.0013	0	4.7e-06	0.51	0.011	0.0049	0.0068	0.019	0	0	0.04	0.0045	0.0059	0.011	0.37	5	0.17	0.15
24	0.00048	0	0	0	1.1e-05	0.58	0.00048	0	0	0.00018	0	0	0	0	0	0.00048	0.42	5	0.17	0.15
25	0.0034	8.5e-05	0	0	8.7e-06	0.56	0.0034	8.5e-05	1.2e-06	0.021	0	0	0.0017	2.9e-06	0	0.0034	0.41	5	0.17	0.15
26	0	0.00048	1.4e-06	0	0	0.58	0	0.00048	0.00094	0.00039	0	0	0	0	0	0	0.42	5	0.17	0.15
27	0.0019	0.0011	0	0	5.8e-06	0.56	0.0019	0.0011	2.5e-05	0.024	0	0	0.002	3.3e-06	0	0.0019	0.41	5	0.17	0.15
28	0	0	0	0	0	0.57	0	0	0.0045	4.4e-05	0	0	0	0	0	0	0.42	5	0.17	0.15
29	0.015	0	0	0	0	5.3e-06	0.015	0	0	1.6e-05	0	0	0.016	0.35	0.59	0.015	3.9e-06	14	0.076	0.067
30	0.009	0	0	0	0	0.0005	0.009	0	0	2.7e-05	0	0	0.002	0.5	0.47	0.009	0.00037	13	0.076	0.083
31	0.14	0	0	0	1.2e-06	0.0085	0.14	0	0	0.00063	0	0	0.011	0.42	0.15	0.14	0.0062	13	0.076	0.083
32	7.5e-05	0	0	0	0	0	7.5e-05	0	0	0	0	0	0.0011	0.07	0.93	7.5e-05	0	14	0.076	0.067
