SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2
0	0.62	0	0	0.0046	0.38	0	1e-06	3.4e-06	0	0	0	0.1	0.43	0.45
1	3.2e-05	0.0034	0	0.022	0.93	0	0.019	0.0049	0	0.019	4	0.31	0.57	0.55
2	0	0.00015	0	0.0046	0.99	0	9.4e-05	0.0022	0	0.0034	4	0.31	0.57	0.55
3	0	0	0	0	0	0	0	0	1	0	8	0	0	0.35
4	1.9e-05	0.00051	0	0.01	0.98	0	5.3e-06	0.0034	0	0.01	4	0.31	0.57	0.55
5	0	0	0	0	0	0	0	0	1	0	8	0	0	0.35
6	0	0.033	0	0.018	0.76	0	0.0066	0.016	0	0.16	4	0.31	0.57	0.55
7	0.023	0.0033	0	0.0022	0.93	0	0.00014	0.0033	0	0.034	4	0.31	0.57	0.55
8	5.5e-05	0.0022	0	0.031	0.93	0	0.017	0.0042	0	0.015	4	0.31	0.57	0.55
9	0.99	0	0	3.4e-06	0.0058	0	0	0	0	1.4e-06	0	0.1	0.43	0.45
10	0	0.096	0	0.0044	0.47	0	0.00016	0.024	0	0.4	4	0.31	0.57	0.55
11	0	3.8e-05	0	0.00019	1	0	3.9e-06	0.00042	0	0.0011	4	0.31	0.57	0.55
12	0.11	0	0.00028	0	0.89	0	0	0	0	0	4	0.31	0.57	0.55
13	3.1e-05	0	1	0	0	0	0	0	0	0	2	0.1	0.048	0
14	0	0.0085	0	0.00088	0.9	0	0.0034	0.0053	0	0.085	4	0.31	0.57	0.55
15	0	0.041	0	0.00053	0.2	0	0	0.037	0	0.73	9	0.44	0.57	0.55
16	0	0.11	0	0.0062	0.49	0	0.028	0.022	0	0.35	4	0.31	0.57	0.55
17	0.064	0.002	0	0.0011	0.91	0	0.001	0.0018	0	0.019	4	0.31	0.57	0.55
18	0	0.0042	0	0.002	0.89	0	0	0.011	0	0.098	4	0.31	0.57	0.55
19	0	0.00038	0	0.00026	0.99	0	0.0034	0.0009	0	0.008	4	0.31	0.57	0.55
20	0	0.097	0	1.8e-05	0.26	0	0	0.0092	0	0.64	9	0.44	0.57	0.55
21	0	0.003	0	5.9e-05	0.94	0	1.7e-05	0.0029	0	0.051	4	0.31	0.57	0.55
22	0	0.0014	0	0.0064	0.96	0	0	0.0072	0	0.028	4	0.31	0.57	0.55
23	0	0.00034	0	0.0022	0.98	0	0	0.0046	0	0.012	4	0.31	0.57	0.55
24	0	0.003	0	0.026	0.92	0	2.2e-05	0.0095	0	0.045	4	0.31	0.57	0.55
25	0	0	0	0	0	0	0	0	1	0	8	0	0	0.35
26	0	0.0074	0	0.13	0.77	0	0.00092	0.015	0	0.072	4	0.31	0.57	0.55
27	0.35	3.5e-05	0	0.0018	0.65	0	0	0.0005	0	0.0016	4	0.31	0.57	0.55
28	0	0.00034	0	0.0034	0.99	0	0.0003	0.0022	0	0.0074	4	0.31	0.57	0.55
29	0	0.02	0	0	0.78	0	0.0042	0.0034	0	0.19	4	0.31	0.57	0.55
30	0	0.16	0	0.00022	0.44	0	1.6e-05	0.0041	0	0.39	4	0.31	0.57	0.55
31	0	0.0065	0	0.00021	0.93	0	0.014	0.0032	0	0.049	4	0.31	0.57	0.55
32	0.37	0	0	0	0.63	0	0	0	0	0	4	0.31	0.57	0.55
33	0	0.094	0	0.0014	0.54	0	0.031	0.019	0	0.32	4	0.31	0.57	0.55
34	0	0.35	0	0.00034	0.016	0	4.7e-05	0.031	0	0.61	9	0.44	0.57	0.55
35	0.065	0	0	0	0.94	0	0	0	0	0	4	0.31	0.57	0.55
36	0	0	0	0	0	0	0	0	1	0	8	0	0	0.35
37	0	0.0004	0	0.0013	0.98	0	1.2e-05	0.002	0	0.012	4	0.31	0.57	0.55
38	0	0	1	0	0	0	0	0	0	0	2	0.1	0.048	0
39	0	0	1	0	0	0	0	0	0	0	2	0.1	0.048	0
40	0.00012	5.3e-05	0	0.0075	0.99	0	0	0.0019	0	0.003	4	0.31	0.57	0.55
41	0.23	0.00064	0	0.0068	0.75	0	0.00032	0.0022	0	0.011	4	0.31	0.57	0.55
42	0	0	1	0	0	0	0	0	0	0	2	0.1	0.048	0
43	0	0.0011	0	0.0032	0.98	0	7e-05	0.0036	0	0.016	4	0.31	0.57	0.55
44	0.0017	0.00026	0	0.00033	0.99	0	0.0017	0.00074	0	0.0041	4	0.31	0.57	0.55
45	0	0.027	0	0.0018	0.53	0	0	0.031	0	0.41	4	0.31	0.57	0.55
