SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2
0	0.0024	0	0	0.0044	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0.54	0	18	0.069	0.57	0.55
1	0.34	0	0	0.63	0.0093	0	9.8e-05	0	0	0.0097	0.0062	0	0.0033	0.0019	0	0	0	8.4e-05	5.5e-05	0	3	0.31	0.57	0.55
2	0.35	0	0	0.65	7.7e-05	0.00018	0	0	0	0.0016	0.0009	0	3.4e-06	1.9e-05	0	0	0	0	0	0	3	0.31	0.57	0.55
3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.45
4	0.35	0	0	0.64	2.8e-06	0	0	0	0	0.005	0.003	0	0	0.00017	0	0	0	0	0	0	3	0.31	0.57	0.55
5	0	0	0	0	0	0	0	0	0.52	0	0	0	0	0	0	0	0.48	0	0	0	8	0	0	0.1
6	0.29	0	0	0.54	0.0021	0	0.0053	0	0	0.085	0.039	0	0.0011	0.041	0	0	0	0.0015	0	0	3	0.31	0.57	0.55
7	0.34	0	0	0.63	5.9e-05	0	0	0	0	0.017	0.0054	0	1.7e-05	0.0027	0	0	0	0	0	0	3	0.31	0.57	0.55
8	0.34	0	0	0.63	0.0091	0	0.00058	0	0	0.0077	0.0049	0	0.0033	0.0011	0	0	0	0.00037	0	0	3	0.31	0.57	0.55
9	0.011	0	0	0.02	0	0	0	0	0	3.5e-06	0	0	0	0	0	0	0	0	0.97	0	18	0.069	0.57	0.55
10	0.19	0	0	0.35	3.1e-05	0	0.0046	0	0	0.22	0.09	0	1.1e-05	0.15	0	0	0	0.00098	0	0	3	0.31	0.57	0.55
11	0.35	0	0	0.65	3.7e-06	0	0	0	0	0.00053	0.00015	0	0	4.2e-06	0	0	0	0	0	0	3	0.31	0.57	0.55
12	0	0	0	0	0	0	0	0	0	0	0	2.3e-05	0	0	1	0	0	0	0	0	14	0	0.19	0
13	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0.99	0	0	0	0	0.0068	14	0	0.19	0
14	0.31	0	0	0.58	0.0012	0	0.036	0	0	0.041	0.0084	0	0.001	0.0056	0	0	0	0.0095	0	0	3	0.31	0.57	0.55
15	0.094	0	0	0.17	0	0	0	0	0	0.48	0.2	0	0	0.052	0	0	0	0	0	0	9	0.44	0.57	0.55
16	0.2	0	0	0.37	0.0055	0	4.5e-05	0	0	0.2	0.076	0	0.0057	0.15	0	0	0	8.3e-05	0	0	3	0.31	0.57	0.55
17	0.34	0	0	0.64	0.00054	0	0	0	0	0.0097	0.0025	0	0.00016	0.0014	0	0	0	0	0.0053	0	3	0.31	0.57	0.55
18	0.33	0	0	0.6	0	0	0	0	0	0.05	0.017	0	0	0.0021	0	0	0	3.3e-06	0	0	3	0.31	0.57	0.55
19	0.29	0	0	0.54	0.00051	0	0.12	0	0	0.0033	0.00055	0	0.0012	0.0001	0	0	0	0.033	0	0	3	0.31	0.57	0.55
20	0.12	0	0	0.22	0	0	0	0	0	0.41	0.054	0	0	0.19	0	0	0	0	0	0	9	0.44	0.57	0.55
21	0.34	0	0	0.63	5.1e-06	0	0	0	0	0.026	0.0034	0	0	0.0011	0	0	0	0	0	0	3	0.31	0.57	0.55
22	0.34	0	0	0.63	0	0	0	0	0	0.014	0.008	0	0	0.00048	0	0	0	0	0	0	3	0.31	0.57	0.55
23	0.35	0	0	0.64	0	0	0	0	0	0.006	0.0027	0	0	4.5e-05	0	0	0	0	0	0	3	0.31	0.57	0.55
24	0.34	0	0	0.63	9.9e-06	0	0	0	0	0.023	0.012	0	0	0.0016	0	0	0	0	0	0	3	0.31	0.57	0.55
25	0	0.87	0	0	0	0	0	0.00092	0.068	0	0	0	0	0	0	0	0.062	0	0	0	1	0	0	0.45
26	0.32	0	0	0.6	0.00041	0	0.00076	0	0	0.041	0.03	0	0.00016	0.0067	0	0	0	0.0011	0	0	3	0.31	0.57	0.55
27	0.34	0	0	0.63	0	0	0	0	0	0.0011	0.00046	0	0	1.4e-05	0	0	0	0	0.034	0	3	0.31	0.57	0.55
28	0.35	0	0	0.65	0.00017	0	0	0	0	0.0036	0.0013	0	2.2e-05	6.2e-05	0	0	0	0	0	0	3	0.31	0.57	0.55
29	0.31	0	0	0.58	0.00051	0	0	0	0	0.1	0.0044	0	0.00026	0.004	0	0	0	0	0	0	3	0.31	0.57	0.55
30	0.14	0	0	0.26	1e-05	0	0	0	0	0.17	0.033	0	0	0.4	0	0	0	0	0	0	13	0.52	0.62	0.55
31	0.34	0	0	0.62	0.0049	0	0	0	0	0.025	0.0042	0	0.0021	0.0031	0	0	0	0	0	0	3	0.31	0.57	0.55
32	0.21	0	0	0.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	18	0.069	0.57	0.55
33	0.23	0	0	0.43	0.005	0	0	0	0	0.19	0.059	0	0.0048	0.089	0	0	0	0	0	0	3	0.31	0.57	0.55
34	0.006	0	0	0.011	0	0	0	0	0	0.32	0.23	0	0	0.43	0	0	0	0	0	0	13	0.52	0.62	0.55
35	0.35	0	0	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0053	0	3	0.31	0.57	0.55
36	0	1	0	0	0	0	0	0.0013	9.5e-06	0	0	0	0	0	0	0	8.6e-06	0	0	0	1	0	0	0.45
37	0.35	0	0	0.64	6.6e-06	0	0	0	0	0.0059	0.0016	0	0	0.00011	0	0	0	0	0	0	3	0.31	0.57	0.55
38	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.14	0	0
39	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.14	0	0
40	0.35	0	0	0.65	0	8.5e-05	0	0	0	0.0015	0.00082	0	0	7.8e-06	0	0	0	0	5.6e-06	0	3	0.31	0.57	0.55
