k	loglikelihood	observations	parameters	BIC
1	-12161.8	11679	6	24379.8
2	-6923.56	11679	9	13931.4
3	-6039.19	11679	12	12190.8
4	-5560.09	11679	15	11260.7
5	-5576.25	11679	18	11321.1
6	-5424.84	11679	21	11046.4
7	-5267.61	11679	24	10760
8	-5176.72	11679	27	10606.3
9	-5194.88	11679	30	10670.7
10	-5299.86	11679	33	10908.8
11	-5245.19	11679	36	10827.5
12	-4964.72	11679	39	10294.7
13	-4961.14	11679	42	10315.6
14	-4896.59	11679	45	10214.6
15	-4903.95	11679	48	10257.5
16	-4840.19	11679	51	10158
17	-4911.16	11679	54	10328.1
18	-4903.92	11679	57	10341.7
19	-4838.5	11679	60	10238.9
20	-4849.41	11679	63	10288.9
