SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0	dcf1	dcf2
0	0.99	0	0	0.013	0	0	0	0	0.31	0.57	0.55
1	0.91	0	0	0.081	0	0	0.0082	0	0.31	0.57	0.55
2	0.98	0	0	0.021	0	0	0.00035	0	0.31	0.57	0.55
3	0	0	1	0	0	0	0	2	0	0	0.35
4	1	0	0	0.0008	0	0	0.0028	0	0.31	0.57	0.55
5	0	0	1	0	0	0	0	2	0	0	0.35
6	0.86	0	0	0.025	0	0	0.12	0	0.31	0.57	0.55
7	0.99	0	0	0.0021	0	0	0.011	0	0.31	0.57	0.55
8	0.93	0	0	0.066	0	0	0.0062	0	0.31	0.57	0.55
9	1	0	0	0.00018	0	0	1e-05	0	0.31	0.57	0.55
10	0.61	0	0	0.0037	0	0	0.39	0	0.31	0.57	0.55
11	1	0	0	0.003	0	0	5.2e-05	0	0.31	0.57	0.55
12	0	0	0	0	0.96	0.037	0	4	0.31	0.57	0
13	0	0	0	0	0	1	0	5	0.034	0.24	0
14	0.98	0	0	0.0071	0	0	0.017	0	0.31	0.57	0.55
15	0.29	0	0	0	0	0	0.71	6	0.48	0.57	0.6
16	0.65	0	0	0.051	0	0	0.3	0	0.31	0.57	0.55
17	0.99	0	0	0.0092	0	0	0.0041	0	0.31	0.57	0.55
18	0.97	0	0	6.6e-05	0	0	0.026	0	0.31	0.57	0.55
19	1	0	0	0.0041	0	0	0.00056	0	0.31	0.57	0.55
20	0.59	0	0	0.00017	0	0	0.41	0	0.31	0.57	0.55
21	0.99	0	0	0.0013	0	0	0.0039	0	0.31	0.57	0.55
22	0.99	0	0	0.00011	0	0	0.0087	0	0.31	0.57	0.55
23	1	0	0	0.00065	0	0	0.0013	0	0.31	0.57	0.55
24	0.98	0	0	0.0017	0	0	0.018	0	0.31	0.57	0.55
25	0	0	1	0	0	0	0	2	0	0	0.35
26	0.93	0	0	0.0075	0	0	0.061	0	0.31	0.57	0.55
27	1	0	0	5.6e-05	0	0	0.00034	0	0.31	0.57	0.55
28	0.99	0	0	0.012	0	0	0.00076	0	0.31	0.57	0.55
29	0.95	0	0	0.05	0	0	0.0037	0	0.31	0.57	0.55
30	0.58	0	0	0.0015	0	0	0.42	0	0.31	0.57	0.55
31	0.94	0	0	0.058	0	0	0.0056	0	0.31	0.57	0.55
32	1	0	0	0	0	0	0	0	0.31	0.57	0.55
33	0.75	0	0	0.082	0	0	0.17	0	0.31	0.57	0.55
34	0.015	0	0	0.00029	0	0	0.98	6	0.48	0.57	0.6
35	1	0	0	0	0	0	0	0	0.31	0.57	0.55
36	0	0	1	0	0	0	0	2	0	0	0.35
37	1	0	0	0.00094	0	0	0.0012	0	0.31	0.57	0.55
38	0	1	0	0	0	0	0	1	0.14	0	0
39	0	1	0	0	0	0	0	1	0.14	0	0
40	1	0	0	0.00019	0	0	0.00036	0	0.31	0.57	0.55
41	0.99	0	0	0.0074	0	0	0.0029	0	0.31	0.57	0.55
42	0	1	0	0	0	0	0	1	0.14	0	0
43	0.99	0	0	0.0088	0	0	0.0025	0	0.31	0.57	0.55
44	0.95	0	0	0.054	0	0	0.00021	0	0.31	0.57	0.55
45	0.77	0	0	6.8e-05	0	0	0.23	0	0.31	0.57	0.55
46	0	1	0	0	0	0	0	1	0.14	0	0
47	1	0	0	0.00058	0	0	0	0	0.31	0.57	0.55
48	0.85	0	0	0.07	0	0	0.078	0	0.31	0.57	0.55
49	1	0	0	0.001	0	0	2.2e-05	0	0.31	0.57	0.55
50	1	0	0	1.1e-06	0	0	2.3e-06	0	0.31	0.57	0.55
51	0.98	0	0	0.011	0	0	0.0045	0	0.31	0.57	0.55
52	1	0	0	0.0039	0	0	0.00068	0	0.31	0.57	0.55
53	0.61	0	0	0.38	0	0	0.011	0	0.31	0.57	0.55
54	0.9	0	0	0.093	0	0	0.004	0	0.31	0.57	0.55
55	1	0	0	2.7e-06	0	0	4.7e-06	0	0.31	0.57	0.55
56	1	0	0	0.00038	0	0	0.0018	0	0.31	0.57	0.55
57	1	0	0	0	0	0	0.0002	0	0.31	0.57	0.55
58	0	1	0	0	0	0	0	1	0.14	0	0
59	0.39	0	0	0.57	0	0	0.038	3	0.31	0.81	0.55
60	0.9	0	0	0.051	0	0	0.044	0	0.31	0.57	0.55
61	0.99	0	0	0.008	0	0	0.0016	0	0.31	0.57	0.55
62	1	0	0	0.00033	0	0	0.0022	0	0.31	0.57	0.55
63	0.94	0	0	0.03	0	0	0.032	0	0.31	0.57	0.55
64	1	0	0	5e-05	0	0	0.00068	0	0.31	0.57	0.55
65	0.96	0	0	0.024	0	0	0.011	0	0.31	0.57	0.55
66	1	0	0	3.8e-05	0	0	0.00027	0	0.31	0.57	0.55
67	1	0	0	0.00097	0	0	0.00027	0	0.31	0.57	0.55
68	0.97	0	0	0.02	0	0	0.0058	0	0.31	0.57	0.55
69	1	0	0	0.00032	0	0	2.5e-06	0	0.31	0.57	0.55
70	0	0	1	0	0	0	0	2	0	0	0.35
71	0.8	0	0	0.2	0	0	0.0001	0	0.31	0.57	0.55
72	0.99	0	0	0.0012	0	0	0.0057	0	0.31	0.57	0.55
73	0.7	0	0	0.0028	0	0	0.29	0	0.31	0.57	0.55
74	0	1	0	0	0	0	0	1	0.14	0	0
75	0.95	0	0	3.3e-06	0	0	0.045	0	0.31	0.57	0.55
76	1	0	0	2.6e-05	0	0	7.8e-06	0	0.31	0.57	0.55
77	1	0	0	0	0	0	0	0	0.31	0.57	0.55
78	1	0	0	0	0	0	0	0	0.31	0.57	0.55
79	0.7	0	0	0.0047	0	0	0.29	0	0.31	0.57	0.55
80	1	0	0	0	0	0	0	0	0.31	0.57	0.55
81	0.019	0	0	0	0	0	0.98	6	0.48	0.57	0.6
82	3.7e-05	0	0	0.00011	0	0	1	6	0.48	0.57	0.6
83	0.6	0	0	0.0024	0	0	0.4	0	0.31	0.57	0.55
84	0.96	0	0	0.038	0	0	0.00028	0	0.31	0.57	0.55
85	0	1	0	0	3.2e-05	0	0	1	0.14	0	0
86	0.85	0	0	0.14	0	0	0.0053	0	0.31	0.57	0.55
87	0.99	0	0	0.01	0	0	0.0035	0	0.31	0.57	0.55
88	0.99	0	0	0.0057	0	0	0.0041	0	0.31	0.57	0.55
89	1	0	0	0.0015	0	0	1.5e-06	0	0.31	0.57	0.55
90	0.99	0	0	7.5e-06	0.013	0	0	0	0.31	0.57	0.55
91	0.99	0	0	0.00019	0.013	0	0.0008	0	0.31	0.57	0.55
92	0.98	0	0	0.0042	0.013	0	0.00016	0	0.31	0.57	0.55
93	0.99	0	0	0.0002	0	0	0.0076	0	0.31	0.57	0.55
94	0.99	0	0	7.1e-05	0	0	0.011	0	0.31	0.57	0.55
95	0.77	0	0	0.0045	0	0	0.23	0	0.31	0.57	0.55
96	1	0	0	0	0	0	0	0	0.31	0.57	0.55
97	0.7	0	0	0.29	0	0	0.0016	0	0.31	0.57	0.55
98	0.75	0	0	0.24	0	0	0.0044	0	0.31	0.57	0.55
99	0.99	0	0	0.0077	0	0	1.6e-05	0	0.31	0.57	0.55
100	0.97	0	0	0.0094	0	0	0.022	0	0.31	0.57	0.55
101	1	0	0	0	0	0	0	0	0.31	0.57	0.55
102	0.98	0	0	0.00049	0	0	0.015	0	0.31	0.57	0.55
103	0.95	0	0	1.8e-05	0	0	0.052	0	0.31	0.57	0.55
104	0	1	0	0	0	0	0.0034	1	0.14	0	0
105	0	1	0	0	0	0	0.00026	1	0.14	0	0
106	1	0	0	0	0	0	0.00028	0	0.31	0.57	0.55
