SNV	cluster0	cluster	dcf0	dcf1	dcf2
0	1	0	0.31	0.57	0.55
1	1	0	0.31	0.57	0.55
2	1	0	0.31	0.57	0.55
3	1	0	0.31	0.57	0.55
4	1	0	0.31	0.57	0.55
5	1	0	0.31	0.57	0.55
6	1	0	0.31	0.57	0.55
7	1	0	0.31	0.57	0.55
8	1	0	0.31	0.57	0.55
9	1	0	0.31	0.57	0.55
10	1	0	0.31	0.57	0.55
11	1	0	0.31	0.57	0.55
12	1	0	0.31	0.57	0.55
13	1	0	0.31	0.57	0.55
14	1	0	0.31	0.57	0.55
15	1	0	0.31	0.57	0.55
16	1	0	0.31	0.57	0.55
17	1	0	0.31	0.57	0.55
18	1	0	0.31	0.57	0.55
19	1	0	0.31	0.57	0.55
20	1	0	0.31	0.57	0.55
21	1	0	0.31	0.57	0.55
22	1	0	0.31	0.57	0.55
23	1	0	0.31	0.57	0.55
24	1	0	0.31	0.57	0.55
25	1	0	0.31	0.57	0.55
26	1	0	0.31	0.57	0.55
27	1	0	0.31	0.57	0.55
28	1	0	0.31	0.57	0.55
29	1	0	0.31	0.57	0.55
30	1	0	0.31	0.57	0.55
31	1	0	0.31	0.57	0.55
32	1	0	0.31	0.57	0.55
33	1	0	0.31	0.57	0.55
34	1	0	0.31	0.57	0.55
35	1	0	0.31	0.57	0.55
36	1	0	0.31	0.57	0.55
37	1	0	0.31	0.57	0.55
38	1	0	0.31	0.57	0.55
39	1	0	0.31	0.57	0.55
40	1	0	0.31	0.57	0.55
41	1	0	0.31	0.57	0.55
42	1	0	0.31	0.57	0.55
43	1	0	0.31	0.57	0.55
44	1	0	0.31	0.57	0.55
45	1	0	0.31	0.57	0.55
46	1	0	0.31	0.57	0.55
47	1	0	0.31	0.57	0.55
48	1	0	0.31	0.57	0.55
49	1	0	0.31	0.57	0.55
50	1	0	0.31	0.57	0.55
51	1	0	0.31	0.57	0.55
52	1	0	0.31	0.57	0.55
53	1	0	0.31	0.57	0.55
54	1	0	0.31	0.57	0.55
55	1	0	0.31	0.57	0.55
