SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster	dcf0	dcf1	dcf2
0	0	0	0	0	0	0	0	1	0	0	0	0	7	0.093	0.19	0.05
1	0	0	0	0	0	0	1	0	0	0	0	0.0039	6	0.42	0.048	0
2	0	0	0.0057	0.034	0	0.96	0	0	0	0.00095	0	0	5	0.58	0.43	0.45
3	0	0.00064	0.0091	0.0012	0.99	6.9e-06	0	0	0	1.4e-05	0	0	4	0.58	0.52	0.82
4	0	2.3e-06	0.93	0.017	5.8e-06	0.055	0	0	0	1.2e-05	0	0	2	0.63	0.57	0.47
5	0	0.17	0	0.003	2.6e-06	0.83	0	0	0	9.4e-06	0	0	5	0.58	0.43	0.45
6	0	0	0	0	0	0	0	1	0	0	0	0	7	0.093	0.19	0.05
7	0	0	0.0096	0.0055	0	0.98	0	0	0	0	0	0	5	0.58	0.43	0.45
8	0	0	0	0	0	0	0	0	1	0	0	0	8	0.047	0.048	0.4
9	0	0.0021	0.00025	0.004	0	0.99	0	0	0	0.0023	0	0	5	0.58	0.43	0.45
10	0	0	0	0	0	0	0	1	0	0	0	5.5e-06	7	0.093	0.19	0.05
11	0	0	0.064	0.033	0	0.9	0	0	0	0.00013	0	0	5	0.58	0.43	0.45
12	0	0	0	0	0	0	1	0	0	0	0	0	6	0.42	0.048	0
13	0	0	0	0	0	0	0	0	1	0	0	0	8	0.047	0.048	0.4
14	0	0	0	0.0005	0	1	0	0	0	0	0	0	5	0.58	0.43	0.45
15	0	0	0	0	0	0	1	0	0	0	0	0	6	0.42	0.048	0
16	0	0	1.8e-06	0.45	0	0.55	0	0	0	0.00096	0	0	5	0.58	0.43	0.45
17	0	0	0	0	1	0	0	0	0	0	0	0	4	0.58	0.52	0.82
18	0	0	0	0	0	0	0	1	0	0	0	0.00026	7	0.093	0.19	0.05
19	0	0	0	0	1	0	0	0	0	0	0	0	4	0.58	0.52	0.82
20	0	0	1.3e-05	0.73	0	0.27	0	0	0	0	0	0	3	0.63	0.45	0.49
21	0	9.2e-06	0.002	0.053	0.026	0.92	0	0	0	0	0	0	5	0.58	0.43	0.45
22	0	0	0	0	1	0	0	0	0	0	0	0	4	0.58	0.52	0.82
23	0	0	0.011	0	0.99	0	0	0	0	0	0	0	4	0.58	0.52	0.82
24	0	0.27	2.7e-05	5.9e-05	0	0.0001	0	0	0	0.73	0	0	9	0.86	0.43	0.45
25	0	0	0	0	0	0	0	0	1	0	0	0	8	0.047	0.048	0.4
26	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0.57	0.48
27	0	0.94	0	0	0	0	0	0	0	0.055	0	0	1	1	0.57	0.48
28	0	0	0	0	1	0	0	0	0	0	0	0	4	0.58	0.52	0.82
29	0	0	0	0	0	0	0	0	1	0	0	0	8	0.047	0.048	0.4
30	0	0	0	0	0	0	0	1	0	0	0	0	7	0.093	0.19	0.05
31	0	2.4e-05	0.93	0.0082	0.056	0.0039	0	0	0	1.8e-06	0	0	2	0.63	0.57	0.47
32	0	0	0	0	1	0	0	0	0	0	0	0	4	0.58	0.52	0.82
33	0	0	0	0	1	0	0	0	0	0	0	0	4	0.58	0.52	0.82
34	0	0	0	0	0	0	0	1	0	0	0	0	7	0.093	0.19	0.05
35	0	4.4e-06	0	1.2e-06	0	0	0	0	0	1	0	0	9	0.86	0.43	0.45
36	0	0	0	0	0	0	1	0	0	0	0	0	6	0.42	0.048	0
37	0	0	0	0	0	0	0	1	0	0	0	4.4e-05	7	0.093	0.19	0.05
38	0	0.0085	0	0	0	0	0	0	0	0.99	0	0	9	0.86	0.43	0.45
39	4.8e-05	0	0	2.1e-06	1	3e-06	0	0	0	0	0	0	4	0.58	0.52	0.82
40	0	0	0.002	0.044	0.0027	0.95	0	0	0	4.9e-06	0	0	5	0.58	0.43	0.45
41	0	0	0	0	0	0	0	0	0	0	1	0	10	0.093	0	0
42	0	1	0	0	0	0	0	0	0	0.00047	0	0	1	1	0.57	0.48
43	0	0.85	0.0011	0.00017	0	0.00061	0	0	0	0.15	0	0	1	1	0.57	0.48
44	0	0	0	0	0	0	1	0	0	0	0	0	6	0.42	0.048	0
45	0	0	0.088	0.055	0	0.86	0	0	0	0.00013	0	0	5	0.58	0.43	0.45
46	0	0.061	0.00034	0.00033	0	0.0024	0	0	0	0.94	0	0	9	0.86	0.43	0.45
47	0	0	0	0	1	0	0	0	0	0	0	0	4	0.58	0.52	0.82
48	0	0.97	0	0	0	0	0	0	0	0.026	0	0	1	1	0.57	0.48
49	0	0	0	0	0	0	0	1	0	0	0	0	7	0.093	0.19	0.05
50	0	0	0	0	1	0	0	0	0	0	0	0	4	0.58	0.52	0.82
51	0	0	2.7e-05	1.5e-05	1	0.0015	0	0	0	0	0	0	4	0.58	0.52	0.82
52	0.013	0	0	6.2e-05	0	0.99	0	0	0	0	0	0	5	0.58	0.43	0.45
53	0	0.41	0	0	0	0	0	0	0	0.59	0	0	9	0.86	0.43	0.45
54	0	0.96	0	0	0	0	0	0	0	0.038	0	0	1	1	0.57	0.48
55	0	1	0	0	0	0	0	0	0	0.0024	0	0	1	1	0.57	0.48
56	0	0	0	8e-05	1	1.7e-06	0	0	0	0	0	0	4	0.58	0.52	0.82
57	0	0	0	0	0	0	0	0	0	1	0	0	9	0.86	0.43	0.45
58	0	1.1e-06	0	0	0	0	0	0	0	1	0	0	9	0.86	0.43	0.45
59	0	0	0	0	0	0	0	0	0	0	1	0	10	0.093	0	0
60	0	0.28	2.8e-05	5.6e-05	0	5e-05	0	0	0	0.72	0	0	9	0.86	0.43	0.45
61	0	0	6.2e-05	0.2	9.8e-06	0.8	0	0	0	1.3e-05	0	0	5	0.58	0.43	0.45
62	0	0	0	0	0	0	0	1	0	0	0	0	7	0.093	0.19	0.05
63	0	0.26	0.00065	0.0022	0	0.0027	0	0	0	0.73	0	0	9	0.86	0.43	0.45
64	0	0	0	0	1	0	0	0	0	0	0	0	4	0.58	0.52	0.82
65	0	1	0	0	0	0	0	0	0	2.4e-05	0	0	1	1	0.57	0.48
66	0	0	0	0	0	0	0	0	0	0	1	0	10	0.093	0	0
67	1	0	0	0	0	0	0	0	0	0	0	0	0	0.42	0.19	0.45
68	0	0.00011	0.64	0.14	0.0015	0.21	0	0	0	0.00065	0	0	2	0.63	0.57	0.47
69	0	0	0	0	0	0	0	0.12	0	0	0	0.88	11	0.37	0.14	0.1
70	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0.57	0.48
71	0	0	0.0037	0.027	0	0.97	0	0	0	1.7e-05	0	0	5	0.58	0.43	0.45
72	0	0	0.00069	0.052	0	0.95	0	0	0	0	0	0	5	0.58	0.43	0.45
73	0	0	0	0	0	0	0	1	0	0	0	0	7	0.093	0.19	0.05
74	1	0	0	0	0	0	0	0	0	0	0	0	0	0.42	0.19	0.45
75	0	0	0.0067	0.25	0	0.74	0	0	0	0.0004	0	0	5	0.58	0.43	0.45
76	0	0	0.00024	0.031	0	0.97	0	0	0	0	0	0	5	0.58	0.43	0.45
77	0	0	6.3e-05	0.35	0	0.64	0	0	0	0.0021	0	0	5	0.58	0.43	0.45
78	0	0.0088	0.0045	0.02	0	0.091	0	0	0	0.88	0	0	9	0.86	0.43	0.45
79	0	0	0	0.0018	0	1	0	0	0	0	0	0	5	0.58	0.43	0.45
80	0	1.3e-06	0.096	0.062	0	0.84	0	0	0	0.00071	0	0	5	0.58	0.43	0.45
81	0	5.7e-06	0.056	0.029	0.88	0.033	0	0	0	4.3e-05	0	0	4	0.58	0.52	0.82
82	0	0	0.025	0.49	0	0.48	0	0	0	0.0019	0	0	3	0.63	0.45	0.49
83	0	0	0	0	0	1	0	0	0	0	0	0	5	0.58	0.43	0.45
84	1	0	0	0	0	0.0022	0	0	0	0	0	0	0	0.42	0.19	0.45
85	0	0	0.37	0.079	0	0.55	0	0	0	1.8e-05	0	0	5	0.58	0.43	0.45
86	0	0	0	0	0	0	0	1	0	0	0	0	7	0.093	0.19	0.05
87	0	0	0.26	0.17	0.015	0.56	0	0	0	1.3e-05	0	0	5	0.58	0.43	0.45
88	0	0	0	0.00087	0	1	0	0	0	0	0	0	5	0.58	0.43	0.45
89	0	0	0	0	0	0	0	1	0	0	0	0	7	0.093	0.19	0.05
90	0	0	4.8e-05	0.0057	0	0.99	0	0	0	0	0	0	5	0.58	0.43	0.45
91	0	0	0	0	0	0	0	0.99	0	0	0	0.0075	7	0.093	0.19	0.05
92	0	0	6.7e-05	0.0063	0	0.99	0	0	0	0	0	0	5	0.58	0.43	0.45
93	0	9.8e-05	0.83	0.012	1e-06	0.16	0	0	0	0.00025	0	0	2	0.63	0.57	0.47
94	0	0	0.0061	0.21	0	0.79	0	0	0	1.4e-06	0	0	5	0.58	0.43	0.45
95	0	0	0	0	0	0	0	0	0	1	0	0	9	0.86	0.43	0.45
96	0	0.96	0.00073	0.00047	0	0.0087	0	0	0	0.031	0	0	1	1	0.57	0.48
97	0	1	0	0	0	1.2e-06	0	0	0	0	0	0	1	1	0.57	0.48
98	1.5e-05	6.7e-05	0.058	0.05	0.00016	0.89	0	0	0	0.0014	0	0	5	0.58	0.43	0.45
99	0	1.5e-05	0.024	0.19	0.0042	0.78	0	0	0	0.0025	0	0	5	0.58	0.43	0.45
100	0	0	0.39	0.11	0	0.5	0	0	0	0	0	0	5	0.58	0.43	0.45
101	1	0	0	4.2e-05	0	0.0044	0	0	0	0	0	0	0	0.42	0.19	0.45
102	0	0	0	0	0	0	0	1	1.1e-06	0	0	0	7	0.093	0.19	0.05
103	0	0	0	0	0	0	0	0	1	0	0	0	8	0.047	0.048	0.4
104	0	0	0	0	0	0	0	0	1	0	0	0	8	0.047	0.048	0.4
105	0	1	0	0	0	0	0	0	0	7.9e-06	0	0	1	1	0.57	0.48
106	0	0	0.016	0.003	0	0.98	0	0	0	0	0	0	5	0.58	0.43	0.45
107	0	0	6.8e-05	0.022	0	0	0	0.98	0	0	0	0	7	0.093	0.19	0.05
108	0	0	0	0.066	0	0.93	0	0	0	0	0	0	5	0.58	0.43	0.45
109	0	0	0.0064	0.096	0.64	0.26	0	0	0	3.4e-05	0	0	4	0.58	0.52	0.82
110	0	0	0	0	1	1.1e-05	0	0	0	0	0	0	4	0.58	0.52	0.82
111	0	0	0	0	0	1	0	0	0	0	0	0	5	0.58	0.43	0.45
112	0	0	0.01	0.042	0.037	0.91	0	0	0	5.9e-05	0	0	5	0.58	0.43	0.45
113	0	0	0	0	0	0	0	1	0	0	0	0	7	0.093	0.19	0.05
114	0	0	0	6.4e-06	0	1	0	0	0	0	0	0	5	0.58	0.43	0.45
115	0	0	0	0	0	0	0	0	1	0	0	0	8	0.047	0.048	0.4
116	0	0	2.1e-06	0.0027	0.95	0.045	0	0	0	6.8e-06	0	0	4	0.58	0.52	0.82
117	0	0	0	0	0	0	0	1	0	0	0	0	7	0.093	0.19	0.05
118	0	0	1	1.1e-06	0	0	0	0	0	0	0	0	2	0.63	0.57	0.47
119	0	0	0	0	0	0	0	1	0	0	0	0	7	0.093	0.19	0.05
