k	loglikelihood	observations	parameters	BIC
1	-71538.3	24834	6	143137
2	-32921.4	24834	9	65933.9
3	-26472.8	24834	12	53067
4	-23978.8	24834	15	48109.5
5	-22668.2	24834	18	45518.6
6	-21686.1	24834	21	43584.8
7	-20984.7	24834	24	42212.3
8	-20844.1	24834	27	41961.4
9	-19454.8	24834	30	39213.1
10	-19124.4	24834	33	38582.8
11	-19216.8	24834	36	38797.9
12	-18545.7	24834	39	37486
13	-18562.8	24834	42	37550.7
14	-18348.4	24834	45	37152.1
15	-18541.9	24834	48	37569.6
16	-17833.1	24834	51	36182.2
17	-17480	24834	54	35506.5
18	-17469.1	24834	57	35515.1
19	-17264.1	24834	60	35135.3
20	-17156.8	24834	63	34951.2
