SNV	cluster0	cluster	dcf0	dcf1	dcf2
0	1	0	0.58	0.43	0.45
1	1	0	0.58	0.43	0.45
2	1	0	0.58	0.43	0.45
3	1	0	0.58	0.43	0.45
4	1	0	0.58	0.43	0.45
5	1	0	0.58	0.43	0.45
6	1	0	0.58	0.43	0.45
7	1	0	0.58	0.43	0.45
8	1	0	0.58	0.43	0.45
9	1	0	0.58	0.43	0.45
10	1	0	0.58	0.43	0.45
11	1	0	0.58	0.43	0.45
12	1	0	0.58	0.43	0.45
13	1	0	0.58	0.43	0.45
14	1	0	0.58	0.43	0.45
15	1	0	0.58	0.43	0.45
16	1	0	0.58	0.43	0.45
17	1	0	0.58	0.43	0.45
18	1	0	0.58	0.43	0.45
19	1	0	0.58	0.43	0.45
20	1	0	0.58	0.43	0.45
21	1	0	0.58	0.43	0.45
22	1	0	0.58	0.43	0.45
23	1	0	0.58	0.43	0.45
24	1	0	0.58	0.43	0.45
25	1	0	0.58	0.43	0.45
26	1	0	0.58	0.43	0.45
27	1	0	0.58	0.43	0.45
28	1	0	0.58	0.43	0.45
29	1	0	0.58	0.43	0.45
30	1	0	0.58	0.43	0.45
31	1	0	0.58	0.43	0.45
32	1	0	0.58	0.43	0.45
33	1	0	0.58	0.43	0.45
34	1	0	0.58	0.43	0.45
35	1	0	0.58	0.43	0.45
36	1	0	0.58	0.43	0.45
37	1	0	0.58	0.43	0.45
38	1	0	0.58	0.43	0.45
39	1	0	0.58	0.43	0.45
40	1	0	0.58	0.43	0.45
41	1	0	0.58	0.43	0.45
42	1	0	0.58	0.43	0.45
43	1	0	0.58	0.43	0.45
44	1	0	0.58	0.43	0.45
45	1	0	0.58	0.43	0.45
46	1	0	0.58	0.43	0.45
47	1	0	0.58	0.43	0.45
48	1	0	0.58	0.43	0.45
49	1	0	0.58	0.43	0.45
50	1	0	0.58	0.43	0.45
51	1	0	0.58	0.43	0.45
52	1	0	0.58	0.43	0.45
53	1	0	0.58	0.43	0.45
54	1	0	0.58	0.43	0.45
55	1	0	0.58	0.43	0.45
56	1	0	0.58	0.43	0.45
57	1	0	0.58	0.43	0.45
58	1	0	0.58	0.43	0.45
59	1	0	0.58	0.43	0.45
60	1	0	0.58	0.43	0.45
61	1	0	0.58	0.43	0.45
62	1	0	0.58	0.43	0.45
63	1	0	0.58	0.43	0.45
64	1	0	0.58	0.43	0.45
65	1	0	0.58	0.43	0.45
66	1	0	0.58	0.43	0.45
67	1	0	0.58	0.43	0.45
68	1	0	0.58	0.43	0.45
69	1	0	0.58	0.43	0.45
70	1	0	0.58	0.43	0.45
71	1	0	0.58	0.43	0.45
72	1	0	0.58	0.43	0.45
73	1	0	0.58	0.43	0.45
74	1	0	0.58	0.43	0.45
75	1	0	0.58	0.43	0.45
