SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1
0	0.15	0.00037	0.001	0	0.15	9.3e-06	0.0051	0	0	0.015	0.0036	0.15	0.15	0.15	8e-05	0	0.015	8e-05	0.083	0.15	0	0.58	0.54
1	0.15	1.5e-05	0.0056	0	0.15	2.2e-05	4.1e-05	0	0	0.0015	6.5e-05	0.15	0.15	0.15	5.2e-06	0	0.0015	5.2e-06	0.085	0.15	0	0.58	0.54
2	0.15	3.7e-05	0.001	0	0.15	1.1e-05	0.00018	0	0	0.0036	0.0003	0.15	0.15	0.15	1.7e-05	0	0.0036	1.7e-05	0.085	0.15	0	0.58	0.54
3	0.11	0.00097	0.26	0	0.11	0.00016	0.0011	0	0	0.018	0.00039	0.11	0.11	0.11	1.9e-05	0	0.018	1.9e-05	0.06	0.11	2	0.77	0.54
4	0.099	0.0092	0.016	0.0011	0.099	2.6e-05	0.15	0	0	0.076	0.021	0.099	0.099	0.099	0.00021	0	0.076	0.00021	0.056	0.099	6	0.63	0.74
5	0.12	0.0038	0.0037	1.8e-05	0.12	1.4e-05	0.085	0	0	0.052	0.02	0.12	0.12	0.12	0.00021	0	0.052	0.00021	0.068	0.12	0	0.58	0.54
6	0.15	2.3e-05	0.00025	0	0.15	5.3e-06	0.00016	0	0	0.0031	0.0004	0.15	0.15	0.15	2.2e-05	0	0.0031	2.2e-05	0.086	0.15	0	0.58	0.54
7	0.14	0.00072	0.0021	0	0.14	1.2e-05	0.0096	0	0	0.022	0.0052	0.14	0.14	0.14	0.0001	0	0.022	0.0001	0.081	0.14	0	0.58	0.54
8	0.15	0.00026	0.0026	0	0.15	1.6e-05	0.0022	0	0	0.011	0.0015	0.15	0.15	0.15	4.4e-05	0	0.011	4.4e-05	0.084	0.15	0	0.58	0.54
9	0.15	2e-06	5e-06	0	0.15	1.3e-06	1.3e-05	0	0	0.0012	0.00015	0.15	0.15	0.15	1.5e-05	0	0.0012	1.5e-05	0.086	0.15	0	0.58	0.54
10	0.13	0.00038	1.4e-06	0	0.13	0	0.043	0	0	0.032	0.068	0.13	0.13	0.13	0.00068	0	0.032	0.00068	0.071	0.13	0	0.58	0.54
11	0.15	4.3e-06	1.7e-06	0	0.15	0	6.6e-05	0	0	0.002	0.0006	0.15	0.15	0.15	3.6e-05	0	0.002	3.6e-05	0.086	0.15	0	0.58	0.54
12	0.15	0	3.1e-05	0	0.15	2.6e-06	0	0	0	0.00013	4.7e-06	0.15	0.15	0.15	1.2e-06	0	0.00013	1.2e-06	0.086	0.15	0	0.58	0.54
13	0.15	0	2.3e-06	0	0.15	0	0	0	0	0	0	0.15	0.15	0.15	0	0	0	0	0.086	0.15	0	0.58	0.54
14	0.15	0	1.5e-06	0	0.15	0	7.9e-06	0	0	0.00083	0.00012	0.15	0.15	0.15	1.3e-05	0	0.00083	1.3e-05	0.086	0.15	0	0.58	0.54
15	0.14	0	0	0	0.14	0	0	0	0.1	0	0	0.14	0.14	0.14	0	0	0	0	0.077	0.14	0	0.58	0.54
16	0.15	1.2e-05	4.1e-05	0	0.15	3.1e-06	7.9e-05	0	0	0.003	0.00036	0.15	0.15	0.15	2.4e-05	0	0.003	2.4e-05	0.086	0.15	0	0.58	0.54
17	0.14	0.00083	0.025	0	0.14	4.3e-05	0.004	0	0	0.019	0.0017	0.14	0.14	0.14	4.8e-05	0	0.019	4.8e-05	0.08	0.14	0	0.58	0.54
18	0.15	4.4e-06	0.00083	0	0.15	3.2e-05	1.7e-06	0	0	0.0019	1.3e-05	0.15	0.15	0.15	4e-06	0	0.0019	4e-06	0.086	0.15	0	0.58	0.54
