k	loglikelihood	observations	parameters	BIC
1	-16604.5	18756	4	33248.4
2	-11967.5	18756	6	23994
3	-11719.1	18756	8	23516.8
4	-11550.7	18756	10	23199.7
5	-11594.2	18756	12	23306.4
6	-11542.5	18756	14	23222.7
7	-11577	18756	16	23311.4
8	-11542.5	18756	18	23262.1
9	-11525.4	18756	20	23247.5
10	-11525.4	18756	22	23267.2
11	-11525.4	18756	24	23286.9
12	-11525.4	18756	26	23306.6
13	-11525.4	18756	28	23326.2
14	-11525.4	18756	30	23345.9
15	-11519.6	18756	32	23354.1
16	-11523.3	18756	34	23381.2
17	-11525.4	18756	36	23405
18	-11519.6	18756	38	23413.1
19	-11523.3	18756	40	23440.3
20	-11523.3	18756	42	23459.9
