SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster	dcf0	dcf1
0	0.48	0.02	1.8e-06	0	0.00099	0	0	2.6e-06	0	0.48	0.0056	0	0.013	0	0.58	0.54
1	0.5	0.002	0	0	0.0054	0	0	1.5e-06	0	0.5	4.5e-05	0	0.0013	0	0.58	0.54
2	0.5	0.005	0	0	0.001	0	0	1.5e-06	0	0.5	0.00019	0	0.0031	0	0.58	0.54
3	0.35	0.025	0	0	0.26	0	0	2.8e-05	0	0.35	0.0012	0	0.016	0	0.58	0.54
4	0.32	0.11	2.2e-06	0	0.015	0	0.0011	1.3e-05	0	0.32	0.16	0	0.065	0	0.58	0.54
5	0.39	0.071	2.5e-06	0	0.0037	0	1.8e-05	6.7e-06	0	0.39	0.092	0	0.044	0	0.58	0.54
6	0.5	0.0042	1e-06	0	0.00025	0	0	0	0	0.5	0.00018	0	0.0026	0	0.58	0.54
7	0.47	0.03	2e-06	0	0.0021	0	0	3.9e-06	0	0.47	0.01	0	0.018	0	0.58	0.54
8	0.49	0.015	1.3e-06	0	0.0025	0	0	3.2e-06	0	0.49	0.0024	0	0.0091	0	0.58	0.54
9	0.5	0.0016	0	0	4.9e-06	0	0	0	0	0.5	1.4e-05	0	0.00099	0	0.58	0.54
10	0.44	0.046	5.7e-06	0	1.4e-06	0	0	0	0	0.44	0.05	0	0.029	0	0.58	0.54
11	0.5	0.0028	1.5e-06	0	1.7e-06	0	0	0	0	0.5	7.2e-05	0	0.0017	0	0.58	0.54
12	0.5	0.00017	0	0	3e-05	0	0	0	0	0.5	0	0	0.00011	0	0.58	0.54
13	0.5	1e-06	0	0	2.2e-06	0	0	0	0	0.5	0	0	0	0	0.58	0.54
14	0.5	0.0011	0	0	1.5e-06	0	0	0	0	0.5	8.6e-06	0	0.0007	0	0.58	0.54
15	0.45	0	0	0.11	0	0	0	0	0	0.45	0	0	0	0	0.58	0.54
16	0.5	0.0041	1.2e-06	0	4e-05	0	0	0	0	0.5	8.6e-05	0	0.0025	0	0.58	0.54
17	0.46	0.027	1.4e-06	0	0.024	0	0	9.4e-06	0	0.46	0.0043	0	0.016	0	0.58	0.54
18	0.5	0.0026	0	0	0.00081	0	0	2.8e-06	0	0.5	1.8e-06	0	0.0016	0	0.58	0.54
19	0.5	0.00044	0	0	0	0	0	0	0	0.5	0	0	0.00027	0	0.58	0.54
20	0.49	0.0061	0	0	0.0042	0	0	3.7e-06	0	0.49	9e-05	0	0.0038	0	0.58	0.54
21	0.5	0	0	0.00086	0	0	0	0	0	0.5	0	0	0	0	0.58	0.54
22	0.44	0.026	1.1e-06	0	0.074	0	0.0054	1.3e-05	0	0.44	0.0049	0	0.016	0	0.58	0.54
23	0.5	0.00073	0	0	3.5e-05	0	0	0	0	0.5	7.2e-06	0	0.00045	0	0.58	0.54
24	0.43	0.034	1.2e-06	0	0.083	0	1.1e-05	1.6e-05	0	0.43	0.0069	0	0.021	0	0.58	0.54
25	0.46	0.042	2.2e-06	0	0.0026	0	0	7e-06	0	0.46	0.0062	0	0.026	0	0.58	0.54
26	0.49	0	0	0.019	0	0	0	0	0	0.49	0	0	0	0	0.58	0.54
27	0.5	0.0011	0	0	0.0052	0	0	3.9e-06	0	0.5	0	0	0.00067	0	0.58	0.54
28	0.49	0.01	0	0	0.0094	0	0	4.3e-06	0	0.49	0.00077	0	0.0062	0	0.58	0.54
29	0.5	0.00079	0	0	0.00069	0	0	0	0	0.5	3.5e-06	0	0.00049	0	0.58	0.54
30	0.5	2.5e-06	0	0	5.8e-06	0	0	0	0	0.5	0	0	1.5e-06	0	0.58	0.54
31	0.48	0.019	2.7e-06	0	4.1e-05	0	0	0	0	0.48	0.0056	0	0.012	0	0.58	0.54
32	0.5	0.0026	2.7e-06	0	0	0	0	0	0	0.5	0.00013	0	0.0016	0	0.58	0.54
33	0.24	0.12	1.8e-06	0	0.03	0	0.039	1.7e-05	0	0.24	0.26	0	0.072	10	0.63	0.74
34	0.5	0.0054	1.1e-06	0	0.00023	0	0	1.8e-06	0	0.5	2.5e-05	0	0.0034	0	0.58	0.54
