SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1
0	0.27	4.4e-05	0.0085	0.0085	0	0.02	0.0031	0.27	0	0	0.0011	0.14	0	0.27	0	2.3e-05	7	0.58	0.54
1	0.28	2.9e-06	0.00085	0.00085	0	0.00054	5.7e-05	0.28	0	0	0.0061	0.15	0	0.28	0	3.5e-06	7	0.58	0.54
2	0.28	9.5e-06	0.0021	0.0021	0	0.0019	0.00027	0.28	0	0	0.0011	0.15	0	0.28	0	5.9e-06	7	0.58	0.54
3	0.19	1e-05	0.01	0.01	0	0.011	0.00034	0.19	0	0	0.28	0.1	4.5e-06	0.19	0	0.00013	10	0.77	0.54
4	0.18	0.00011	0.044	0.044	0	0.23	0.019	0.18	0	0.0035	0.017	0.095	0	0.18	0	0.00025	5	0.63	0.69
5	0.22	0.00012	0.03	0.03	0	0.14	0.017	0.22	0	8e-05	0.004	0.11	0	0.22	0	0.00011	7	0.58	0.54
6	0.28	1.2e-05	0.0018	0.0018	0	0.0017	0.00036	0.28	0	0	0.00028	0.15	0	0.28	0	3.5e-06	7	0.58	0.54
7	0.27	5.6e-05	0.012	0.012	0	0.032	0.0046	0.27	0	0	0.0023	0.14	0	0.27	0	3.9e-05	7	0.58	0.54
8	0.28	2.4e-05	0.0062	0.0062	0	0.011	0.0013	0.28	0	0	0.0028	0.14	0	0.28	0	2.1e-05	7	0.58	0.54
9	0.28	8.1e-06	0.00067	0.00067	0	0.00034	0.00013	0.28	0	0	5.4e-06	0.15	0	0.28	0	0	7	0.58	0.54
10	0.23	0.00037	0.018	0.018	0	0.092	0.059	0.23	0	0	1.5e-06	0.12	0	0.23	0	1e-05	7	0.58	0.54
11	0.28	2e-05	0.0012	0.0012	0	0.001	0.00052	0.28	0	0	1.8e-06	0.15	0	0.28	0	0	7	0.58	0.54
