SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0	dcf1
0	0.96	0.017	0.0032	0	0.0011	0	0.02	0	0.58	0.54
1	0.99	0.0017	5.8e-05	0	0.0061	0	0.00054	0	0.58	0.54
2	0.99	0.0042	0.00027	0	0.0011	0	0.0019	0	0.58	0.54
3	0.68	0.021	0.00034	0	0.28	0	0.011	0	0.58	0.54
4	0.64	0.088	0.019	0	0.017	0.0035	0.23	0	0.58	0.54
5	0.78	0.059	0.018	0	0.004	8e-05	0.14	0	0.58	0.54
6	0.99	0.0036	0.00036	0	0.00028	0	0.0017	0	0.58	0.54
7	0.94	0.025	0.0046	0	0.0023	0	0.032	0	0.58	0.54
8	0.97	0.012	0.0014	0	0.0028	0	0.011	0	0.58	0.54
9	1	0.0014	0.00013	0	5.4e-06	0	0.00034	0	0.58	0.54
10	0.81	0.036	0.06	0	1.5e-06	0	0.092	0	0.58	0.54
11	1	0.0024	0.00053	0	1.9e-06	0	0.001	0	0.58	0.54
12	1	0.00015	4.2e-06	0	3.4e-05	0	1.5e-05	0	0.58	0.54
13	1	0	0	0	2.5e-06	0	0	0	0.58	0.54
14	1	0.00096	0.00011	0	1.6e-06	0	0.00023	0	0.58	0.54
15	0.96	0	0	0.041	0	0	0	0	0.58	0.54
16	0.99	0.0034	0.00032	0	4.4e-05	0	0.0013	0	0.58	0.54
17	0.93	0.022	0.0015	0	0.027	0	0.02	0	0.58	0.54
18	1	0.0022	1.2e-05	0	0.0009	0	0.00018	0	0.58	0.54
19	1	0.00037	3e-05	0	0	0	5e-05	0	0.58	0.54
20	0.99	0.0051	0.00012	0	0.0047	0	0.0015	0	0.58	0.54
21	1	0	0	0.0007	0	0	0	0	0.58	0.54
22	0.86	0.022	0.0012	0	0.082	0.011	0.019	0	0.58	0.54
23	1	0.00062	4.2e-05	0	3.9e-05	0	0.00014	0	0.58	0.54
24	0.85	0.029	0.0015	0	0.092	2.9e-05	0.028	0	0.58	0.54
25	0.92	0.036	0.0035	0	0.0029	0	0.034	0	0.58	0.54
26	0.99	0	0	0.005	0	0	0	0	0.58	0.54
27	0.99	0.00091	1.2e-06	0	0.0057	0	3e-05	0	0.58	0.54
28	0.98	0.0085	0.00047	0	0.01	0	0.0052	0	0.58	0.54
29	1	0.00067	1.5e-05	0	0.00077	0	0.00011	0	0.58	0.54
30	1	2.1e-06	0	0	6.4e-06	0	0	0	0.58	0.54
31	0.96	0.016	0.0068	0	4.5e-05	0	0.02	0	0.58	0.54
32	0.99	0.0022	0.0022	0	0	0	0.0014	0	0.58	0.54
33	0.48	0.096	0.019	0	0.033	0.084	0.29	0	0.58	0.54
34	0.99	0.0046	0.00012	0	0.00025	0	0.00093	0	0.58	0.54
35	0.97	0.012	0.0025	0	0.0001	0	0.01	0	0.58	0.54
36	0.9	0.031	0.0044	0	0.018	0.0001	0.046	0	0.58	0.54
37	0.84	0.045	0.0094	0	0.013	0.00069	0.09	0	0.58	0.54
38	0.98	0.0093	0.0033	0	6.8e-05	0	0.01	0	0.58	0.54
39	0.97	0.0073	0.00025	0	0.016	0	0.0033	0	0.58	0.54
40	0.99	0.0016	4.1e-05	0	0.0043	0	0.00038	0	0.58	0.54
41	1	0.00055	2.7e-05	0	0.00018	0	0.00012	0	0.58	0.54
42	0.98	0.0083	0.0013	0	0.00023	0	0.0066	0	0.58	0.54
43	0.99	0.0083	0.00052	0	0.0015	0	0.0043	0	0.58	0.54
44	1	0	0	0.0001	0	0	0	0	0.58	0.54
45	0.99	0.0037	0.00074	0	4.4e-05	0	0.0024	0	0.58	0.54
46	1	0.0002	6.7e-06	0	1.9e-05	0	2.1e-05	0	0.58	0.54
47	0.64	0.16	0.018	0	0.00065	0	0.19	0	0.58	0.54
48	0.99	0.0032	0.0012	0	0	0	0.0017	0	0.58	0.54
49	0.98	0.012	0.00025	0	0.00051	0	0.0029	0	0.58	0.54
