SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0	dcf1
0	0.17	8.2e-05	0.0051	0.015	0.095	0.001	0.0036	0	0.17	9.9e-06	0	0	8.2e-05	0.015	0.00037	0	0.17	0.17	0.17	0	0.58	0.54
1	0.18	5.4e-06	4.1e-05	0.0015	0.098	0.0055	6.5e-05	0	0.18	2.3e-05	0	0	5.4e-06	0.0015	1.5e-05	0	0.18	0.18	0.18	0	0.58	0.54
2	0.18	1.8e-05	0.00018	0.0036	0.098	0.001	0.0003	0	0.18	1.2e-05	0	0	1.8e-05	0.0036	3.7e-05	0	0.18	0.18	0.18	0	0.58	0.54
3	0.13	2e-05	0.0011	0.019	0.069	0.26	0.00039	0	0.13	0.00017	0	0	2e-05	0.019	0.00097	0	0.13	0.13	0.13	5	0.77	0.54
4	0.12	0.00022	0.15	0.076	0.064	0.016	0.021	0	0.12	2.8e-05	0.0011	0	0.00022	0.076	0.0092	0	0.12	0.12	0.12	2	0.63	0.74
5	0.14	0.00022	0.085	0.052	0.078	0.0037	0.02	0	0.14	1.5e-05	1.8e-05	0	0.00022	0.052	0.0038	0	0.14	0.14	0.14	0	0.58	0.54
6	0.18	2.2e-05	0.00016	0.0031	0.098	0.00025	0.0004	0	0.18	5.7e-06	0	0	2.2e-05	0.0031	2.3e-05	0	0.18	0.18	0.18	0	0.58	0.54
7	0.17	0.00011	0.0096	0.022	0.093	0.0021	0.0052	0	0.17	1.3e-05	0	0	0.00011	0.022	0.00072	0	0.17	0.17	0.17	0	0.58	0.54
8	0.18	4.5e-05	0.0022	0.011	0.096	0.0026	0.0015	0	0.18	1.7e-05	0	0	4.5e-05	0.011	0.00026	0	0.18	0.18	0.18	0	0.58	0.54
9	0.18	1.5e-05	1.3e-05	0.0012	0.099	5e-06	0.00015	0	0.18	1.3e-06	0	0	1.5e-05	0.0012	2e-06	0	0.18	0.18	0.18	0	0.58	0.54
10	0.15	0.0007	0.043	0.032	0.082	1.4e-06	0.068	0	0.15	0	0	0	0.0007	0.032	0.00038	0	0.15	0.15	0.15	0	0.58	0.54
11	0.18	3.7e-05	6.6e-05	0.002	0.099	1.7e-06	0.00059	0	0.18	0	0	0	3.7e-05	0.002	4.3e-06	0	0.18	0.18	0.18	0	0.58	0.54
