SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1
0	0	0.0015	0	0	0	0	1	0	6	0.054	0.31
1	0.62	0.061	0	0.21	0	0.11	0	0	0	0.51	0.31
2	0	0.0084	0	0.8	0	0	0.19	0	3	0.51	0.61
3	0	0	0	0	0	2.1e-05	0	1	7	0.51	0.034
4	1	0	0	0	0	0	0	0	0	0.51	0.31
5	0.66	0.14	0	0.098	0	0.099	0	0	0	0.51	0.31
6	0.94	7.8e-05	0	9.3e-06	0	0.057	0	0	0	0.51	0.31
7	1	0	0	0	0	0	0	0	0	0.51	0.31
8	0.88	0.0044	0	0.0088	0	0.11	0	0	0	0.51	0.31
9	0.78	0.042	0	0.041	0	0.13	0	0	0	0.51	0.31
10	0.99	0	0	0	0	0.015	0	0	0	0.51	0.31
11	1	0	0	0	0	0	0	0	0	0.51	0.31
12	0.68	0.022	0	0.023	0	0.28	0	0	0	0.51	0.31
13	0.95	0.00023	0	0.00012	0	0.053	0	0	0	0.51	0.31
14	0	0	0.99	0	0	0	0	0.0055	2	0.44	0
15	0.58	0.043	0	0.022	0	0.36	0	0	0	0.51	0.31
16	0.84	0.0096	0	0.13	0	0.028	0	0	0	0.51	0.31
17	0	0	0	0	0	0	1	0	6	0.054	0.31
18	0.65	0.0047	0	0.00084	0	0.35	0	0	0	0.51	0.31
19	0.84	0.0033	0	0.0011	0	0.16	0	0	0	0.51	0.31
20	0	0	0	0	0	0	0	1	7	0.51	0.034
21	0.92	0	0	0	0	0	0.079	0	0	0.51	0.31
22	1	0	0	0	0	0	0	0	0	0.51	0.31
23	0.51	0.003	0	0.00034	0	0.48	0	0	0	0.51	0.31
24	6e-05	0	0.89	0	0	0	0	0.11	2	0.44	0
25	0	0	0	0	0	0	1	0	6	0.054	0.31
26	0.9	0	0	0	4e-06	0	0.1	2.2e-05	0	0.51	0.31
27	1	0	0	0	0	0	0	0	0	0.51	0.31
28	0.83	2e-06	0	0	0	0.17	0	0	0	0.51	0.31
