k	loglikelihood	observations	parameters	BIC
1	-9275.95	7458	4	18587.6
2	-6693.6	7458	6	13440.7
3	-4642.72	7458	8	9356.77
4	-4320.74	7458	10	8730.65
5	-4184.69	7458	12	8476.38
6	-4042.06	7458	14	8208.96
7	-3963.26	7458	16	8069.2
8	-3930.77	7458	18	8022.06
9	-3846.56	7458	20	7871.46
10	-3848.09	7458	22	7892.35
11	-3868.93	7458	24	7951.86
12	-3802.93	7458	26	7837.7
13	-3851.55	7458	28	7952.77
14	-3794.86	7458	30	7857.23
15	-3802.11	7458	32	7889.57
16	-3782.87	7458	34	7868.91
17	-3777.99	7458	36	7876.99
18	-3780.23	7458	38	7899.3
19	-3791.75	7458	40	7940.19
20	-3783.53	7458	42	7941.57
