SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster	dcf0	dcf1
0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0.59	0	0	14	0.56	0.61
1	0.19	0	0.2	0.071	4.2e-06	0.19	0	0.19	0	0	0	0	0	4e-06	0.087	0	0.08	2	0.51	0.44
2	0	0	0.00075	1.5e-06	1.6e-05	0	0.31	0	0	0	0.6	0	0.049	0	0.044	0	1.4e-05	10	0	0.31
3	0	0	0	0	0	0	0	0	0	0	0	5e-06	0	0.42	0	0.58	0	15	0.51	0.034
4	0.33	0	0	0	0	0.33	0	0.33	0	0.0029	0	0	0	0	0	0	0	0	0.51	0.31
5	0.11	0	0.42	0.11	0	0.11	0	0.11	0	0	0	0	0	0	0.021	0	0.11	2	0.51	0.44
6	0.33	0	0.0051	0.0079	0	0.33	0	0.33	0	0	0	0	0	0	5.2e-06	0	0.0027	0	0.51	0.31
7	0.33	0	0	0	0	0.33	0	0.33	0	3.3e-05	0	0	0	0	0	0	0	0	0.51	0.31
8	0.31	0	0.026	0.018	0	0.31	0	0.31	0	8.7e-05	0	0	0	0.0028	0.0057	0	0.023	0	0.51	0.31
9	0.2	0	0.22	0.087	0	0.2	0	0.2	0	0	0	0	0	0	0.015	0	0.079	2	0.51	0.44
10	0.33	0	0.00051	0.003	0	0.33	0	0.33	0	0	0	0	0	0	0	0	8.2e-05	0	0.51	0.31
11	0.33	0	0	0	0	0.33	0	0.33	0	2.7e-05	0	0	0	0	0	0	0	0	0.51	0.31
12	0.24	0	0.085	0.042	0	0.24	0	0.24	0	0	0	0	0	0.0013	0.021	0	0.12	0	0.51	0.31
13	0.33	0	0.0066	0.008	0	0.33	0	0.33	0	0	0	0	0	6.5e-05	6e-05	0	0.0035	0	0.51	0.31
14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0038	0	1	0.49	0
15	0.18	0	0.15	0.065	0	0.18	0	0.18	0	0	0	0	0	0.00017	0.019	0	0.22	16	0.62	0.44
16	0.31	0	0.0094	0.009	4.2e-06	0.31	0	0.31	0	0	0	0	0	0	0.056	0	0.0025	0	0.51	0.31
17	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0.054	0.28
18	0.27	0	0.05	0.036	0	0.27	0	0.27	0	0	0	0	0	0.00015	0.0011	0	0.096	0	0.51	0.31
19	0.29	0	0.05	0.037	0	0.29	0	0.29	0	0	0	0	0	1.4e-05	0.00068	0	0.034	0	0.51	0.31
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0.83	0	15	0.51	0.034
21	0.14	0	0	0	0	0.14	0.27	0.14	0	0	0.28	0	0.017	0	0	0	0	10	0	0.31
22	0.33	0	0	0	0	0.33	0	0.33	0	0.0035	0	0	0	0	0	0	0	0	0.51	0.31
23	0.27	0	0.034	0.028	0	0.27	0	0.27	0	0	0	0	0	0.0057	0.0008	0	0.13	0	0.51	0.31
24	1.8e-05	0.91	0	0	0	1.8e-05	0	1.8e-05	3.2e-05	0	0	8.8e-06	0	0	0	0.092	0	1	0.49	0
25	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0.054	0.28
26	0.14	0	0	0	0	0.14	0.29	0.14	0	0	0.27	0	0.021	0	0	1e-05	0	6	0	0.24
27	0.33	0	0	0	0	0.33	0	0.33	0	0.0019	0	0	0	0	0	0	0	0	0.51	0.31
28	0.33	0	0.0017	0.0064	0	0.33	0	0.33	0	0	0	0	0	0	0	0	0.0026	0	0.51	0.31
29	0.31	0	0.023	0.032	0	0.31	0	0.31	0	0	0	0	0	0	1.3e-06	0	0.03	0	0.51	0.31
30	0.17	0	0.14	0.058	0	0.17	0	0.17	0	0	0	0	0	0.0052	0.043	0	0.24	16	0.62	0.44
31	0.33	0	0	0	0	0.33	0	0.33	0	6.5e-06	0	0	0	0	0	0	0	0	0.51	0.31
32	0.33	0	0.0077	0.011	0	0.33	0	0.33	0	0	0	0	0	0	4e-06	0	0.00074	0	0.51	0.31
33	0.27	0	0.11	0.065	0	0.27	0	0.27	0	0	0	0	0	0	0.00039	0	0.0049	0	0.51	0.31
34	0.32	0	0.017	0.02	0	0.32	0	0.32	0	0	0	0	0	0	1.6e-05	0	0.011	0	0.51	0.31
35	0.33	0	0	0	0	0.33	0	0.33	0	8.9e-05	0	0	0	0	0	0	0	0	0.51	0.31
