SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1
0	0	0	0.0088	0	0	0	0	0	0	0.99	9	0.054	0.31
1	0	0.42	0.051	0	0.42	0.1	1.1e-06	0	2.4e-06	0	1	0.51	0.31
2	0	0	0.0038	0	0	0	0	0.94	0	0.056	7	0	0.28
3	7.5e-06	0	0	1	0	1e-05	0	0	0	0	3	0.51	0.034
4	0	0.5	0	0	0.5	0	1.8e-05	0	0	0	1	0.51	0.31
5	0	0.45	0.015	0	0.45	0.091	0	0	0	0	1	0.51	0.31
6	0	0.48	0	0	0.48	0.039	0	0	3.5e-06	0	1	0.51	0.31
7	0	0.5	0	0	0.5	0	3.4e-06	0	0	0	1	0.51	0.31
8	0	0.46	0.0035	0	0.46	0.078	0.004	0	0.0029	0	1	0.51	0.31
9	0	0.44	0.0075	0	0.44	0.1	0	0	0	0	1	0.51	0.31
10	0	0.49	0	0	0.49	0.01	0	0	0	0	1	0.51	0.31
11	0	0.5	0	0	0.5	0	0.00051	0	0	0	1	0.51	0.31
12	0	0.39	0.016	0	0.39	0.21	0	0	0.00085	0	1	0.51	0.31
13	0	0.48	2.8e-05	0	0.48	0.037	0.0011	0	0.00011	0	1	0.51	0.31
14	0	0	0	1	0	0	0	0	0	0	3	0.51	0.034
15	0	0.34	0.017	0	0.34	0.29	0	0	8.8e-05	0	1	0.51	0.31
16	0	0.48	0.017	0	0.48	0.022	0	0	0	0	1	0.51	0.31
17	0	0	0	0	0	0	0	0	0	1	9	0.054	0.31
18	0	0.37	0.00081	0	0.37	0.27	0	0	8.8e-05	0	1	0.51	0.31
19	0	0.44	0.00034	0	0.44	0.11	0	0	9.6e-06	0	1	0.51	0.31
20	0	0	0	1	0	0	0	0	0	0	3	0.51	0.034
21	0	0.21	0	0	0.21	0	0	0.55	0	0.019	7	0	0.28
22	0	0.5	0	0	0.5	0	0.0065	0	0	0	1	0.51	0.31
23	0	0.3	0.0007	0	0.3	0.39	0	0	0.0032	0	5	0.62	0.35
24	8.5e-05	0.00021	0	1	0.00021	0	0	0	0	0	3	0.51	0.034
25	0	0	0	0	0	0	0	0	0	1	9	0.054	0.31
26	0	0.21	0	1.4e-05	0.21	0	0	0.55	0	0.025	7	0	0.28
27	0	0.5	0	0	0.5	0	0.00028	0	0	0	1	0.51	0.31
28	0	0.44	0	0	0.44	0.12	0	0	0	0	1	0.51	0.31
29	0	0.4	0	0	0.4	0.21	0	0	0	0	1	0.51	0.31
30	0	0.32	0.044	0	0.32	0.32	0	0	0.0027	0	1	0.51	0.31
31	0	0.5	0	0	0.5	0	3.5e-06	0	0	0	1	0.51	0.31
32	0	0.5	0	0	0.5	0.0087	0.00031	0	0	0	1	0.51	0.31
33	0	0.49	5.6e-05	0	0.49	0.012	0	0	0	0	1	0.51	0.31
34	0	0.46	7.1e-06	0	0.46	0.084	0	0	0	0	1	0.51	0.31
35	0	0.5	0	0	0.5	0	0.0025	0	0	0	1	0.51	0.31
36	0	0	0	0	0	0.52	0	0	0	0.48	5	0.62	0.35
37	0	0	0	0	0	0	0	0	0	1	9	0.054	0.31
38	0	0.47	0.0094	0	0.47	0.042	0	0	0	0	1	0.51	0.31
39	0	0	0	0	0	0.018	0	0	0	0.98	9	0.054	0.31
40	0	0	0.086	0	0	0.47	0	0	0	0.44	5	0.62	0.35
41	0	0.44	0.049	0	0.44	0.069	0	0	0	0	1	0.51	0.31
42	0	0	0	0	0	1	0	0	0	0.0026	5	0.62	0.35
43	0	0.37	0.19	0	0.37	0.07	0	0	0	0	1	0.51	0.31
44	0	0	0	0.29	0	0	0	0	0.71	0	8	0.95	0.31
45	0	0	0	0	0	0	0	1	0	0.00026	7	0	0.28
46	0	0	2.9e-06	0	0	0	0	1	0	0.0013	7	0	0.28
47	0	0	6.4e-05	0	0	0	0	0.99	0	0.011	7	0	0.28
48	0	0.018	0	0	0.018	0.96	0	0	0	0	5	0.62	0.35
49	0	0	0	0.00039	0	0	0	0	1	0	8	0.95	0.31
50	0	0.31	0.0012	0	0.31	0.38	0	0	2.1e-05	0	5	0.62	0.35
51	0	0.47	0.00039	0	0.47	0.063	0	0	1.2e-06	0	1	0.51	0.31
52	0	0	0	0.0089	0	0	0	0	0.99	0	8	0.95	0.31
53	0	0.35	0.0078	0	0.35	0.28	0	0	0.0031	0	1	0.51	0.31
54	0	0	0.0028	0	0	0	0	0.93	0	0.068	7	0	0.28
55	0	0.47	7.4e-05	0	0.47	0.058	1.6e-05	0	4.1e-05	0	1	0.51	0.31
56	0	0.43	0.015	0	0.43	0.12	4.2e-05	0	0.00021	0	1	0.51	0.31
57	0	0.43	0.00017	0	0.43	0.13	0	0	0.00028	0	1	0.51	0.31
58	0	0.43	3.2e-06	0	0.43	0.089	0	0	0.046	0	1	0.51	0.31
59	0	0.45	0	0	0.45	0.057	0	0	0.045	0	1	0.51	0.31
60	0	0	0	1	0	0	0	0	0	0	3	0.51	0.034
61	0	0.32	0.12	0	0.32	0.24	0	0	7.1e-06	0	1	0.51	0.31
62	0	0.29	0.31	0	0.29	0.1	0.0014	0	0.00091	0	2	0.62	0.61
63	0	0	0	1	0	0	0	0	0	0	3	0.51	0.034
64	0	0	0.00022	0	0	0	0	0.99	0	0.0088	7	0	0.28
65	0	0.47	0	0	0.47	0.063	0	0	0	0	1	0.51	0.31
66	0	0	0	0	0	0	0	0	0	1	9	0.054	0.31
67	0	0.49	0	0	0.49	7.9e-06	0.027	0	0	0	1	0.51	0.31
68	0	0.46	6e-06	0	0.46	0.072	0	0	0	0	1	0.51	0.31
69	0	0.19	0.17	0	0.19	0.39	0	0	0.062	0	5	0.62	0.35
70	0	0.33	0.0038	0	0.33	0.33	0	0	5.5e-06	0	1	0.51	0.31
71	0	0	0.00062	0	0	0	0	0.98	0	0.024	7	0	0.28
72	0.0034	0	0	0.99	0	0.0028	0	0	0	0	3	0.51	0.034
73	0	0	0	1	0	0	0	0	0	0	3	0.51	0.034
74	0	0.46	0.00012	0	0.46	0.07	0	0	0	0	1	0.51	0.31
75	0	0.41	0.0054	0	0.41	0.17	0	0	0	0	1	0.51	0.31
76	0	0.39	0	0	0.39	0.22	0	0	1.5e-05	0	1	0.51	0.31
77	0	0	0	0.04	0	0	0	0	0.96	0	8	0.95	0.31
78	0	0.5	2.3e-06	0	0.5	0.006	0	0	0	0	1	0.51	0.31
79	0	0.46	0.017	0	0.46	0.071	1.6e-05	0	0	0	1	0.51	0.31
80	0.81	0	0	0	0	0.19	0	0	0	0	0	0.11	0.034
81	0	0.38	0.0036	0	0.38	0.23	0	0	0.00072	0	1	0.51	0.31
82	0	0.47	0.00079	0	0.47	0.062	0	0	0	0	1	0.51	0.31
83	0	0.38	0.1	0	0.38	0.12	0.0094	0	0.015	0	1	0.51	0.31
84	0	0	0.0086	0	0	0	0	0.86	0	0.13	7	0	0.28
85	0	0	0	0	0	0	0	1	0	0.00032	7	0	0.28
86	0	0.48	1.5e-05	0	0.48	0.042	0	0	0	0	1	0.51	0.31
87	0.0013	4.6e-06	0	0.29	4.6e-06	0.0018	0	0	0.71	0	8	0.95	0.31
88	0	0.48	1.9e-05	0	0.48	0.033	0	0	0	0	1	0.51	0.31
89	0	0.27	0.21	0	0.27	0.26	0.00098	0	0.00018	0	1	0.51	0.31
90	0	0	0	1	0	0	0	0	0	0	3	0.51	0.034
91	0	0	0.0055	0	0	0	0	0	0	0.99	9	0.054	0.31
92	0	0.37	0.033	0	0.37	0.23	0.0014	0	0.0041	0	1	0.51	0.31
93	4.5e-06	0.031	0.87	0	0.031	5.8e-05	5.5e-05	0	0	0.067	2	0.62	0.61
94	0.44	0	0	0	0	0.56	0	0	0	0	5	0.62	0.35
95	0.066	0	0.00021	2.6e-06	0	0.93	0	0	0	0	5	0.62	0.35
96	0	0.5	0	0	0.5	0	4.9e-06	0	0	0	1	0.51	0.31
97	0	0.46	1.7e-06	0	0.46	0.071	0	0	0	0	1	0.51	0.31
98	0	0.5	0	0	0.5	0.0015	0	0	0	0	1	0.51	0.31
99	0	0.36	0.031	0	0.36	0.25	0	0	0	0	1	0.51	0.31
100	0	0.28	0.0036	0	0.28	0.44	0	0	0.01	0	5	0.62	0.35
101	0	0.48	0	0	0.48	0.0041	0.036	0	0	0	1	0.51	0.31
102	0	0	0	0	0	0	0	1	0	0.0021	7	0	0.28
103	0	0.47	0	0	0.47	0.064	0.00013	0	1.4e-05	0	1	0.51	0.31
104	0	0.41	0.0038	0	0.41	0.17	0.0052	0	0.0046	0	1	0.51	0.31
105	0	0.49	0.00088	0	0.49	0.02	0	0	0.00022	0	1	0.51	0.31
106	0	0.44	0.039	0	0.44	0.085	0.00046	0	0.00053	0	1	0.51	0.31
107	0	0.47	0.0062	0	0.47	0.052	0	0	0	0	1	0.51	0.31
108	0	0.49	0.0092	0	0.49	0.0065	0	0	0	0	1	0.51	0.31
109	0	0.49	0.0016	0	0.49	0.012	0	0	0	0	1	0.51	0.31
110	0	0.00062	0.011	0	0.00062	9.2e-05	0.99	0	0	0	6	0.49	0.48
111	0	0	0	0	0	0	0	1	0	7.3e-05	7	0	0.28
112	0	0.09	6.1e-06	0	0.09	0.005	0	0	0.82	0	8	0.95	0.31
113	0	0	0	0	0	0	0	0.99	0	0.011	7	0	0.28
114	0	1.2e-05	0	0	1.2e-05	5.2e-05	0	0	1	0	8	0.95	0.31
115	0	0.43	0.00084	6.3e-06	0.43	0.12	0.00089	0	0.02	0	1	0.51	0.31
116	0	0	0	0	0	0	0	0.89	0	0.11	7	0	0.28
117	0	0.00071	0.99	0	0.00071	1.1e-05	0.0041	0	0	0	2	0.62	0.61
118	0	0	0	0	0	0	0	0	0	1	9	0.054	0.31
119	0	0.5	0	0	0.5	0	3.4e-05	0	0	0	1	0.51	0.31
120	0	0.5	0	0	0.5	0	0	0	0	0	1	0.51	0.31
121	0	0.5	0	0	0.5	0.00048	0	0	0	0	1	0.51	0.31
122	2.1e-05	0	0	0	0	0	0	1	0	7.9e-05	7	0	0.28
123	0	0.48	1.3e-05	0	0.48	0.046	0	0	1.3e-05	0	1	0.51	0.31
124	0	0.38	0.0004	0	0.38	0.23	0	0	0	0	1	0.51	0.31
125	0	0	0	1	0	0	0	0	0	0	3	0.51	0.034
126	0	0.48	0	0	0.48	0.036	0	0	8e-06	0	1	0.51	0.31
127	0	0.45	0	0	0.45	0	0.092	0	0	0	1	0.51	0.31
128	0	0.49	0	0	0.49	0.024	0	0	0	0	1	0.51	0.31
129	0	0.19	0.1	0	0.19	0.51	0	0	0.0071	0	5	0.62	0.35
130	0	0.15	9.1e-06	0	0.15	0.26	0	0	0.45	0	8	0.95	0.31
131	0	0.5	0	0	0.5	0.0023	0	0	0	0	1	0.51	0.31
132	0	0.49	0	0	0.49	0.018	0	0	0	0	1	0.51	0.31
133	0	0.38	0	0	0.38	0	0.23	0	0	0	1	0.51	0.31
134	0	0.46	0	0	0.46	0.075	0	0	0.00083	0	1	0.51	0.31
135	0	0.46	0.0011	0	0.46	0.075	0	0	0	0	1	0.51	0.31
136	0	0.49	0	0	0.49	0	0.02	0	0	0	1	0.51	0.31
137	0	0.35	0.0074	0	0.35	0.25	0	0	0.041	0	1	0.51	0.31
138	0	0.48	0	0	0.48	0.041	0	0	0	0	1	0.51	0.31
139	0	0.24	0	0	0.24	0	0	0.53	0	0.00034	7	0	0.28
140	0	0.47	3.2e-06	0	0.47	0.053	0	0	6.4e-06	0	1	0.51	0.31
141	0	0.47	7.1e-05	0	0.47	0.051	0	0	3.1e-05	0	1	0.51	0.31
142	0	0.47	0.00087	0	0.47	0.055	0	0	0	0	1	0.51	0.31
143	0	0	0	1	0	0	0	0	0	0	3	0.51	0.034
144	0	0.46	0.00014	0	0.46	0.081	0	0	0.0057	0	1	0.51	0.31
145	0	0.005	0.99	0	0.005	8.9e-05	0	0	0	0	2	0.62	0.61
146	0	0.28	0	0	0.28	0	0	0.44	0	0.0039	7	0	0.28
147	0	0.27	0.24	0	0.27	0.15	0	0	0.055	0	1	0.51	0.31
148	0	0.33	0	0	0.33	0.086	0	0	0.26	0	1	0.51	0.31
149	0	0	0	0	0	0	0	0	0	1	9	0.054	0.31
150	0	0.42	0.00011	0	0.42	0.17	0	0	0.0013	0	1	0.51	0.31
151	0	0.26	0	0	0.26	0	0	0.46	0	0.028	7	0	0.28
152	0	0.49	0	0	0.49	0.019	0	0	0	0	1	0.51	0.31
153	0	0.36	0.28	0	0.36	6.6e-05	0.00071	0	0	0	1	0.51	0.31
154	0	0.45	0	2.2e-05	0.45	0.067	0	0	0.039	0	1	0.51	0.31
155	0	0.37	0	0	0.37	0.26	0	0	0.00032	0	1	0.51	0.31
156	0	0.5	0	0.0022	0.5	0	0	0	0	0	1	0.51	0.31
157	0	0.38	3.5e-06	0	0.38	0.2	0	0	0.033	0	1	0.51	0.31
158	0	0.47	9.1e-05	0	0.47	0.062	0	0	0	0	1	0.51	0.31
159	0	0.46	6.8e-06	0	0.46	0.08	0	0	0.00014	0	1	0.51	0.31
160	0	0.42	2.6e-05	0	0.42	0.16	0	0	0.0015	0	1	0.51	0.31
161	0	0	0	1	0	0	0	0	0	0	3	0.51	0.034
162	0	0	0	1	0	0	0	0	0	0	3	0.51	0.034
163	0	0.43	0	0	0.43	0.087	0	0	0.051	0	1	0.51	0.31
164	0	0	0	0	0	0	0	1	0	0	7	0	0.28
165	0	0.33	0.0094	0	0.33	0.32	0	0	0	0	1	0.51	0.31
166	0	0.34	0.074	0	0.34	0.25	0	0	0	0	1	0.51	0.31
167	0	0	0.00086	0	0	0	0	0	0	1	9	0.054	0.31
168	0	0.5	0	0	0.5	0.005	0	0	0	0	1	0.51	0.31
169	0	0.5	0	0	0.5	0	0	0	0	0	1	0.51	0.31
