k	loglikelihood	observations	parameters	BIC
1	-7323.95	9450	6	14702.8
2	-5666.89	9450	9	11416.2
3	-5514.87	9450	12	11139.6
4	-5325.73	9450	15	10788.8
5	-5032.68	9450	18	10230.1
6	-4730.93	9450	21	9654.09
7	-4599.63	9450	24	9418.95
8	-4883.16	9450	27	10013.5
9	-4709.83	9450	30	9694.27
10	-4634.44	9450	33	9570.96
11	-4763.93	9450	36	9857.39
12	-4728.85	9450	39	9814.69
13	-4255.38	9450	42	8895.22
14	-4370.99	9450	45	9153.9
15	-4213.34	9450	48	8866.06
16	-4219.53	9450	51	8905.91
17	-4213.34	9450	54	8920.99
18	-4213.35	9450	57	8948.46
19	-4213.35	9450	60	8975.93
20	-4211	9450	63	8998.68
