SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster	dcf0	dcf1	dcf2
0	0.0046	0.0034	0.052	0.19	0	0.75	0	0	0	0	0	0	5	0.14	0.24	0.11
1	0.12	0.00064	1.3e-05	0.59	0	0.29	0	0	0	0	0	0	3	0.38	0.41	0.2
2	0.08	0.012	0.016	0.023	0	0.87	9.3e-05	0	0.0014	0	0	0	5	0.14	0.24	0.11
3	0.0053	0.0017	3.6e-05	0.0013	0	0.99	0	0	3.2e-05	0	0	0	5	0.14	0.24	0.11
4	0	0	0	0	0	0.95	0	0	0	0	0	0.053	5	0.14	0.24	0.11
5	0	0.0025	0.00029	0	0	1	0	0	0	0	0	0	5	0.14	0.24	0.11
6	0	0	0	0	0	1	0	0	0	0	0	0	5	0.14	0.24	0.11
7	0.032	0.0041	0.031	0.11	0	0.82	5.3e-05	0	0.0021	0	0	0	5	0.14	0.24	0.11
8	0.00072	0.0022	0	0	0	1	0	0	4.9e-06	0	0	0	5	0.14	0.24	0.11
9	0	0	0	0	0	0	0	0	0	1	0	4.4e-06	9	0	0.027	0.086
10	0.09	0.0006	0.048	0.7	0	0.16	0	0	0	0	0	0	3	0.38	0.41	0.2
11	0	0	0.98	0.019	0	0.0027	0	0	0	0	0	0	2	0.3	0.24	0.11
12	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0.027	0.086
13	0.017	0.00019	0.7	0.27	0	0.018	4e-05	0	1.6e-05	0	0	0	2	0.3	0.24	0.11
14	0.047	0.0012	0.018	0.46	0	0.47	0	0	8.8e-06	0	0	0	5	0.14	0.24	0.11
15	0.022	0.0026	0.00059	0.023	0	0.77	0.17	0	0.0049	0	0	0	5	0.14	0.24	0.11
16	0.0016	0.0016	0.049	0.24	0	0.71	0	0	0	0	0	0	5	0.14	0.24	0.11
17	0.0061	0.00014	0.95	0.032	0	0.0048	0.0025	0	0.00019	0	0	0	2	0.3	0.24	0.11
18	0.0066	0.04	0.0086	0.0044	0	0.94	3.5e-05	0	9.4e-06	0	0	0	5	0.14	0.24	0.11
19	2.7e-05	0.00073	0.063	0.12	0	0.82	0	0	0	0	0	0	5	0.14	0.24	0.11
20	0.12	0.0022	1.8e-05	0.0022	0	0.15	0.72	0	0.00042	0	0	0	6	0.38	0.7	0.28
21	0.072	0.0021	0.00075	0.1	0	0.82	0	0	3.2e-06	0	0	0	5	0.14	0.24	0.11
22	0.0011	5.8e-06	0.52	0.48	0	0.0014	0	0	0	0	0	0	2	0.3	0.24	0.11
23	0.017	0.04	0	0	0	0.034	0.31	0	0.6	0	0	0	8	0.3	0.59	0.28
24	0.00058	0.0068	0.00025	0	0	0.98	0.014	0	1.3e-05	0	0	0	5	0.14	0.24	0.11
25	0.0015	0.016	0.0006	0.00075	0	0.75	0.12	0	0.11	0	0	0	5	0.14	0.24	0.11
26	0.0026	0.046	0.00086	0	0	0.94	0.012	0	0.00042	0	0	0	5	0.14	0.24	0.11
27	0	0	0	0	0	1	0	0	0	0	0	1.6e-05	5	0.14	0.24	0.11
28	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0.19	0
29	0.0027	0.014	0.0089	0.025	0	0.95	5e-05	0	1.8e-05	0	0	0	5	0.14	0.24	0.11
