SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0	dcf1	dcf2
0	0.00014	0.5	0	0.5	0	0	0	3	0.14	0.24	0.11
1	0.35	0.32	0	0.33	0	0	0	0	0.22	0.41	0.2
2	0.0042	0.49	0.00013	0.5	0	0	0	3	0.14	0.24	0.11
3	0.0079	0.49	0	0.5	0	0	0	3	0.14	0.24	0.11
4	0	0.26	0	0.26	0	0	0.48	6	0.12	0	0
5	0	0.5	0	0.5	0	0	0	3	0.14	0.24	0.11
6	0	0.5	0	0.5	0	0	0	3	0.14	0.24	0.11
7	0.022	0.49	8e-05	0.49	0	0	0	3	0.14	0.24	0.11
8	0.96	0.021	0	0.021	0	0	0	0	0.22	0.41	0.2
9	0	0	0	0	1	0	0	4	0.016	0.027	0.073
10	0.0019	0.5	0	0.5	0	0	0	3	0.14	0.24	0.11
11	1	0.001	0	0.001	0	0	0	0	0.22	0.41	0.2
12	0	0	0	0	1	0	0	4	0.016	0.027	0.073
13	0.0024	0.49	0.0028	0.5	0	0	0	3	0.14	0.24	0.11
14	0.027	0.48	0	0.49	0	0	0	3	0.14	0.24	0.11
15	0.36	0.25	0.14	0.25	0	0	0	0	0.22	0.41	0.2
16	0.00036	0.5	0	0.5	0	0	0	3	0.14	0.24	0.11
17	0.25	0.23	0.3	0.23	0	0	0	2	0.38	0.7	0.28
18	0.0001	0.5	4.6e-05	0.5	0	0	0	3	0.14	0.24	0.11
19	0	0.5	0	0.5	0	0	0	3	0.14	0.24	0.11
20	0.15	0.061	0.73	0.062	0	0	0	2	0.38	0.7	0.28
21	0.54	0.23	0	0.23	0	0	0	0	0.22	0.41	0.2
22	0.00022	0.5	6.2e-05	0.5	0	0	0	3	0.14	0.24	0.11
23	0.28	0.028	0.66	0.029	0	0	0	2	0.38	0.7	0.28
24	0.098	0.44	0.016	0.45	0	0	0	3	0.14	0.24	0.11
25	0.25	0.31	0.13	0.32	0	0	0	3	0.14	0.24	0.11
26	0.011	0.48	0.015	0.49	0	0	0	3	0.14	0.24	0.11
27	0	0.39	0	0.39	0	0	0.22	3	0.14	0.24	0.11
28	0	0	0	0	0	1	0	5	0	0.19	0
29	0.0002	0.5	6.6e-05	0.5	0	0	0	3	0.14	0.24	0.11
30	0.14	0.26	0.34	0.26	0	0	0	2	0.38	0.7	0.28
31	0.0022	0.5	6.2e-05	0.5	0	0	0	3	0.14	0.24	0.11
32	0.73	0.038	0.2	0.038	0	0	0	0	0.22	0.41	0.2
33	0.05	0.43	0.079	0.44	0	0	0	3	0.14	0.24	0.11
34	0.00014	0.5	1.6e-05	0.5	0	0	0	3	0.14	0.24	0.11
35	0.0064	0.49	0	0.5	0	0	0	3	0.14	0.24	0.11
36	0.0049	0.49	0	0.5	0	0	0	3	0.14	0.24	0.11
37	0.012	0.29	0.41	0.29	0	0	0	2	0.38	0.7	0.28
38	0	0.5	0	0.5	0	0	0	3	0.14	0.24	0.11
39	0.11	0.44	0.0067	0.45	0	0	0	3	0.14	0.24	0.11
40	0.14	0.17	0.51	0.18	0	0	0	2	0.38	0.7	0.28
41	0	0	0	0	0	1	0	5	0	0.19	0
42	0.0045	0.051	0.89	0.052	0	0	0	2	0.38	0.7	0.28
43	0	0	0	0	1	0	0	4	0.016	0.027	0.073
44	0	0	0	0	1	0	0	4	0.016	0.027	0.073
45	0.035	0.39	0.18	0.39	0	0	0	3	0.14	0.24	0.11
46	0.00051	0.5	0	0.5	0	0	0	3	0.14	0.24	0.11
47	0.00047	0.5	0	0.5	0	0	0	3	0.14	0.24	0.11
48	0	0	0	0	1	0	0	4	0.016	0.027	0.073
49	0.0083	0.32	0.36	0.32	0	0	0	2	0.38	0.7	0.28
50	0	0.5	0	0.5	0	0	0	3	0.14	0.24	0.11
51	0.02	0.49	0.0028	0.49	0	0	0	3	0.14	0.24	0.11
52	0.22	0.18	0.42	0.18	0	0	0	2	0.38	0.7	0.28
53	0.42	0.15	0.27	0.15	0	0	0	0	0.22	0.41	0.2
54	0.1	0.44	0.00041	0.45	0	0	0	3	0.14	0.24	0.11
55	0.099	0.45	0	0.45	0	0	0	3	0.14	0.24	0.11
56	0.33	0	0.67	0	0	0	0	2	0.38	0.7	0.28
57	0.11	0.31	0.27	0.32	0	0	0	3	0.14	0.24	0.11
58	0.9	0.00073	0.095	0.00074	0	0	0	0	0.22	0.41	0.2
59	0	0	0	0	1	0	0	4	0.016	0.027	0.073
60	0.53	0.045	0.38	0.046	0	0	0	0	0.22	0.41	0.2
61	0.086	0.45	0	0.46	0	0	0	3	0.14	0.24	0.11
62	0.093	0.039	0.83	0.039	0	0	0	2	0.38	0.7	0.28
63	0	0	0	0	1	0	0	4	0.016	0.027	0.073
64	0	0.17	0	0.17	0	0	0.66	6	0.12	0	0
65	0.0028	0.4	0.18	0.41	0	0	0	3	0.14	0.24	0.11
66	0.17	0.41	0.011	0.41	0	0	0	3	0.14	0.24	0.11
67	0	0.24	0	0.24	0	0	0.52	6	0.12	0	0
68	0.023	0.21	0.55	0.21	0	0	0	2	0.38	0.7	0.28
69	0	0.5	0	0.5	0	0	0	3	0.14	0.24	0.11
70	0	0.5	0	0.5	0	0	0	3	0.14	0.24	0.11
71	0.68	0.0028	0.31	0.0029	0	0	0	0	0.22	0.41	0.2
72	0.33	0.22	0.23	0.22	0	0	0	0	0.22	0.41	0.2
73	0.62	0.15	0.082	0.15	0	0	0	0	0.22	0.41	0.2
74	0.00011	0.5	0	0.5	0	0	0	3	0.14	0.24	0.11
75	0	0.5	0	0.5	0	0	0	3	0.14	0.24	0.11
76	0	0	0	0	1	0	0	4	0.016	0.027	0.073
77	0	0	0	0	1	0	0	4	0.016	0.027	0.073
78	0.96	0.00019	0.036	0.00019	0	0	0	0	0.22	0.41	0.2
79	6.7e-06	2.6e-05	1	2.6e-05	0	0	0	2	0.38	0.7	0.28
80	0.86	0.064	0.0069	0.065	0	0	0	0	0.22	0.41	0.2
81	0.99	0.0049	3.9e-05	0.005	0	0	0	0	0.22	0.41	0.2
82	0	0	0	0	0	0	1	6	0.12	0	0
83	0	0	0	0	1	0	0	4	0.016	0.027	0.073
84	0.0015	0.0008	1	0.00081	0	0	0	2	0.38	0.7	0.28
85	0.15	0.18	0.5	0.18	0	0	0	2	0.38	0.7	0.28
86	0	0	0	0	0	1	0	5	0	0.19	0
87	0.96	1.8e-05	0.041	1.8e-05	0	0	0	0	0.22	0.41	0.2
88	1	0.00036	0.00016	0.00036	0	0	0	0	0.22	0.41	0.2
89	0	0.00031	1	0.00031	0	0	0	2	0.38	0.7	0.28
90	1	1.7e-05	4.4e-05	1.7e-05	0	0	0	0	0.22	0.41	0.2
91	0	0	0	0	0	0	1	6	0.12	0	0
92	1	0	0	0	0	0	0	0	0.22	0.41	0.2
93	0	0	0	0	1	0	0	4	0.016	0.027	0.073
94	0.00093	0.5	0.00046	0.5	0	0	0	3	0.14	0.24	0.11
95	0	7.4e-05	1	7.5e-05	0	0	0	2	0.38	0.7	0.28
96	0	0.0013	1	0.0014	0	0	0	2	0.38	0.7	0.28
97	1	0	0	0	0	0	0	0	0.22	0.41	0.2
98	0.78	0.11	0.0097	0.11	0	0	0	0	0.22	0.41	0.2
99	0	0.0015	1	0.0015	0	0	0	2	0.38	0.7	0.28
100	0.98	0.0005	0.018	0.0005	0	0	0	0	0.22	0.41	0.2
101	8.8e-05	0.11	0.78	0.11	0	0	0	2	0.38	0.7	0.28
102	0.036	0.00018	0.96	0.00018	0	0	0	2	0.38	0.7	0.28
103	0.0011	0.08	0.84	0.081	0	0	0	2	0.38	0.7	0.28
104	0	0	0	0	1	0	0	4	0.016	0.027	0.073
105	1	0.0023	0	0.0023	0	0	0	0	0.22	0.41	0.2
106	0.45	0.27	0.0014	0.28	0	0	0	0	0.22	0.41	0.2
107	0.0073	0.49	0.0038	0.5	0	0	0	3	0.14	0.24	0.11
108	0.013	0.35	0.28	0.36	0	0	0	3	0.14	0.24	0.11
109	0.18	0.36	0.086	0.37	0	0	0	3	0.14	0.24	0.11
110	6.3e-05	0.0024	1	0.0024	0	0	0	2	0.38	0.7	0.28
111	1	8.2e-06	0	8.3e-06	0	0	0	0	0.22	0.41	0.2
112	0.11	0.3	0.28	0.31	0	0	0	3	0.14	0.24	0.11
113	0.0014	0.31	0.38	0.31	0	0	0	2	0.38	0.7	0.28
114	0.64	0.15	0.058	0.15	0	0	0	0	0.22	0.41	0.2
115	0	0.0045	0.99	0.0046	0	0	0	2	0.38	0.7	0.28
116	0	0.5	0	0.5	0	0	0	3	0.14	0.24	0.11
117	1	0	0	0	0	0	0	0	0.22	0.41	0.2
118	0	0.5	0	0.5	0	0	0	3	0.14	0.24	0.11
119	0.99	0.0037	1.6e-06	0.0037	0	0	0	0	0.22	0.41	0.2
120	0	0.009	0	0.0091	0.98	0	0	4	0.016	0.027	0.073
121	0	0	0	0	1	0	0	4	0.016	0.027	0.073
122	0.001	0.34	0.31	0.35	0	0	0	3	0.14	0.24	0.11
123	0	0.23	0.54	0.23	0	0	0	2	0.38	0.7	0.28
124	0	0.44	0.11	0.45	0	0	0	3	0.14	0.24	0.11
125	4.4e-05	0.15	0.7	0.15	0	0	0	2	0.38	0.7	0.28
126	0.85	0.07	0.007	0.071	0	0	0	0	0.22	0.41	0.2
127	5e-05	0.35	0.3	0.35	0	0	0	3	0.14	0.24	0.11
128	0	0.0068	0.99	0.0069	0	0	0	2	0.38	0.7	0.28
129	0	0	0	0	0	1	0	5	0	0.19	0
130	0.00039	0.071	0.86	0.072	0	0	0	2	0.38	0.7	0.28
131	0	0.09	0.82	0.091	0	0	0	2	0.38	0.7	0.28
132	0.00046	0.027	0.95	0.027	0	0	0	2	0.38	0.7	0.28
133	5.7e-05	0.49	0.0069	0.5	0	0	0	3	0.14	0.24	0.11
134	0.9	0.0019	0.097	0.0019	0	0	0	0	0.22	0.41	0.2
135	4.5e-05	0.27	0.46	0.27	0	0	0	2	0.38	0.7	0.28
136	0	0.28	0.43	0.29	0	0	0	2	0.38	0.7	0.28
137	0.0063	0.39	0.21	0.4	0	0	0	3	0.14	0.24	0.11
138	2e-06	0.33	0.34	0.33	0	0	0	2	0.38	0.7	0.28
139	0	0	0	0	0	0	1	6	0.12	0	0
140	4.2e-06	0.03	0.94	0.03	0	0	0	2	0.38	0.7	0.28
141	0.64	3.4e-05	0.36	3.4e-05	0	0	0	0	0.22	0.41	0.2
142	0.54	0.16	0.14	0.16	0	0	0	0	0.22	0.41	0.2
143	0	0.5	0	0.5	0	0	0	3	0.14	0.24	0.11
144	0.79	0.097	0.012	0.098	0	0	0	0	0.22	0.41	0.2
145	0	0	0	0	0	0	1	6	0.12	0	0
146	2.8e-05	0.5	0	0.5	0	0	0	3	0.14	0.24	0.11
147	0	0.49	0	0.5	0.011	0	0	3	0.14	0.24	0.11
148	0	0	0	0	0	1	0	5	0	0.19	0
149	0.85	0	0.15	0	0	0	0	0	0.22	0.41	0.2
150	0.018	0	0.98	0	0	0	0	2	0.38	0.7	0.28
151	0.52	0.23	0.0041	0.24	0	0	0	0	0.22	0.41	0.2
152	0.0015	0.5	0	0.5	0	0	0	3	0.14	0.24	0.11
153	0	0	0	0	1	0	0	4	0.016	0.027	0.073
154	0.0072	0.13	0.74	0.13	0	0	0	2	0.38	0.7	0.28
155	0.00059	0.39	0.21	0.4	0	0	0	3	0.14	0.24	0.11
156	8.2e-06	0.21	0.58	0.21	0	0	0	2	0.38	0.7	0.28
157	0	0.034	0.93	0.034	0	0	0	2	0.38	0.7	0.28
158	0	0.03	0.94	0.031	0	0	0	2	0.38	0.7	0.28
159	0.11	0.11	0.67	0.11	0	0	0	2	0.38	0.7	0.28
160	0	0.36	0.27	0.37	0	0	0	3	0.14	0.24	0.11
161	0	0.039	0.92	0.039	0	0	0	2	0.38	0.7	0.28
162	0	0.011	0.98	0.011	0	0	0	2	0.38	0.7	0.28
163	0.18	0	0.82	0	0	0	0	2	0.38	0.7	0.28
164	0.63	0	0.37	0	0	0	0	0	0.22	0.41	0.2
165	0	0.00055	1	0.00056	0	0	0	2	0.38	0.7	0.28
166	0	0.27	0.46	0.27	0	0	0	2	0.38	0.7	0.28
167	0.0003	0.42	0.16	0.42	0	0	0	3	0.14	0.24	0.11
168	3.4e-06	0.065	0.87	0.065	0	0	0	2	0.38	0.7	0.28
169	0.00042	0.17	0.66	0.17	0	0	0	2	0.38	0.7	0.28
170	0	0.24	0.52	0.24	0	0	0	2	0.38	0.7	0.28
171	0	0.059	0.88	0.059	0	0	0	2	0.38	0.7	0.28
172	0.0046	0.42	0.16	0.42	0	0	0	3	0.14	0.24	0.11
173	0	0.0091	0.98	0.0092	0	0	0	2	0.38	0.7	0.28
