SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2
0	0.045	0.95	0.00024	0	0	0.00027	0	0	1.8e-05	0	1	0.14	0.24	0.11
1	0.87	0.13	0	0	0	4e-05	0	6.5e-05	1.4e-05	0	0	0.3	0.41	0.2
2	0.052	0.93	0.0067	0	0	0.0025	0	0.00045	0.0037	0	1	0.14	0.24	0.11
3	0.055	0.94	0.00074	0	0	0	0	0	0.0013	0	1	0.14	0.24	0.11
4	0	0.43	0	0	0.57	0	0	0	0	0	4	0.14	0	0
5	0	6.3e-05	0	0	0	0	0	0	0	1	9	0.14	0.24	0.012
6	0	1	0	0	0	0	0	0	0	0.00024	1	0.14	0.24	0.11
7	0.21	0.76	0.016	0	0	0.00022	0	7.9e-05	0.01	0	1	0.14	0.24	0.11
8	0.0065	0.93	0.047	0	0	0	0	0.016	0.00012	0	1	0.14	0.24	0.11
9	0	0	0	1	0	0	0	0	0	0	3	0	0	0.11
10	0.67	0.33	0	0	0	0.00036	0	0	8.8e-06	0	0	0.3	0.41	0.2
11	0.037	5.5e-05	0.96	0	0	0	0	0	0	0	2	0.14	0.3	0.2
12	0	0	0	1	0	0	0	0	0	0	3	0	0	0.11
13	0.26	0.37	0.00015	0	0	0.37	0	1.1e-05	0.00087	0	5	0.38	0.64	0.2
14	0.62	0.38	2.5e-05	0	0	4.2e-05	0	8.8e-06	9.6e-05	0	0	0.3	0.41	0.2
15	0.31	0.68	0.0077	0	0	4.7e-05	0	0.00067	0.0019	0	1	0.14	0.24	0.11
16	0.072	0.93	0.00048	0	0	2.4e-05	0	0	3.9e-05	0	1	0.14	0.24	0.11
17	0.21	0.068	0.00077	0	0	0.72	0	0	0.0037	0	5	0.38	0.64	0.2
18	0.00024	0.98	0.00085	0	0	0.023	0	0	1.1e-05	0	1	0.14	0.24	0.11
19	0.0035	1	0.00037	0	0	0	0	0	0	0	1	0.14	0.24	0.11
