SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2	dcf3
0	0	1	0	1	0	0.16	0.16	0
1	1	0	0	0	0.15	0.35	0.35	0.16
2	0	0	1	2	0.083	0	0	0.089
3	1	0	0	0	0.15	0.35	0.35	0.16
4	1	0	0	0	0.15	0.35	0.35	0.16
5	1	0	0	0	0.15	0.35	0.35	0.16
6	0	0	1	2	0.083	0	0	0.089
7	1	0	0	0	0.15	0.35	0.35	0.16
8	1	0	0	0	0.15	0.35	0.35	0.16
9	1	0	0	0	0.15	0.35	0.35	0.16
10	0	1	0	1	0	0.16	0.16	0
11	1	0	0	0	0.15	0.35	0.35	0.16
12	1	0	0	0	0.15	0.35	0.35	0.16
13	1	0	0	0	0.15	0.35	0.35	0.16
14	0	1	0	1	0	0.16	0.16	0
15	0.00033	0	1	2	0.083	0	0	0.089
16	1	0	0	0	0.15	0.35	0.35	0.16
17	1	0	0	0	0.15	0.35	0.35	0.16
18	1	0	0	0	0.15	0.35	0.35	0.16
19	1	0	0	0	0.15	0.35	0.35	0.16
20	1	0	0	0	0.15	0.35	0.35	0.16
21	1	0	0	0	0.15	0.35	0.35	0.16
22	1	0	0	0	0.15	0.35	0.35	0.16
23	1	0	0	0	0.15	0.35	0.35	0.16
24	0	1	0	1	0	0.16	0.16	0
25	1	0	0	0	0.15	0.35	0.35	0.16
26	1	0	0	0	0.15	0.35	0.35	0.16
27	1	0	0	0	0.15	0.35	0.35	0.16
28	1	0	0	0	0.15	0.35	0.35	0.16
29	1	0	0	0	0.15	0.35	0.35	0.16
30	1	0	0	0	0.15	0.35	0.35	0.16
31	1	0	0	0	0.15	0.35	0.35	0.16
32	1	0	0	0	0.15	0.35	0.35	0.16
33	1	0	0	0	0.15	0.35	0.35	0.16
34	1	0	0	0	0.15	0.35	0.35	0.16
35	1	0	0	0	0.15	0.35	0.35	0.16
36	1	0	0	0	0.15	0.35	0.35	0.16
37	0	0	1	2	0.083	0	0	0.089
38	1	0	0	0	0.15	0.35	0.35	0.16
39	1	0	0	0	0.15	0.35	0.35	0.16
40	1	0	0	0	0.15	0.35	0.35	0.16
41	1	0	0	0	0.15	0.35	0.35	0.16
42	1	0	0	0	0.15	0.35	0.35	0.16
43	1	0	0	0	0.15	0.35	0.35	0.16
44	1	0	0	0	0.15	0.35	0.35	0.16
45	1	0	0	0	0.15	0.35	0.35	0.16
46	1	0	0	0	0.15	0.35	0.35	0.16
47	1	0	0	0	0.15	0.35	0.35	0.16
48	1	0	0	0	0.15	0.35	0.35	0.16
49	0	1	0	1	0	0.16	0.16	0
50	1	0	0	0	0.15	0.35	0.35	0.16
51	1	0	0	0	0.15	0.35	0.35	0.16
52	1	0	0	0	0.15	0.35	0.35	0.16
53	1	0	0	0	0.15	0.35	0.35	0.16
54	1	0	0	0	0.15	0.35	0.35	0.16
55	1	0	0	0	0.15	0.35	0.35	0.16
56	1	0	0	0	0.15	0.35	0.35	0.16
57	1	0	0	0	0.15	0.35	0.35	0.16
58	1	0	0	0	0.15	0.35	0.35	0.16
59	1	0	0	0	0.15	0.35	0.35	0.16
60	1	0	0	0	0.15	0.35	0.35	0.16
61	1	0	0	0	0.15	0.35	0.35	0.16
62	0	1	0	1	0	0.16	0.16	0
63	0	1	0	1	0	0.16	0.16	0
64	0	0	1	2	0.083	0	0	0.089
65	0	1	0	1	0	0.16	0.16	0
66	1	0	0	0	0.15	0.35	0.35	0.16
67	1	0	0	0	0.15	0.35	0.35	0.16
68	1	0	0	0	0.15	0.35	0.35	0.16
69	1	0	0	0	0.15	0.35	0.35	0.16
70	1	0	0	0	0.15	0.35	0.35	0.16
71	1	0	0	0	0.15	0.35	0.35	0.16
72	0	1	0	1	0	0.16	0.16	0
73	1	0	0	0	0.15	0.35	0.35	0.16
74	1	0	0	0	0.15	0.35	0.35	0.16
75	0	1	0	1	0	0.16	0.16	0
76	1	0	0	0	0.15	0.35	0.35	0.16
77	1	0	0	0	0.15	0.35	0.35	0.16
78	1	0	0	0	0.15	0.35	0.35	0.16
79	1	0	0	0	0.15	0.35	0.35	0.16
80	1	0	0	0	0.15	0.35	0.35	0.16
81	0	1	0	1	0	0.16	0.16	0
82	1	0	0	0	0.15	0.35	0.35	0.16
83	1	0	0	0	0.15	0.35	0.35	0.16
84	1	0	0	0	0.15	0.35	0.35	0.16
85	0	1	0	1	0	0.16	0.16	0
86	1	0	0	0	0.15	0.35	0.35	0.16
87	1	0	0	0	0.15	0.35	0.35	0.16
88	1	0	0	0	0.15	0.35	0.35	0.16
89	1	0	0	0	0.15	0.35	0.35	0.16
90	1	0	0	0	0.15	0.35	0.35	0.16
91	1	0	0	0	0.15	0.35	0.35	0.16
92	1	0	0	0	0.15	0.35	0.35	0.16
93	1	0	0	0	0.15	0.35	0.35	0.16
94	1	0	0	0	0.15	0.35	0.35	0.16
95	1	0	0	0	0.15	0.35	0.35	0.16
96	1	0	0	0	0.15	0.35	0.35	0.16
97	1	0	0	0	0.15	0.35	0.35	0.16
98	1	0	0	0	0.15	0.35	0.35	0.16
99	1	0	0	0	0.15	0.35	0.35	0.16
100	1	0	0	0	0.15	0.35	0.35	0.16
101	1	0	0	0	0.15	0.35	0.35	0.16
102	1	0	0	0	0.15	0.35	0.35	0.16
103	0	1	0	1	0	0.16	0.16	0
104	1	0	0	0	0.15	0.35	0.35	0.16
105	1	0	0	0	0.15	0.35	0.35	0.16
106	1	0	0	0	0.15	0.35	0.35	0.16
107	0	0	1	2	0.083	0	0	0.089
108	1	0	0	0	0.15	0.35	0.35	0.16
109	1	0	0	0	0.15	0.35	0.35	0.16
110	1	0	0	0	0.15	0.35	0.35	0.16
111	0	0	1	2	0.083	0	0	0.089
112	1	0	0	0	0.15	0.35	0.35	0.16
113	0	1	0	1	0	0.16	0.16	0
114	1	0	0	0	0.15	0.35	0.35	0.16
115	1	0	0	0	0.15	0.35	0.35	0.16
116	1	0	0	0	0.15	0.35	0.35	0.16
117	1	0	0	0	0.15	0.35	0.35	0.16
118	0.00075	1	0	1	0	0.16	0.16	0
119	1	0	0	0	0.15	0.35	0.35	0.16
120	1	0	0	0	0.15	0.35	0.35	0.16
121	1	0	0	0	0.15	0.35	0.35	0.16
122	1	0	0	0	0.15	0.35	0.35	0.16
123	1	0	0	0	0.15	0.35	0.35	0.16
124	1	0	0	0	0.15	0.35	0.35	0.16
125	1	0	0	0	0.15	0.35	0.35	0.16
126	1	0	0	0	0.15	0.35	0.35	0.16
127	1	0	0	0	0.15	0.35	0.35	0.16
128	1	0	0	0	0.15	0.35	0.35	0.16
129	1	0	0	0	0.15	0.35	0.35	0.16
130	1	0	0	0	0.15	0.35	0.35	0.16
131	1	0	0	0	0.15	0.35	0.35	0.16
132	1	0	0	0	0.15	0.35	0.35	0.16
133	1	0	0	0	0.15	0.35	0.35	0.16
134	0	1	0	1	0	0.16	0.16	0
135	0	1	0	1	0	0.16	0.16	0
136	1	0	0	0	0.15	0.35	0.35	0.16
137	1	0	0	0	0.15	0.35	0.35	0.16
138	1	0	0	0	0.15	0.35	0.35	0.16
139	1	0	0	0	0.15	0.35	0.35	0.16
140	1	0	0	0	0.15	0.35	0.35	0.16
