SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0.35	0
1	3.4e-06	1.2e-06	3.7e-05	0	0.12	0	0	0	0	0.15	0.00035	0	0	0	0.74	0	14	0.15	0.45	0.35	0.16
2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0.083	0	0	0
3	0.0023	0.00039	0.0028	0.0053	0.14	0	0	0	0	0.76	0.0084	0	0.064	0	0.025	0	9	0.15	0.35	0.35	0.16
4	0	0	0	0	0.067	0	0	0	0	0.93	4.7e-05	0	0	0	0.00038	0	9	0.15	0.35	0.35	0.16
5	0	0	0	0	0.0025	0	0	0	0	0.83	0.094	0	0.078	0	0.00044	0	9	0.15	0.35	0.35	0.16
6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.15	0	0	0.12
7	0	0.93	0.069	0	0	0	0	0	0	6e-05	0	0	0	0	2.2e-05	0	1	0.23	0.65	0.65	0.31
8	0	0	0	0	0.06	0	0	0	0	0.18	8.6e-05	0	0	0	0.76	0	14	0.15	0.45	0.35	0.16
9	0	0	0	1.4e-05	0.44	0	0	0	0	0.45	0.00063	0	0	0	0.1	0	9	0.15	0.35	0.35	0.16
10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0.35	0
11	0.00089	0.0033	0.0052	0.00066	0.057	0	0	0	0	0.73	0.035	0	0	0	0.16	0	9	0.15	0.35	0.35	0.16
12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0.15	0	0.35	0.16
13	0	0	0	0	0.97	0	0	0	0	0.03	0	0	0	0	0	0	4	0.083	0.35	0.35	0.16
14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0.31	0	0
15	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.15	0	0	0.12
16	0	0	0	0	0.65	0	0	0	0	0.32	1.3e-05	0	0	0	0.035	0	4	0.083	0.35	0.35	0.16
17	0	0	0	0	0.44	0	0	0	0	0.4	4.6e-05	0	0	0	0.16	0	4	0.083	0.35	0.35	0.16
18	0	0	2e-06	0	0.0044	0	0	0	0	0.69	0.04	0	0	0	0.27	0	9	0.15	0.35	0.35	0.16
19	0	0	0	0	0.058	0	0	0	0	0.91	3.9e-05	0	0	0	0.037	0	9	0.15	0.35	0.35	0.16
20	0	0	0	0	0.7	0	0	0	0	0.3	1.3e-05	0	0	0	0.001	0	4	0.083	0.35	0.35	0.16
21	3e-06	0	1.5e-06	0	0.023	0	0	0	0	0.95	0.019	0	0	0	0.0056	0	9	0.15	0.35	0.35	0.16
