SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2	dcf3
0	0	1	0	0	0.00054	0	0	0	0	0	1	0	0.039	0.35	0
1	0.5	0	5.2e-06	0	0	0.5	0.0016	7.8e-06	0	0	5	0.15	0.35	0.35	0.16
2	0	0	0	0.0026	0	0	0	0	1	0	8	0.017	0.078	0	0
3	0.47	0	0.00031	0	0.051	0.47	0.0071	0.0084	0	0	5	0.15	0.35	0.35	0.16
4	0.5	0	0	0	0	0.5	3.4e-05	0	0	0	5	0.15	0.35	0.35	0.16
5	0.46	0	0	0	0.00011	0.46	0.073	0	0	0	5	0.15	0.35	0.35	0.16
6	0	0	0	1	0	0	0	0	0	0	3	0.15	0	0	0.11
7	4.9e-05	0	1	0	0	4.9e-05	0	0	0	0	2	0.23	0.65	0.65	0.31
8	0.5	0	0	0	0	0.5	0.00033	0	0	0	5	0.15	0.35	0.35	0.16
9	0.5	0	0	0	0	0.5	0.00095	0.0018	0	0	5	0.15	0.35	0.35	0.16
10	0	1	0	0	0	0	0	0	0	0	1	0	0.039	0.35	0
11	0.48	0	0.0028	0	0	0.48	0.032	0.00028	0	0	5	0.15	0.35	0.35	0.16
12	0	0	0	0	1	0	0	0	0	0	4	0.067	0	0.35	0.14
13	0.5	0	0	0	0	0.5	0	0	0	0	5	0.15	0.35	0.35	0.16
14	0	0	0	0	0	0	0	0	0	1	9	0	0.31	0	0
15	0	0	0	1	0	0	0	0	0	0	3	0.15	0	0	0.11
16	0.5	0	0	0	0	0.5	2.7e-05	0	0	0	5	0.15	0.35	0.35	0.16
17	0.5	0	0	0	0	0.5	7.7e-05	0	0	0	5	0.15	0.35	0.35	0.16
18	0.48	0	0	0	0	0.48	0.038	0	0	0	5	0.15	0.35	0.35	0.16
19	0.5	0	0	0	0	0.5	2.9e-05	0	0	0	5	0.15	0.35	0.35	0.16
20	0.5	0	0	0	0	0.5	3.1e-05	0	0	0	5	0.15	0.35	0.35	0.16
21	0.49	0	0	0	0	0.49	0.014	0	0	0	5	0.15	0.35	0.35	0.16
22	0.5	0	0	0	0	0.5	0	0	0	0	5	0.15	0.35	0.35	0.16
23	0.41	0	0.0017	0	0	0.41	0.18	0.00024	0	0	5	0.15	0.35	0.35	0.16
24	0	0	0	0	0	0	0	0	1	3.6e-06	8	0.017	0.078	0	0
25	0.49	0	0.02	0	0	0.49	0.0061	0	0	0	5	0.15	0.35	0.35	0.16
26	0.49	0	0.002	0	0	0.49	0.013	0	0	0	5	0.15	0.35	0.35	0.16
27	0.5	0	9e-06	0	0	0.5	0.005	0	0	0	5	0.15	0.35	0.35	0.16
28	0.5	0	0	0	0	0.5	1.2e-06	0	0	0	5	0.15	0.35	0.35	0.16
29	0	0	0	0	0	0	0	1	0	0	7	0.05	0.35	0.35	0.036
30	0.49	0	2.1e-06	0	0	0.49	0.00096	0.0097	0	0	5	0.15	0.35	0.35	0.16
31	0.49	0	0	0	0.00033	0.49	0	0.028	0	0	5	0.15	0.35	0.35	0.16
32	0.19	0	0.62	0	0	0.19	0.0015	0	0	0	2	0.23	0.65	0.65	0.31
33	0.5	0	0	0	0	0.5	0	0	0	0	5	0.15	0.35	0.35	0.16
34	3e-05	0	0	0	0	3e-05	0	1	0	0	7	0.05	0.35	0.35	0.036
35	0.25	0	0.48	0	0	0.25	0.014	0	0	0	2	0.23	0.65	0.65	0.31
36	0.5	0	0	0	0	0.5	0.00066	1.8e-05	0	0	5	0.15	0.35	0.35	0.16
37	0	0	0	8.7e-05	1	0	0	0	0	0	4	0.067	0	0.35	0.14
38	0.24	0	0.51	0	0	0.24	0.0013	0	0	0	2	0.23	0.65	0.65	0.31
39	0.45	0	0.072	0	0	0.45	0.035	0	0	0	5	0.15	0.35	0.35	0.16
40	0.052	0	1.9e-05	0	0	0.052	0.0023	0.89	0	0	7	0.05	0.35	0.35	0.036
41	1.3e-05	0	0	0	0.9	1.3e-05	0.1	2.9e-05	0	0	4	0.067	0	0.35	0.14
42	0.49	0	0	0	0	0.49	0.017	7.6e-06	0	0	5	0.15	0.35	0.35	0.16
43	0.49	0	0	0	0	0.49	0.0021	0.024	0	0	5	0.15	0.35	0.35	0.16
44	0.5	0	0	0	0.0066	0.5	0	0	0	0	5	0.15	0.35	0.35	0.16
45	0.5	0	0	0	0	0.5	0	0	0	0	5	0.15	0.35	0.35	0.16
46	0	0	0	0	0	0	0	1	0	0	7	0.05	0.35	0.35	0.036
47	0.026	0	0	0	0.94	0.026	0	0.0039	0	0	4	0.067	0	0.35	0.14
48	0.1	0	0.79	0	0	0.1	0.0019	0	0	0	2	0.23	0.65	0.65	0.31
49	0	0.0001	0	0	0	0	0	0	0.85	0.15	8	0.017	0.078	0	0
50	0.5	0	3.9e-06	0	0	0.5	0.0026	0	0	0	5	0.15	0.35	0.35	0.16
51	0.5	0	0	0	0	0.5	5.5e-05	0	0	0	5	0.15	0.35	0.35	0.16
52	0.48	0	0.023	0	0	0.48	0.0097	0	0	0	5	0.15	0.35	0.35	0.16
53	0.5	0	0	0	0	0.5	0.0013	0	0	0	5	0.15	0.35	0.35	0.16
54	0.5	0	0	0	0	0.5	0.00033	0	0	0	5	0.15	0.35	0.35	0.16
55	0.49	0	0.0033	0	0	0.49	0.015	0	0	0	5	0.15	0.35	0.35	0.16
56	0.36	0	0.24	0	0	0.36	0.041	0	0	0	5	0.15	0.35	0.35	0.16
57	0	0	0	0	0	0	0	1	0	0	7	0.05	0.35	0.35	0.036
58	0.5	0	0	0	0	0.5	0.00099	2.3e-05	0	0	5	0.15	0.35	0.35	0.16
59	0.5	0	0	0	0	0.5	0.0034	0	0	0	5	0.15	0.35	0.35	0.16
60	0.5	0	0	0	0	0.5	0.00015	0	0	0	5	0.15	0.35	0.35	0.16
61	0.5	0	0	0	0	0.5	9.9e-05	0	0	0	5	0.15	0.35	0.35	0.16
62	0	0.99	0	0	0.011	0	0	0	0	0	1	0	0.039	0.35	0
63	0	0	0	0	0	0	0	0	0	1	9	0	0.31	0	0
64	0	0	0	1	0	0	0	0	0	0	3	0.15	0	0	0.11
65	0	0	0	0	0	0	0	0	1	0	8	0.017	0.078	0	0
66	1e-06	0	1	0	0	1e-06	0	0	0	0	2	0.23	0.65	0.65	0.31
67	0.49	0	1.7e-05	0	0	0.49	0.0028	0.0089	0	0	5	0.15	0.35	0.35	0.16
68	0.49	0	0	0	0	0.49	0.011	0.0043	0	0	5	0.15	0.35	0.35	0.16
69	0.5	0	0	0	0	0.5	0	0	0	0	5	0.15	0.35	0.35	0.16
70	0.12	0	0.72	0	0	0.12	0.04	0	0	0	2	0.23	0.65	0.65	0.31
71	0	0	0	0	1	0	0	0	0	0	4	0.067	0	0.35	0.14
72	0	0	0	0	0	0	0	0	0	1	9	0	0.31	0	0
73	0	0	0	0	1	0	0	0	0	0	4	0.067	0	0.35	0.14
74	0.5	0	0	0	0	0.5	0.00023	0	0	0	5	0.15	0.35	0.35	0.16
75	0	0	0	0	0	0	0	0	0	1	9	0	0.31	0	0
76	0.49	0	0.0051	0	0	0.49	0.01	2.7e-06	0	0	5	0.15	0.35	0.35	0.16
77	0.5	0	0	0	0	0.5	0.00073	0	0	0	5	0.15	0.35	0.35	0.16
78	0.5	0	0	0	0	0.5	3.6e-06	0.0004	0	0	5	0.15	0.35	0.35	0.16
79	0.49	0	1.1e-05	0	0	0.49	0.0064	0.022	0	0	5	0.15	0.35	0.35	0.16
80	0.5	0	0	0	0	0.5	0.00011	0	0	0	5	0.15	0.35	0.35	0.16
81	0	1	0	0	1e-06	0	0	0	0	0	1	0	0.039	0.35	0
82	0.48	0	0	0	0	0.48	0.049	0	0	0	5	0.15	0.35	0.35	0.16
83	0.5	0	0	0	0	0.5	0.00076	2.5e-05	0	0	5	0.15	0.35	0.35	0.16
84	0.49	0	0	0	0	0.49	0.023	0	0	0	5	0.15	0.35	0.35	0.16
85	0	0	0	0	0	0	0	0	0	1	9	0	0.31	0	0
86	0.5	0	0	0	0	0.5	0.0032	2e-05	0	0	5	0.15	0.35	0.35	0.16
87	0.5	0	0	0	0	0.5	0.00013	0	0	0	5	0.15	0.35	0.35	0.16
88	0.00032	0	0	0	0	0.00032	0	1	0	0	7	0.05	0.35	0.35	0.036
89	0.5	0	0	0	0	0.5	2.4e-05	0	0	0	5	0.15	0.35	0.35	0.16
90	0.44	0	0.027	0	0	0.44	0.099	0	0	0	5	0.15	0.35	0.35	0.16
91	0.5	0	0	0	0	0.5	0.0056	2.6e-06	0	0	5	0.15	0.35	0.35	0.16
92	0.5	0	0	0	0	0.5	0.0033	0	0	0	5	0.15	0.35	0.35	0.16
93	0.48	0	0.0069	0	0	0.48	0.025	0	0	0	5	0.15	0.35	0.35	0.16
94	0.11	0	0	0	0	0.11	0.00022	0.77	0	0	7	0.05	0.35	0.35	0.036
95	0.5	0	0	0	0	0.5	0.00033	0	0	0	5	0.15	0.35	0.35	0.16
96	0.49	0	0	0	0	0.49	0.018	0.00016	0	0	5	0.15	0.35	0.35	0.16
97	0.5	0	0	0	0	0.5	0.00055	0	0	0	5	0.15	0.35	0.35	0.16
98	0.5	0	0	0	0	0.5	0.0053	0	0	0	5	0.15	0.35	0.35	0.16
99	0.078	0	0.84	0	0	0.078	0.00033	0	0	0	2	0.23	0.65	0.65	0.31
100	0.47	0	0	0	0	0.47	0.00049	0.055	0	0	5	0.15	0.35	0.35	0.16
101	0.5	0	0	0	0	0.5	2.6e-05	3.2e-06	0	0	5	0.15	0.35	0.35	0.16
102	0.5	0	1.3e-05	0	0	0.5	1.6e-05	0	0	0	5	0.15	0.35	0.35	0.16
103	0	0	0	0	0	0	0	0	0.56	0.44	8	0.017	0.078	0	0
104	0.5	0	0.00026	0	0	0.5	0.0043	0	0	0	5	0.15	0.35	0.35	0.16
105	0.49	0	0	0	0	0.49	0.021	0	0	0	5	0.15	0.35	0.35	0.16
106	0.5	0	0	0	0	0.5	2.2e-05	0	0	0	5	0.15	0.35	0.35	0.16
107	0	0	0	1	0	0	0	0	0	0	3	0.15	0	0	0.11
108	0.5	0	0	0	0	0.5	0	0	0	0	5	0.15	0.35	0.35	0.16
109	0.47	0	0.062	0	0	0.47	0.0025	0.00042	0	0	5	0.15	0.35	0.35	0.16
110	0.5	0	0	0	0	0.5	0	0	0	0	5	0.15	0.35	0.35	0.16
111	0	0	0	1	0	0	0	0	0	0	3	0.15	0	0	0.11
112	0.44	0	0.13	0	0	0.44	0	0	0	0	5	0.15	0.35	0.35	0.16
113	0	1	0	0	0	0	0	0	0	0	1	0	0.039	0.35	0
114	0.5	0	0	0	0	0.5	0.0041	0	0	0	5	0.15	0.35	0.35	0.16
115	0.47	0	0.051	0	0	0.47	0.0029	0	0	0	5	0.15	0.35	0.35	0.16
116	0.5	0	0.0014	0	0	0.5	0.001	0	0	0	5	0.15	0.35	0.35	0.16
117	0.5	0	7.2e-05	0	0	0.5	0.00032	0	0	0	5	0.15	0.35	0.35	0.16
118	0	0	0	0	0	0	0	3.4e-06	0	1	9	0	0.31	0	0
119	0.49	0	0.00016	0	0	0.49	0.012	0	0	0	5	0.15	0.35	0.35	0.16
120	0.5	0	0	0	0	0.5	0.00084	0	0	0	5	0.15	0.35	0.35	0.16
121	0.27	0	0.45	0	0	0.27	0.00049	0	0	0	2	0.23	0.65	0.65	0.31
122	0.49	0	0.02	0	0	0.49	0.0069	3.8e-06	0	0	5	0.15	0.35	0.35	0.16
123	0.12	0	0.77	0	0	0.12	8.4e-06	0	0	0	2	0.23	0.65	0.65	0.31
124	0.48	0	0.00023	0	0	0.48	0.036	0	0	0	5	0.15	0.35	0.35	0.16
125	0.5	0	0	0	0	0.5	7e-05	0	0	0	5	0.15	0.35	0.35	0.16
126	0.43	0	0.09	0	0	0.43	0.048	0	0	0	5	0.15	0.35	0.35	0.16
127	0.47	0	0.016	0	0	0.47	0.046	1.5e-05	0	0	5	0.15	0.35	0.35	0.16
128	0.47	0	0.056	0	0	0.47	0.01	0	0	0	5	0.15	0.35	0.35	0.16
