k	loglikelihood	observations	parameters	BIC
1	-8141.4	8596	8	16355.3
2	-5602.91	8596	12	11314.5
3	-5231.18	8596	16	10607.3
4	-4454.4	8596	20	9089.98
5	-4627.96	8596	24	9473.35
6	-4208.76	8596	28	8671.17
7	-4092.25	8596	32	8474.38
8	-3974.85	8596	36	8275.82
9	-3921.79	8596	40	8205.94
10	-3956.19	8596	44	8310.98
11	-3799.69	8596	48	8034.22
12	-3895.98	8596	52	8263.02
13	-3771.24	8596	56	8049.79
14	-3704.82	8596	60	7953.19
15	-3812.76	8596	64	8205.31
16	-3586.01	8596	68	7788.03
17	-3575.45	8596	72	7803.15
18	-3659.26	8596	76	8007
19	-3639.82	8596	80	8004.36
20	-3549.33	8596	84	7859.62
